# Manual plant -> BA overrides for cases where EIA-860 + state fallback misroute a plant
# Format: eia_id,ba_code,note
# Verified manually against ERCOT/SPP boundary maps and ERCOT GIS report
eia_id,ba_code,note
64666,SWPP,Great Prairie Wind 2 - Panhandle plant in TX state-fallback wrongly assigned ERCO
64667,SWPP,Great Prairie Wind 3 - Panhandle plant in TX state-fallback wrongly assigned ERCO
