year,month,u_mean,west_frac,n
2015,3,-0.0710423928613236,43.42105263157895,76
2015,4,-0.9545912386138616,26.42487046632124,193
2015,5,0.3597780627307284,49.7907949790795,239
2015,6,-0.9923346749294122,25.81967213114754,244
2015,7,2.3829591536929917,75.30120481927712,332
2015,8,2.4984271087178116,72.17125382262996,327
2015,9,3.2231596601404986,82.14285714285714,336
2015,10,2.7774546241279956,80.19801980198021,303
2015,11,0.3395045041907396,53.333333333333336,270
2015,12,-0.2494507895594164,46.236559139784944,279
2023,1,-4.306516307860003,0.0,761
2023,2,-4.049073623511261,1.0869565217391304,644
2023,3,-3.6019094344541283,0.1392757660167131,718
2023,4,-3.2062065068331305,0.1490312965722801,671
2023,5,-2.2942909386020456,10.526315789473683,684
2023,6,-1.9684067325226489,11.728395061728394,648
2023,7,-1.512477250993884,19.102990033222593,602
2023,8,-0.8473994323350309,25.95419847328244,524
2023,9,-0.7415480522368804,32.5,560
2023,10,0.614900462538526,49.07563025210084,595
2023,11,0.1311293808282744,40.83484573502722,551
2023,12,-0.6606073772917771,32.357473035439135,649
2026,1,-2.908430414330813,5.769230769230769,676
2026,2,-3.692956550445532,1.7937219730941705,669
2026,3,-1.7604877811213506,20.96530920060332,663
2026,4,-2.6574703829852564,4.455445544554455,606
2026,5,-1.5223522154400528,19.672131147540984,488
2026,6,1.9726728805769582,72.81553398058253,103
