year,date,u_mean,west_frac,n
2015,2015-03-20,1.727217157855952,100.0,4
2015,2015-03-21,1.8634270495483776,100.0,8
2015,2015-03-22,-0.4482067308657953,0.0,9
2015,2015-03-23,0.8260146696228655,63.63636363636363,11
2015,2015-03-24,1.4764200143952646,75.0,4
2015,2015-03-25,1.5883774719963537,57.14285714285714,7
2015,2015-03-27,-2.6101614068105565,0.0,8
2015,2015-03-28,0.504900951406094,33.33333333333333,6
2015,2015-03-29,-0.8306110687875448,50.0,6
2015,2015-03-30,-3.727670805339403,0.0,9
2015,2015-04-01,3.072986769458572,75.0,4
2015,2015-04-02,-2.6421459362864628,22.22222222222222,9
2015,2015-04-03,1.77035512792911,70.0,10
2015,2015-04-04,-1.095431175286666,0.0,6
2015,2015-04-05,-6.253970223200713,16.666666666666664,6
2015,2015-04-06,-4.191784970350114,0.0,8
2015,2015-04-07,-2.262193883070052,0.0,6
2015,2015-04-08,-2.456878318189386,0.0,8
2015,2015-04-09,1.10226076359194,66.66666666666666,3
2015,2015-04-10,-0.9431473333333332,0.0,6
2015,2015-04-12,-2.7943448024887423,11.11111111111111,9
2015,2015-04-13,-2.686940879952634,0.0,6
2015,2015-04-14,-1.64586670452013,33.33333333333333,9
2015,2015-04-16,-2.171432429480792,0.0,4
2015,2015-04-17,0.3940869674958995,20.0,5
2015,2015-04-18,-1.2986665759291711,0.0,5
2015,2015-04-19,-2.0828995837484485,0.0,5
2015,2015-04-20,-1.999550338071597,0.0,7
2015,2015-04-21,-1.318038521918956,40.0,10
2015,2015-04-22,0.7623951848083893,50.0,6
2015,2015-04-23,1.8047525104436184,75.0,4
2015,2015-04-25,-2.086557708197092,0.0,7
2015,2015-04-26,0.818918157766535,44.44444444444444,9
2015,2015-04-27,1.0031687786447057,62.5,8
2015,2015-04-28,0.2463043546849372,12.5,8
2015,2015-04-29,2.069652640321072,70.0,10
2015,2015-04-30,-0.8011567581673755,18.181818181818183,11
2015,2015-05-01,-1.3368498639754534,14.285714285714285,7
2015,2015-05-02,-0.55119,0.0,7
