var,fdate,n,mean,median,p10,p25,p75,p90,min,max,spread_p90_p10,eqwt_median
tmax2m,20260702,249,102.77550200803212,102.8,100.1,101.2,104.1,105.7,98.0,110.2,5.6000000000000085,102.62500000000001
tmax2m,20260703,249,103.24176706827309,103.5,99.4,101.0,105.5,107.04,90.6,109.7,7.640000000000001,103.35833333333333
tmax2m,20260704,249,100.31084337349398,100.5,95.96,97.8,102.9,105.0,88.1,108.6,9.040000000000006,100.69999999999999
tmax2m,20260705,249,94.00963855421688,94.2,88.1,91.3,97.3,99.6,81.2,104.5,11.5,94.08333333333333
tmax2m,20260706,249,85.98795180722891,85.4,79.28,82.2,89.9,93.80000000000001,71.5,100.7,14.52000000000001,84.83333333333333
tmax2m,20260707,249,83.9574297188755,83.7,77.46,79.9,88.1,91.56,68.1,102.3,14.100000000000009,83.58333333333333
tmax2m,20260708,249,84.8433734939759,84.5,78.58,81.5,87.7,91.56,65.8,98.6,12.980000000000004,84.64166666666667
tmax2m,20260709,249,87.05582329317268,87.2,80.02,83.8,91.0,93.8,70.3,100.9,13.780000000000001,87.56666666666666
tmax2m,20260710,249,89.48032128514056,88.9,83.75999999999999,86.5,92.9,95.64,70.4,102.8,11.88000000000001,89.29166666666669
tmax2m,20260711,249,88.9574297188755,89.0,82.58,85.6,92.2,95.5,75.1,102.7,12.920000000000002,89.18333333333334
tmax2m,20260712,249,88.37028112449798,88.8,81.1,84.4,91.7,96.2,71.3,101.8,15.100000000000009,88.80833333333334
tmax2m,20260713,249,88.09236947791165,87.9,81.68,84.3,91.9,94.7,76.0,100.2,13.019999999999996,88.34166666666668
tmax2m,20260714,249,88.68313253012047,88.6,81.4,85.2,92.1,96.24000000000001,69.2,105.7,14.840000000000003,88.90833333333335
tmax2m,20260715,249,88.4413654618474,88.3,81.1,85.2,92.2,95.34,70.4,105.4,14.240000000000009,88.62500000000001
tmax2m,20260716,249,88.24016064257027,88.1,80.0,83.8,92.7,96.2,67.7,105.9,16.200000000000003,88.73333333333333
tmax2m,20260717,52,90.55192307692307,90.65,82.11999999999999,85.7,96.42500000000001,100.66,69.0,105.2,18.540000000000006,89.15
tmin2m,20260702,249,79.68273092369478,80.2,76.4,77.1,81.9,82.8,75.1,84.7,6.3999999999999915,79.31666666666666
tmin2m,20260703,249,80.74538152610441,80.6,77.8,79.1,82.5,83.7,71.2,86.9,5.900000000000006,80.60833333333333
tmin2m,20260704,249,76.62369477911646,76.8,71.9,74.4,78.9,81.1,69.7,85.2,9.199999999999989,76.10833333333333
tmin2m,20260705,249,73.3714859437751,73.4,70.8,71.9,74.6,76.0,66.6,79.3,5.200000000000003,73.06666666666666
tmin2m,20260706,249,71.43493975903615,71.6,68.4,69.9,73.1,74.4,63.8,77.5,6.0,71.41666666666667
tmin2m,20260707,249,69.74497991967871,70.0,65.4,67.9,72.0,73.5,60.7,78.2,8.099999999999994,69.58333333333333
tmin2m,20260708,249,68.9722891566265,69.0,64.5,66.8,71.3,73.12,57.1,76.8,8.620000000000005,68.875
tmin2m,20260709,249,69.56345381526104,69.7,64.94,67.5,72.1,73.82000000000001,59.6,78.7,8.88000000000001,69.3
tmin2m,20260710,249,70.8273092369478,70.8,67.0,69.0,73.1,74.42,55.0,80.1,7.420000000000002,70.29166666666667
tmin2m,20260711,249,72.02369477911647,72.4,67.6,70.1,74.0,76.04,59.1,81.1,8.440000000000012,71.97500000000001
tmin2m,20260712,249,71.22329317269076,71.7,65.9,68.6,74.0,76.0,60.9,80.2,10.099999999999994,71.525
tmin2m,20260713,249,70.33654618473895,70.8,64.7,67.5,73.2,75.3,57.5,81.8,10.599999999999994,70.60833333333333
tmin2m,20260714,249,70.04417670682732,70.1,64.86,66.8,73.0,75.5,57.5,80.8,10.64,70.14166666666667
tmin2m,20260715,249,70.16706827309237,70.0,64.25999999999999,67.6,73.0,75.92,59.0,84.5,11.66000000000001,70.54166666666667
tmin2m,20260716,249,70.65863453815261,70.8,64.8,67.4,73.8,76.9,57.3,82.0,12.100000000000009,70.60833333333333
tmin2m,20260717,52,72.1673076923077,72.9,65.26,69.025,75.55,78.61,55.9,85.0,13.349999999999994,71.05000000000001
