case_id,p_name,p_state,p_cap_ac,p_axis,p_sys_type,ylat,xlong,eia_id,BA
401563,South Valley Solar Energy Center,NM,10.0,single-axis,ground,34.986,-106.7304,60195,PNM
400749,"Rams Horn Solar Center, LLC",NC,5.0,fixed-tilt,ground,35.642,-77.3152,58810,CPLE
405487,100 Brook Hill Drive Solar,NY,2.0,single-axis,rooftop,41.0927,-73.9825,63292,NYIS
405339,Kilroy Solar,CA,1.1,fixed-tilt,canopy,32.9372,-117.2343,61628,CISO
405257,Hartz Way,NJ,1.0,fixed-tilt,rooftop,40.7825,-74.0727,60501,PJM
405369,Stanford Campus Solar,CA,3.4,fixed-tilt,"canopy,rooftop",37.4317,-122.1821,62020,CISO
405606,6685 Santa Barbara Ct,MD,1.0,fixed-tilt,rooftop,39.1894,-76.743,64343,PJM
406209,"Emerald Kemble, LLC",NJ,2.4,fixed-tilt,"canopy,rooftop",40.769,-74.502,66428,PJM
405770,Broadway 3 - UCSB Lot 38,CA,1.8,fixed-tilt,"canopy,rooftop",34.4197,-119.8572,65187,CISO
403975,Fitchburg Renewables,MA,4.0,fixed-tilt,ground,42.6035,-71.7961,64045,ISNE
405925,Green Lakes Solar,NY,5.0,fixed-tilt,ground,43.0227,-75.9583,65627,NYIS
405645,JM Huber at Quincy,IL,1.5,fixed-tilt,ground,39.8564,-91.3892,64629,MISO
403805,"USS Solar Way, LLC (CSG)",MN,1.0,single-axis,ground,43.824,-93.4426,63743,MISO
404772,Immokalee,FL,74.5,fixed-tilt,ground,26.4848,-81.4289,65040,FPL
403751,USS Solar Brick,IL,2.7,fixed-tilt,ground,39.3489,-89.7948,63618,MISO
404743,"SR Turkey Creek, LLC",KY,57.6,single-axis,ground,37.5881,-84.5795,64842,PJM
404459,ER Salvage Yard,VT,2.1,fixed-tilt,ground,44.5453,-72.6126,64863,ISNE
403988,Dane County Airport Solar,WI,9.0,single-axis,ground,43.1598,-89.3276,64080,MISO
406827,Woodruff County Solar,AR,122.0,fixed-tilt,ground,35.2579,-91.3512,66282,MISO
403680,PSREC/SIAD Solar,CA,2.4,single-axis,ground,40.1502,-120.1235,63493,CISO
401763,Albany Solar,MN,10.0,single-axis,ground,45.6411,-94.6012,60519,MISO
405463,"Iris Solar, LLC",LA,50.0,fixed-tilt,ground,30.7776,-90.2155,63128,MISO
402773,Sartell Holdco (CSG),MN,5.0,fixed-tilt,ground,45.621,-94.1845,62036,MISO
403287,Hawtree Solar,NC,65.0,single-axis,ground,36.5295,-78.1114,62951,PJM
402021,Conrath DPC Solar,WI,1.0,single-axis,ground,45.3653,-91.0472,60889,MISO
402005,"Bashaw Solar (CSG) 1, LLC",MA,2.0,fixed-tilt,ground,42.792,-70.8856,60866,ISNE
402796,Athens MN CONX,MN,6.6,fixed-tilt,ground,45.4585,-93.2724,62062,MISO
402778,USS Solar Rapids (CSG),MN,1.0,single-axis,ground,45.5909,-94.1391,62042,MISO
402849,MSC-GreyCloud 01 Community Solar,MN,1.0,single-axis,ground,44.8027,-92.9964,62143,MISO
402317,Rengstorf Solar (CSG),MN,5.0,fixed-tilt,ground,44.2593,-94.2877,61383,MISO
402462,Scandia (CSG),MN,5.0,single-axis,ground,45.2506,-92.8715,61585,MISO
403355,FastSun 3 (CSG),MN,1.0,single-axis,ground,45.618,-94.4852,63042,MISO
402809,Becker Solar 3 (CSG),MN,1.0,fixed-tilt,ground,45.1752,-93.6828,62085,MISO
402810,Becker Solar 4 (CSG),MN,1.0,fixed-tilt,ground,45.1751,-93.6794,62086,MISO
402811,Becker Solar 5 (CSG),MN,1.0,fixed-tilt,ground,45.1769,-93.6792,62087,MISO
403347,FastSun 18 (CSG),MN,1.0,single-axis,ground,43.8653,-91.3292,63034,MISO
403356,FastSun 7 (CSG),MN,1.0,single-axis,ground,44.7183,-94.491,63043,MISO
402424,Statesville Solar,NC,5.0,fixed-tilt,ground,35.7406,-80.7126,61535,DUK
402425,Wakefield Solar,NC,5.0,fixed-tilt,ground,35.8146,-78.3121,61536,CPLE
402824,Bladenboro Solar 2,NC,4.5,single-axis,ground,34.5352,-78.8082,62101,CPLE
405318,Wilson Solar Farm 3,NC,10.0,fixed-tilt,ground,35.7825,-77.9896,61276,CPLE
402488,Cyril,OK,5.0,single-axis,ground,34.8961,-98.2271,61614,SWPP
402830,University Park Solar,PA,1.5,fixed-tilt,ground,40.817,-77.8433,62119,PJM
402829,"WED GW Solar, LLC",RI,3.0,fixed-tilt,ground,41.9169,-71.4858,62118,ISNE
402413,Haley Solar,SC,8.2,single-axis,ground,33.0228,-81.2936,61523,SCEG
402023,Liberty Pole DPC Solar,WI,1.1,single-axis,ground,43.4931,-90.9072,60891,MISO
402020,Lafayette DPC Solar,WI,1.0,single-axis,ground,44.8883,-91.3522,60888,MISO
403315,Wildflower Solar 1,CA,13.7,single-axis,ground,38.7044,-121.479,62988,BANC
401631,"Jeffco Community Solar Gardens, LLC",CO,1.2,single-axis,ground,39.8597,-105.1513,60320,PSCO
403320,Johnson Corner Solar 1,KS,20.0,single-axis,ground,37.5448,-101.8024,62993,SWPP
402444,Woodline Solar,OR,8.0,single-axis,ground,42.2365,-121.5774,61559,PACW
404308,Lake Herman,CA,5.0,single-axis,ground,38.0971,-122.1409,64676,CISO
404888,"Statesboro Solar, LLC",GA,3.0,single-axis,ground,32.4668,-81.8044,65727,SOCO
404984,"Sonny Solar, LLC",GA,40.0,single-axis,ground,34.0551,-82.7173,66418,SOCO
404909,"SV CSG Barrass Farms II, LLC",IL,1.7,single-axis,ground,37.727,-88.8479,65803,MISO
405837,"Northern Cardinal Solar SCS IL 1, LLC",IL,10.0,single-axis,ground,40.0707,-88.2431,65412,MISO
403628,"Goodhue Community Solar Three, LLC (CSG)",MN,1.0,fixed-tilt,ground,44.2983,-92.7406,63417,MISO
403851,"Huneke (CSG) 1, LLC",MN,1.0,single-axis,ground,44.2943,-92.734,63820,MISO
404389,Hazel,MN,3.0,single-axis,ground,43.778,-91.951,64906,MISO
404356,Connexus Solar Stanford 1STF,MN,7.3,single-axis,ground,45.4164,-93.393,64818,MISO
404761,"USS Rosebud Solar, LLC",MN,1.0,single-axis,ground,44.4733,-94.925,64989,MISO
405795,"USS Peach Solar, LLC",MN,1.0,single-axis,ground,44.1638,-93.9074,65276,MISO
404876,SR Jackson II,TN,1.0,single-axis,ground,35.6092,-88.9165,65642,TVA
404792,"ER Bone Hill Solar, LLC",VT,1.2,fixed-tilt,ground,44.1273,-72.6513,65135,ISNE
404798,"ER Center Road Solar, LLC",VT,2.1,fixed-tilt,ground,44.5083,-72.3403,65166,ISNE
404060,Jack's Solar Garden,CO,1.0,single-axis,ground,40.1227,-105.1298,64200,PSCO
403786,"Butler Solar, LLC",OR,4.0,single-axis,ground,45.1021,-123.4197,63694,PGE
402322,Canis Major Solar Farm,CT,2.0,fixed-tilt,ground,42.0091,-72.6506,61398,ISNE
403281,Starratt Solar,FL,5.0,fixed-tilt,ground,30.4966,-81.6005,62940,JEA
401792,Hazlehurst II,GA,52.5,single-axis,ground,31.8202,-82.6023,60554,SOCO
403248,Oil Dri 2 Solar,GA,1.4,single-axis,ground,30.9911,-84.0653,62882,SOCO
403922,"The GSI Group, LLC at Assumption",IL,1.5,single-axis,ground,39.513,-89.0374,63968,MISO
