case_id,p_name,p_state,p_cap_ac,p_axis,p_sys_type,ylat,xlong,eia_id
EIA_67216,"Shifting Sands Solar, LLC",VA,18.8,single-axis,ground-mounted,36.616243,-79.84936,67216
EIA_67217,"Sunny Rock Solar, LLC",VA,20.0,single-axis,ground-mounted,36.608705,-79.87988,67217
EIA_67218,"River Trail Solar, LLC",VA,20.0,single-axis,ground-mounted,36.709453,-80.88508,67218
EIA_67219,Prairie Solar (VA),VA,20.0,single-axis,ground-mounted,36.880181,-76.60931,67219
EIA_67234,Lara 2 Hybrid,CA,0.7,single-axis,ground-mounted,36.989444,-120.8781,67234
EIA_67254,Stockbridge,NY,2.0,single-axis,ground-mounted,43.01082,-75.6068,67254
EIA_67255,Tully 1,IL,2.0,single-axis,ground-mounted,41.30302,-88.50709,67255
EIA_67256,Lobelia 1,IL,2.0,single-axis,ground-mounted,42.46209,-88.61188,67256
EIA_67277,Bishop Ranch - BR 15-DD,CA,0.6000000000000001,single-axis,ground-mounted,37.7729,-121.9595,67277
EIA_67288,Foster Clean Power A,CA,3.0,single-axis,ground-mounted,40.882295,-124.1012,67288
EIA_67322,Mamm Creek,CO,11.2,single-axis,ground-mounted,39.5266,-107.698,67322
EIA_67374,"TPE Whitmell Solar, LLC",VA,5.0,single-axis,ground-mounted,36.727159,-79.50649,67374
EIA_67391,KE73 CSG,DE,4.0,single-axis,ground-mounted,39.2348,-75.56284,67391
EIA_67412,Geer Road Solar 2 CSG,NY,5.0,single-axis,ground-mounted,43.36,-73.563,67412
EIA_67421,Cavalier Solar A2,VA,84.4,single-axis,ground-mounted,37.018,-76.7358,67421
EIA_67437,North Woods (CSG),NY,5.0,single-axis,ground-mounted,44.6177,-75.1622,67437
EIA_67447,Pomham Islander (CSG),RI,2.5,single-axis,ground-mounted,41.95397,-71.52153,67447
EIA_67469,"GSPP NESV, LLC",MA,1.1,single-axis,ground-mounted,41.9267,-71.31772,67469
EIA_67474,Harquahala 2,AZ,300.0,single-axis,ground-mounted,33.46,-113.11,67474
EIA_67490,Spectrum Solar Hybrid,MD,5.6,single-axis,ground-mounted,38.95,-76.95,67490
EIA_67497,"Hornshadow Solar, LLC",UT,100.0,single-axis,ground-mounted,39.182429,-110.9772,67497
EIA_67503,Serrano,AZ,170.0,single-axis,ground-mounted,32.502375,-111.3037,67503
EIA_67511,"Hornshadow Solar II, LLC",UT,200.0,single-axis,ground-mounted,39.182429,-110.9772,67511
EIA_67528,Milagro Solar I,NM,150.0,single-axis,ground-mounted,31.796,-106.642,67528
EIA_67532,"Fairfield Lee Solar, LLC Community Solar",VA,5.0,single-axis,ground-mounted,37.878085,-79.39692,67532
EIA_67539,Nortera Customer Hosted Solar,WI,1.6,single-axis,ground-mounted,43.736243,-88.86204,67539
EIA_67540,UW Kegonsa Customer Hosted Solar,WI,2.3,single-axis,ground-mounted,42.95762,-89.29236,67540
EIA_67546,USS Golden Spike Solar LLC CSG,MN,1.0,single-axis,ground-mounted,45.624209,-94.06363,67546
EIA_67554,Cedarville (IL),IL,2.0,single-axis,ground-mounted,42.3676,-89.6329,67554
EIA_67583,DC Water,DC,1.3,single-axis,ground-mounted,38.91,-76.99,67583
EIA_67584,Oneida East,NY,4.8,single-axis,ground-mounted,43.19,-75.21,67584
EIA_67597,Portage Solar Plant,WI,11.8,single-axis,ground-mounted,43.60706,-89.24341,67597
EIA_67600,NY ALTONA MAYOTT - Environomics P2,NY,5.0,single-axis,ground-mounted,44.878445,-73.58349,67600
EIA_67623,"Lilly Pond Road Solar 1, LLC",IL,2.0,single-axis,ground-mounted,42.27654,-88.38677,67623
EIA_67624,Freeport 18th Solar,IL,2.0,single-axis,ground-mounted,42.288085,-89.58712,67624
EIA_67628,Trinity Freeport,IL,2.0,single-axis,ground-mounted,42.274477,-89.56024,67628
EIA_67644,Towanda,IL,5.0,single-axis,ground-mounted,40.434241,-89.06233,67644
EIA_67675,Northumberland Solar,PA,65.0,single-axis,ground-mounted,40.987206,-76.83401,67675
EIA_67678,White Tail Solar,MI,140.0,single-axis,ground-mounted,42.125582,-83.65358,67678
EIA_67684,SV CSG Bishop 1 LLC,IL,2.0,single-axis,ground-mounted,37.79441,-89.04892,67684
EIA_67686,DeKalb Taylor LLC,IL,4.9,single-axis,ground-mounted,41.934706,-88.71142,67686
EIA_67687,SV CSG German Valley 1 LLC,IL,2.0,single-axis,ground-mounted,42.215173,-89.48113,67687
EIA_67688,SV CSG Wagner A LLC,IL,2.0,single-axis,ground-mounted,38.161252,-89.70291,67688
EIA_67703,Grinnell Customer Hosted Solar,IA,5.0,single-axis,ground-mounted,41.74614,-92.74071,67703
EIA_67704,Rock County Customer Hosted Solar,WI,1.4,single-axis,ground-mounted,42.72317,-89.02271,67704
EIA_67705,Janesville Community Solar,WI,2.3,single-axis,ground-mounted,42.723717,-89.02271,67705
EIA_67713,IL Joliet 1101 Cherry Hl Rd,IL,4.0,single-axis,ground-mounted,41.507951,-88.02602,67713
EIA_67714,IL Rochelle 975 S. Caron Rd,IL,1.5,single-axis,ground-mounted,41.909729,-89.04429,67714
EIA_67715,Vermilion Solar II LLC CSG,IL,2.0,single-axis,ground-mounted,40.8563,-88.6015,67715
EIA_67716,Vermilion Solar I LLC CSG,IL,1.9,single-axis,ground-mounted,40.858134,-88.60202,67716
EIA_67717,Triple S Solar I LLC CSG,IL,2.0,single-axis,ground-mounted,39.540291,-87.97652,67717
EIA_67718,"AES Bend Solar II, LLC CSG",IL,1.9,single-axis,ground-mounted,42.33787,-89.08264,67718
EIA_67719,"AES Bend Solar I, LLC CSG",IL,2.0,single-axis,ground-mounted,42.336378,-89.08286,67719
EIA_67727,"Caledonia Solar WI, LLC",WI,6.0,single-axis,ground-mounted,42.797719,-87.96506,67727
EIA_67728,"Hackbarth Solar WI, LLC",WI,5.0,single-axis,ground-mounted,42.88773,-88.87717,67728
EIA_67735,"Sebree Solar, LLC",KY,250.0,single-axis,ground-mounted,37.693,-87.549,67735
EIA_67751,DG Harlem Solar,IL,2.0,single-axis,ground-mounted,42.172941,-89.41336,67751
EIA_67762,Stampede Solar Hybrid,TX,255.9,single-axis,ground-mounted,33.201315,-95.31923,67762
EIA_67765,Compadre Solar,TX,150.0,single-axis,ground-mounted,33.457356,-97.28961,67765
EIA_67793,Open Sky Ranch Inc,CA,1.7,single-axis,ground-mounted,36.46052,-120.0305,67793
EIA_67797,Babacomari Solar,AZ,160.0,single-axis,ground-mounted,31.656605,-110.4134,67797
EIA_67804,Harmony Solar Project,IL,2.0,single-axis,ground-mounted,42.366,-89.78,67804
EIA_67822,Unity Solar Project (IL),IL,2.0,single-axis,ground-mounted,42.369,-89.78,67822
EIA_67823,Roadrunner Solar and BESS,AZ,235.0,single-axis,ground-mounted,32.086149,-109.9353,67823
EIA_67834,Great Bend Solar Project,OH,48.0,single-axis,ground-mounted,39.003333,-81.77111,67834
EIA_67850,Arrowleaf Solar and Storage,CA,42.0,single-axis,ground-mounted,33.0157,-115.5129,67850
EIA_67859,Foster Clean Power B,CA,4.0,single-axis,ground-mounted,40.882295,-124.1012,67859
EIA_67864,McIntosh Solar,GA,10.0,single-axis,ground-mounted,32.350833,-81.17194,67864
EIA_67867,Liberty Hybrid Solar and Storage Project,TX,67.2,single-axis,ground-mounted,30.009659,-95.04083,67867
EIA_67872,RATTS 1,IN,150.0,single-axis,ground-mounted,38.52543,-87.18622,67872
EIA_67873,Heirloom Solar,IN,60.0,single-axis,ground-mounted,38.514913,-87.19207,67873
EIA_67900,Oak Leaf Solar XVII Community Solar,MA,3.2,single-axis,ground-mounted,42.421787,-73.2925,67900
EIA_67901,Oak Leaf Solar XVI Community Solar,MA,1.2,single-axis,ground-mounted,42.421787,-73.2925,67901
EIA_67930,Crossroads Solar (IN),IN,200.0,single-axis,ground-mounted,40.128928,-87.29279,67930
EIA_67943,"Sherburne Solar Holdings, LLC",MN,3.0,single-axis,ground-mounted,45.54325,-93.59362,67943
EIA_67957,East Atmore Solar,AL,80.0,single-axis,ground-mounted,31.020358,-87.35839,67957
EIA_67964,Agave,AZ,150.0,single-axis,ground-mounted,33.32389,-112.8397,67964
EIA_67965,Clinton Schools,IA,1.3,single-axis,ground-mounted,41.82718,-90.22335,67965
EIA_67969,Two Hearted Solar,NC,22.0,single-axis,ground-mounted,36.235367,-80.56279,67969
EIA_67979,Brookhaven Landfill Solar Farm 1,NY,5.0,single-axis,ground-mounted,40.799699,-72.92396,67979
EIA_67997,Apex NC Solar,NC,28.9,single-axis,ground-mounted,35.415022,-81.47812,67997
EIA_68008,Above Grid Montour Solar LLC,NY,5.0,single-axis,ground-mounted,42.330348,-76.83241,68008
EIA_68010,Johnson City Solar,NY,5.0,single-axis,ground-mounted,42.200933,-75.97879,68010
EIA_68023,BCE Seal Beach,CA,12.0,single-axis,ground-mounted,33.732761,-118.0445,68023
EIA_68025,SL JAMESTOWN ARRAY 1,NY,3.0,single-axis,ground-mounted,42.047778,-79.28278,68025
EIA_68026,SL JAMESTOWN ARRAY 2,NY,4.8,single-axis,ground-mounted,42.0475,-79.28417,68026
EIA_68037,NY Selkirk S Albany RD - Hemlock Hills S,NY,5.0,single-axis,ground-mounted,42.548056,-73.83611,68037
EIA_68060,Catalina Solar (SC),SC,75.0,single-axis,ground-mounted,33.902945,-81.60149,68060
EIA_68077,North Ridge Solar,VA,20.0,single-axis,ground-mounted,37.535275,-77.82396,68077
EIA_68088,Twelvemile Solar 1,OK,152.0,single-axis,ground-mounted,36.331569,-95.22931,68088
EIA_68096,SR Brownsville,TN,3.0,single-axis,ground-mounted,35.59013,-89.23283,68096
EIA_68102,SR Forked Deer,TN,2.5,single-axis,ground-mounted,35.708522,-89.50989,68102
EIA_68106,SR Lambert II,SC,100.0,single-axis,ground-mounted,33.332969,-79.56353,68106
EIA_68107,SR Lexington,TN,6.5,single-axis,ground-mounted,35.720616,-88.36943,68107
EIA_68108,SR Maryville East,TN,7.5,single-axis,ground-mounted,35.77527,-83.91361,68108
EIA_68109,SR Maryville,TN,1.3,single-axis,ground-mounted,35.688025,-84.02035,68109
EIA_68113,SR Trenton,TN,2.3,single-axis,ground-mounted,35.941786,-88.94845,68113
EIA_68114,SR Trezevant,TN,6.5,single-axis,ground-mounted,36.001402,-88.61944,68114
EIA_68157,MN CSG 2019-60,MN,1.0,single-axis,ground-mounted,44.7328,-94.6044,68157
EIA_68163,Coventry Solar Site 3,NY,5.0,single-axis,ground-mounted,42.18,-75.402,68163
EIA_68188,Trousdale Solar I,NY,5.0,single-axis,ground-mounted,42.97,-78.147,68188
EIA_68190,Trousdale Solar II,NY,5.0,single-axis,ground-mounted,42.966,-78.141,68190
EIA_68200,Sequoia 1,TX,401.4,single-axis,ground-mounted,32.438238,-99.15766,68200
EIA_68223,Beaverdam Renewable Energy Center,SC,40.8,single-axis,ground-mounted,34.64611,-82.03086,68223
EIA_68235,Romeoville 34 - SLCHI234 - BSCHI234,IL,1.1,single-axis,ground-mounted,41.597,-88.11,68235
EIA_68259,Oneida 2 CDG,NY,3.3,single-axis,ground-mounted,43.196874,-75.43545,68259
EIA_68276,Swamp Cabbage,FL,74.5,single-axis,ground-mounted,26.762014,-81.25302,68276
EIA_68279,NCS FCPA LLC,DC,1.1,single-axis,ground-mounted,38.89146,-76.9403,68279
EIA_68281,Box Canyon (AZ),AZ,300.0,single-axis,ground-mounted,33.160564,-111.3692,68281
EIA_68286,Kennett Solar,MO,4.9,single-axis,ground-mounted,36.207917,-90.05722,68286
EIA_68327,CP East Hampton I & II Solar,CT,2.0,single-axis,ground-mounted,41.4,-72.42,68327
EIA_68372,Bronson Solar,FL,74.5,single-axis,ground-mounted,29.464985,-82.6239,68372
EIA_68398,Lake Hallie,WI,5.0,single-axis,ground-mounted,44.899592,-91.38375,68398
EIA_68418,Keydet Solar Center,VA,120.0,single-axis,ground-mounted,37.4371,-77.1587,68418
EIA_68427,Ardagh Solar,CA,12.9,single-axis,ground-mounted,36.921281,-120.1083,68427
EIA_68431,Cadence Solar Energy Center,OH,240.0,single-axis,ground-mounted,40.378008,-83.43687,68431
EIA_68436,WPR RE Holdings,CA,2.9,single-axis,ground-mounted,35.7832,-119.8652,68436
EIA_68442,Ellis Creek Solar,CA,4.0,single-axis,ground-mounted,38.2223,-122.5737,68442
EIA_68458,"Roaring Springs, LLC",TX,250.0,single-axis,ground-mounted,33.877514,-100.8902,68458
EIA_68470,Azalea Springs Solar Park,TX,180.0,single-axis,ground-mounted,31.403914,-94.8719,68470
EIA_68472,Long Branch Solar,FL,74.9,single-axis,ground-mounted,27.62574,-82.17134,68472
EIA_68482,Clinton Solar (OH),OH,49.9,single-axis,ground-mounted,39.34098,-83.76907,68482
EIA_68483,"Diver Solar, LLC",TX,225.0,single-axis,ground-mounted,31.25,-96.39,68483
EIA_68488,Garnet Mesa Solar,CO,80.0,single-axis,ground-mounted,38.740617,-107.9825,68488
EIA_68489,IL BEDFORD PARK 7035 W 65TH ST,IL,2.0,single-axis,ground-mounted,41.772468,-87.79725,68489
EIA_68516,Wildwood Solar Plant,MS,100.0,single-axis,ground-mounted,33.934776,-90.33862,68516
EIA_68523,Bishop Ranch - BR 8-Q,CA,0.7,single-axis,ground-mounted,37.768711,-121.9684,68523
EIA_68524,Bishop Ranch - BR 15-AA,CA,0.7,single-axis,ground-mounted,37.77538,-121.9613,68524
EIA_68525,Bishop Ranch - BR 15-CC,CA,0.7,single-axis,ground-mounted,37.773323,-121.9602,68525
EIA_68530,Agrimony 2,IL,2.0,single-axis,ground-mounted,42.48231,-89.99143,68530
EIA_68534,Wheatland,IN,150.0,single-axis,ground-mounted,38.692248,-87.28772,68534
EIA_68536,Optimist,MS,200.0,single-axis,ground-mounted,33.643544,-88.59398,68536
EIA_68537,Swift Air Solar I,TX,145.0,single-axis,ground-mounted,31.7688,-102.696,68537
EIA_68538,IL University Park 450 Central Ave,IL,2.3,single-axis,ground-mounted,41.453676,-87.75003,68538
EIA_68540,Bayer Oxnard - Meter# 4719,CA,1.3,single-axis,ground-mounted,34.20337,-119.1394,68540
EIA_68544,IL Bedford Park 6901 W 65th St,IL,2.0,single-axis,ground-mounted,41.772696,-87.79431,68544
EIA_68550,Kelly Creek Solar,OR,2.3,single-axis,ground-mounted,42.133852,-123.6303,68550
EIA_68551,Cottonmouth Ranch Solar,FL,74.5,single-axis,ground-mounted,27.654491,-82.29003,68551
EIA_68587,Swift Air Solar II,TX,100.0,single-axis,ground-mounted,31.723088,-102.5196,68587
EIA_68588,Swift Air Solar III,TX,100.0,single-axis,ground-mounted,31.723088,-102.5196,68588
EIA_68595,Whistling Duck I,FL,75.0,single-axis,ground-mounted,29.472222,-82.43088,68595
EIA_68615,"ADP Roseland, NJ",NJ,2.4,single-axis,ground-mounted,40.815661,-74.31015,68615
EIA_68670,Walker Springs I,AL,80.0,single-axis,ground-mounted,31.435022,-87.70473,68670
EIA_68674,East Windsor,CT,4.0,single-axis,ground-mounted,41.85,-72.55,68674
EIA_68682,Glastonbury Solar One,CT,3.0,single-axis,ground-mounted,41.75,-72.55,68682
EIA_68706,City of Clarksville,AR,10.0,single-axis,ground-mounted,35.467464,-93.51518,68706
EIA_68708,Hindsville,AR,5.0,single-axis,ground-mounted,36.155318,-93.89012,68708
EIA_68729,XNA (NW AR Natnl Airport),AR,3.0,single-axis,ground-mounted,36.263575,-94.30998,68729
EIA_68754,USS Origami Solar,IL,4.3,single-axis,ground-mounted,41.8344,-90.1452,68754
EIA_68756,USS Ducks Solar CSG,IL,5.0,single-axis,ground-mounted,42.0142,-89.351,68756
EIA_68757,USS Beard Solar,IL,3.5,single-axis,ground-mounted,39.9895,-90.3538,68757
EIA_68776,Sherco Solar II,MN,237.1,single-axis,ground-mounted,45.371517,-93.86754,68776
EIA_68791,Chatsworth Industrial Center 1-SLLAX601,CA,1.1,single-axis,ground-mounted,34.241957,-118.6029,68791
EIA_68794,Tracy 18 - SLCVA418,CA,1.5,single-axis,ground-mounted,37.753015,-121.3883,68794
EIA_68795,IPC 16 - SLCVA516,CA,1.7,single-axis,ground-mounted,37.738366,-121.5348,68795
EIA_68796,Stockton 6 - SLEBA202,CA,1.1,single-axis,ground-mounted,37.896708,-121.2602,68796
EIA_68803,Westtown School Solar,PA,1.5,single-axis,ground-mounted,39.94,-75.534,68803
EIA_68817,Mallard,FL,74.5,single-axis,ground-mounted,27.832062,-80.68207,68817
EIA_68820,Big Brook,FL,74.5,single-axis,ground-mounted,30.443398,-85.2618,68820
EIA_68822,Flatford,FL,74.5,single-axis,ground-mounted,27.389575,-82.09888,68822
EIA_68823,Goldenrod,FL,74.5,single-axis,ground-mounted,26.480745,-81.49189,68823
EIA_68838,Hecate Energy Outpost Solar LLC,TX,515.0,single-axis,ground-mounted,27.85923,-99.16174,68838
EIA_68846,Edwards Sanborn 1C,CA,148.0,single-axis,ground-mounted,35.026182,-118.1529,68846
EIA_68856,Tyson Nick,TX,90.5,single-axis,ground-mounted,33.644897,-95.62704,68856
EIA_68880,Pleasantville Solar Park,IL,150.0,single-axis,ground-mounted,40.354122,-90.34819,68880
EIA_68885,"Elam Road Solar, LLC",VA,3.0,single-axis,ground-mounted,37.27604,-78.61845,68885
EIA_68886,"Sandale Solar, LLC",VA,3.0,single-axis,ground-mounted,37.67491,-76.41144,68886
EIA_68892,Airport Commons 7-slbal210,MD,1.4,single-axis,ground-mounted,39.182941,-76.70536,68892
EIA_68894,Riverstart Solar Park IV,IN,150.0,single-axis,ground-mounted,40.12115,-85.17476,68894
EIA_68906,Pine Forest Solar I,TX,300.0,single-axis,ground-mounted,33.100779,-95.39229,68906
EIA_68919,Macon County IL S1,IL,2.0,single-axis,ground-mounted,39.91707,-88.89615,68919
EIA_68921,Tazewell County IL S1,IL,2.0,single-axis,ground-mounted,40.378299,-89.5225,68921
EIA_68927,"Adelite Solar, LLC",MO,25.0,single-axis,ground-mounted,39.75533,-94.01234,68927
EIA_68928,"Richland Township Solar II, LLC",IL,10.8,single-axis,ground-mounted,40.94425,-89.26966,68928
EIA_68941,BH CSG 3,CO,1.5,single-axis,ground-mounted,37.983521,-103.5762,68941
EIA_68943,Pivot Solar 20,CO,5.0,single-axis,ground-mounted,40.31766,-104.9309,68943
EIA_68944,Pivot Solar 21,CO,5.0,single-axis,ground-mounted,39.728452,-104.769,68944
EIA_68945,Pivot Solar 37,CO,2.5,single-axis,ground-mounted,40.620759,-103.2344,68945
EIA_68957,Pivot Solar 30,CO,5.0,single-axis,ground-mounted,40.434751,-104.6459,68957
EIA_68960,LaSalle Solar 1,IL,2.0,single-axis,ground-mounted,41.166034,-88.63338,68960
EIA_68964,Pivot Solar 35,CO,3.9,single-axis,ground-mounted,40.32734,-104.7518,68964
EIA_68966,Windsor Solar One,CT,3.0,single-axis,ground-mounted,41.85,-72.65,68966
EIA_68971,Moseley Hermon Solar,VA,5.0,single-axis,ground-mounted,37.46754,-77.73352,68971
EIA_68991,Pivot Solar 32,CO,5.0,single-axis,ground-mounted,40.27482,-103.6344,68991
EIA_68998,Long Point Solar,TX,120.0,single-axis,ground-mounted,29.244,-95.676,68998
EIA_69002,Brattleboro (Windham Landfill),VT,5.0,single-axis,ground-mounted,42.89335,-72.54054,69002
EIA_69009,Madison Solar (NE),NE,2.0,single-axis,ground-mounted,41.847718,-97.4452,69009
EIA_69014,North Franklin Solar,CT,5.0,single-axis,ground-mounted,41.65,-72.15,69014
EIA_69015,Bureau Solar 1,IL,5.0,single-axis,ground-mounted,41.442306,-89.48587,69015
EIA_69016,Pivot Solar 34,CO,4.5,single-axis,ground-mounted,40.082241,-105.1669,69016
EIA_69017,Pivot Solar 52,CO,3.7,single-axis,ground-mounted,40.2728,-103.6341,69017
EIA_69018,Pivot Solar NY 10,NY,5.0,single-axis,ground-mounted,44.673387,-75.48876,69018
EIA_69027,"Stoneridge Solar, LLC",TX,100.0,single-axis,ground-mounted,30.569447,-97.11043,69027
EIA_69031,"Nuby Run Solar, LLC",VA,2.0,single-axis,ground-mounted,36.884447,-76.69121,69031
EIA_69032,LaSalle Solar 6,IL,3.6,single-axis,ground-mounted,41.41779,-88.83754,69032
EIA_69033,Peoria Solar 3,IL,4.9,single-axis,ground-mounted,40.811998,-89.69964,69033
EIA_69039,Sutter Home Winery Westside,CA,2.3,single-axis,ground-mounted,38.152145,-121.4022,69039
EIA_69042,Kit Carson Co-Op,NM,10.8,single-axis,ground-mounted,36.969882,-105.4369,69042
EIA_69043,Big Creek Solar (IL) (CSG),IL,5.0,single-axis,ground-mounted,39.070944,-90.13983,69043
EIA_69046,Grant,IL,2.0,single-axis,ground-mounted,42.25282,-88.67917,69046
EIA_69048,MN CSG 2019-113,MN,1.0,single-axis,ground-mounted,44.9834,-95.7118,69048
EIA_69051,Chaberton Solar Blackburn,DE,3.0,single-axis,ground-mounted,39.066233,-75.47778,69051
EIA_69061,ASG-4 Community Solar,NM,5.0,single-axis,ground-mounted,34.609944,-106.8156,69061
EIA_69062,ASG-8,NM,5.0,single-axis,ground-mounted,34.656861,-106.8152,69062
EIA_69063,Appleseed Solar,IN,200.0,single-axis,ground-mounted,40.70551,-86.249,69063
EIA_69066,Goldenrod (IL),IL,5.0,single-axis,ground-mounted,41.20946,-90.58643,69066
EIA_69068,"CA - Fresno, City of - SE Surface WTP",CA,3.0,single-axis,ground-mounted,36.75,-119.65,69068
EIA_69070,Anacott,IL,5.0,single-axis,ground-mounted,39.14763,-89.4496,69070
EIA_69078,Green Acres (VA),VA,5.0,single-axis,ground-mounted,36.782222,-79.94778,69078
EIA_69086,SP-425 Memphis,NY,5.0,single-axis,ground-mounted,43.09582,-76.38432,69086
EIA_69095,Day Hollow,NY,5.0,single-axis,ground-mounted,42.1129,-76.17569,69095
EIA_69096,Jericho,NY,5.0,single-axis,ground-mounted,42.24172,-77.78193,69096
EIA_69100,Rocky Mountain Solar,CO,325.0,single-axis,ground-mounted,38.15319,-104.5763,69100
EIA_69101,Millers Branch Solar,TX,200.0,single-axis,ground-mounted,33.22132,-99.58652,69101
EIA_69103,ASG-2 Community Solar,NM,5.0,single-axis,ground-mounted,35.24175,-106.8145,69103
EIA_69104,SLO-1 Community Solar,NM,5.0,single-axis,ground-mounted,34.784861,-106.654,69104
EIA_69106,SLO-3 Community Solar,NM,5.0,single-axis,ground-mounted,32.433,-106.6862,69106
EIA_69107,XCEL-1 Community Solar,NM,5.0,single-axis,ground-mounted,33.326556,-104.536,69107
EIA_69109,CCBC Essex,MD,1.4,single-axis,ground-mounted,39.351597,-76.48306,69109
EIA_69112,Deptford Solar Farm,NJ,1.3,single-axis,ground-mounted,39.8161,-75.1282,69112
EIA_69113,Uniqlo Phase 1 Solar Farm,NJ,2.7,single-axis,ground-mounted,40.7,-75.2,69113
EIA_69114,Amazon Visalia (FAT2),CA,3.5,single-axis,ground-mounted,36.35914,-119.3869,69114
EIA_69115,DIVOCSG 11  - Sherburne,MN,1.0,single-axis,ground-mounted,45.404645,-93.96943,69115
EIA_69116,Lime Bluff 1,PA,2.5,single-axis,ground-mounted,41.232116,-76.75509,69116
EIA_69117,Lime Bluff 2,PA,1.0,single-axis,ground-mounted,41.232594,-76.75304,69117
EIA_69118,LL Scranton PA,PA,1.1,single-axis,ground-mounted,41.399167,-75.67194,69118
EIA_69123,1519 Crandall Road,RI,3.5,single-axis,ground-mounted,41.579338,-71.1398,69123
EIA_69124,BWC Mystic River,MA,1.0,single-axis,ground-mounted,42.115229,-71.55016,69124
EIA_69125,BWC Origination 19,MA,1.0,single-axis,ground-mounted,42.111032,-71.50615,69125
EIA_69126,BWC Origination 8 LLC Sturbridge 1,MA,1.0,single-axis,ground-mounted,42.123325,-72.06027,69126
EIA_69127,BWC Origination 8 LLC Sturbridge 2,MA,1.0,single-axis,ground-mounted,42.11888,-72.06975,69127
EIA_69129,Dudley Landfill Solar LLC,MA,1.3,single-axis,ground-mounted,42.036241,-71.91281,69129
EIA_69130,ESNY-Yorktown,NY,4.0,single-axis,ground-mounted,41.21595,-73.80604,69130
EIA_69131,Hampden Landfill Solar LLC,MA,1.9,single-axis,ground-mounted,42.064097,-72.39751,69131
EIA_69132,KP Ontario Vineyard Solar,CA,1.7,single-axis,ground-mounted,34.032177,-117.6088,69132
EIA_69133,Manville Hill Road Solar,RI,4.5,single-axis,ground-mounted,41.972496,-71.46998,69133
EIA_69134,Penobscot Narrows Solar I,ME,5.0,single-axis,ground-mounted,44.590083,-68.80834,69134
EIA_69135,Reston Town Center Solar 1,VA,1.0,single-axis,ground-mounted,38.959906,-77.35767,69135
EIA_69137,Althea Avenue Solar,CA,5.0,single-axis,ground-mounted,36.893121,-120.6569,69137
EIA_69140,Uniqlo NJ CS Ph 2 CSG,NJ,1.3,single-axis,ground-mounted,40.695378,-75.16338,69140
EIA_69141,DE-ECA CS Hartly,DE,4.0,single-axis,ground-mounted,39.186235,-75.73084,69141
EIA_69142,Novel Stumpf 1 Solar CSG,MN,1.0,single-axis,ground-mounted,44.517319,-92.51089,69142
EIA_69143,Eldorado Solar II,IL,120.0,single-axis,ground-mounted,37.8688,-88.4259,69143
EIA_69145,GIUD Solar I,NE,1.0,single-axis,ground-mounted,40.925157,-98.31439,69145
EIA_69153,NSF Edmeston Site 1,NY,5.0,single-axis,ground-mounted,42.67956,-75.31425,69153
EIA_69154,NSF Edmeston Site 2,NY,4.7,single-axis,ground-mounted,42.679736,-75.31302,69154
EIA_69161,SV CSG Gander Farms 1 A,IL,2.0,single-axis,ground-mounted,37.75086,-89.03886,69161
EIA_69163,10601 Seymour Ave East 2 CSG,IL,2.0,single-axis,ground-mounted,41.949194,-87.893,69163
EIA_69164,Tilden Solar,IL,150.0,single-axis,ground-mounted,38.190651,-89.68408,69164
EIA_69166,"New Madrid Solar, LLC",MO,200.0,single-axis,ground-mounted,36.5004,-89.6357,69166
EIA_69172,Red Bud Solar Plant,NC,80.0,single-axis,ground-mounted,36.077414,-78.02241,69172
EIA_69179,Chester,NY,5.0,single-axis,ground-mounted,41.375398,-74.27752,69179
EIA_69183,SAE Ottawa IL,IL,2.0,single-axis,ground-mounted,41.335883,-88.86978,69183
EIA_69187,Big Bend 1 Solar and Battery Storage,FL,19.8,single-axis,ground-mounted,27.78529,-82.38471,69187
EIA_69188,10701 Seymour Ave East 1 CSG,IL,2.9,single-axis,ground-mounted,41.949124,-87.89545,69188
EIA_69190,"GreenStruxure BBU004, LLC",CA,1.6,single-axis,ground-mounted,34.007486,-118.12,69190
EIA_69192,AETS Old Michigan Solar LLC,TX,10.0,single-axis,ground-mounted,31.826508,-104.2103,69192
EIA_69193,KaneSolar03 LLC,IL,2.5,single-axis,ground-mounted,41.893158,-88.55198,69193
EIA_69201,KA361,IL,2.0,single-axis,ground-mounted,41.267199,-87.77736,69201
EIA_69210,Salem Henningsen,OR,1.1,single-axis,ground-mounted,44.890515,-122.972,69210
EIA_69212,Ransom,NY,5.0,single-axis,ground-mounted,42.174955,-75.92147,69212
EIA_69213,Sawyer,IL,5.0,single-axis,ground-mounted,41.78285,-89.95483,69213
EIA_69214,Shoddy Hollow,NY,5.0,single-axis,ground-mounted,41.476229,-74.50891,69214
EIA_69216,State Route 42,NY,5.0,single-axis,ground-mounted,41.548989,-74.74971,69216
EIA_69219,Wedge NY,NY,3.0,single-axis,ground-mounted,42.206071,-76.77013,69219
EIA_69221,Edison 0203 Community Solar - SLNNJ203,NJ,1.2,single-axis,ground-mounted,40.522685,-74.4184,69221
EIA_69227,MEVS Clark LLC,ME,5.0,single-axis,ground-mounted,45.06377,-69.88589,69227
EIA_69228,Mound City Solar,IL,5.0,single-axis,ground-mounted,37.090121,-89.17606,69228
EIA_69230,Pope Creek Solar PV,IL,5.0,single-axis,ground-mounted,41.204012,-90.73258,69230
