case_id,p_name,p_state,p_cap_ac,p_axis,p_sys_type,ylat,xlong,eia_id
EIA_69733,Fort Polk (fka Johnson) - Chaffee West,LA,4.5,single-axis,ground-mounted,31.099349,-93.1984,69733
EIA_69734,Legoland CA Phase I,CA,1.4,single-axis,ground-mounted,33.126734,-117.3081,69734
EIA_69735,Marathon Petroleum - Robinson Refinery,IL,5.0,single-axis,ground-mounted,39.003586,-87.727,69735
EIA_69736,New Britain - 142 Deming Rd,CT,1.2,single-axis,ground-mounted,41.638123,-72.74504,69736
EIA_69737,Pacific Aviation,CA,2.5,single-axis,ground-mounted,34.214404,-118.5006,69737
EIA_69739,Toyota Boshoku,IL,4.8,single-axis,ground-mounted,38.721952,-87.63615,69739
EIA_69740,Tucson - CAVSARP,AZ,7.2,single-axis,ground-mounted,32.246736,-111.2553,69740
EIA_69744,"Altamont Road Solar, LLC",NY,5.0,single-axis,ground-mounted,42.653654,-73.96058,69744
EIA_69746,"Brodhead Solar, LLC",NY,2.0,single-axis,ground-mounted,41.65819,-74.11358,69746
EIA_69748,Faraday Solar,UT,525.0,single-axis,ground-mounted,40.0936,-112.0833,69748
EIA_69754,Moores Hill,NY,2.5,single-axis,ground-mounted,41.478998,-74.09117,69754
EIA_69757,Netflix ABQ System A,NM,2.6,single-axis,ground-mounted,34.998,-106.611,69757
EIA_69758,Netflix ABQ System B,NM,2.0,single-axis,ground-mounted,34.998,-106.611,69758
EIA_69759,Tracy Linne,CA,1.4,single-axis,ground-mounted,37.692858,-121.4102,69759
EIA_69774,CBEP Solar 3,CO,2.4,single-axis,ground-mounted,40.590104,-104.9952,69774
EIA_69800,Oreana Solar,IL,5.0,single-axis,ground-mounted,39.935097,-88.89152,69800
EIA_69801,Lebanon West Lebanon Solar 1,ME,2.0,single-axis,ground-mounted,43.379,-70.943,69801
EIA_69802,Berwick Hubbard Solar 1,ME,3.5,single-axis,ground-mounted,43.328,-70.911,69802
EIA_69822,Holtsville Coast Solar Project,NY,1.0,single-axis,ground-mounted,40.797381,-73.03351,69822
EIA_69824,Blackwater Rd Solar,NH,2.0,single-axis,ground-mounted,43.24719,-70.8808,69824
EIA_69856,Morongo CRS 1,CA,3.0,single-axis,ground-mounted,33.55265,-116.476,69856
EIA_69863,Galva Landfill,IL,3.7,single-axis,ground-mounted,41.177203,-90.0335,69863
EIA_69875,"Sycamore Creek Solar, LLC",OH,117.0,single-axis,ground-mounted,40.953,-82.859,69875
