case_id,valid_time,MW_AC
400011,2026-07-05 12:00:00,0.5198689
407013,2026-07-05 12:00:00,4.0
404351,2026-07-05 12:00:00,0.11429964
404352,2026-07-05 12:00:00,2.0
404336,2026-07-05 12:00:00,2.0
404988,2026-07-05 12:00:00,0.5043836
406923,2026-07-05 12:00:00,4.9
406921,2026-07-05 12:00:00,4.9
406924,2026-07-05 12:00:00,4.9
407037,2026-07-05 12:00:00,3.5427086
406910,2026-07-05 12:00:00,0.09517098
407046,2026-07-05 12:00:00,0.759589
407047,2026-07-05 12:00:00,0.98557794
407056,2026-07-05 12:00:00,0.05692339
407002,2026-07-05 12:00:00,4.0
407053,2026-07-05 12:00:00,2.9837108
406918,2026-07-05 12:00:00,4.5
406922,2026-07-05 12:00:00,4.0
406917,2026-07-05 12:00:00,0.99714005
406932,2026-07-05 12:00:00,0.5331413
407026,2026-07-05 12:00:00,4.0742226
405467,2026-07-05 12:00:00,0.7125448
403022,2026-07-05 12:00:00,1.175218
404731,2026-07-05 12:00:00,0.824017
402533,2026-07-05 12:00:00,0.15779051
404478,2026-07-05 12:00:00,0.06590844
407012,2026-07-05 12:00:00,2.5557165
407009,2026-07-05 12:00:00,2.4020998
407010,2026-07-05 12:00:00,2.4023163
407028,2026-07-05 12:00:00,1.5667044
407029,2026-07-05 12:00:00,1.5660378
407003,2026-07-05 12:00:00,5.0
407025,2026-07-05 12:00:00,5.0
406894,2026-07-05 12:00:00,2.0
403744,2026-07-05 12:00:00,0.9180388
406225,2026-07-05 12:00:00,0.09113318
404088,2026-07-05 12:00:00,2.0
403021,2026-07-05 12:00:00,1.1578002
403446,2026-07-05 12:00:00,0.7848918
405534,2026-07-05 12:00:00,0.61161464
404569,2026-07-05 12:00:00,0.88777155
404555,2026-07-05 12:00:00,1.3151944
403722,2026-07-05 12:00:00,0.8265225
404720,2026-07-05 12:00:00,0.6768718
407055,2026-07-05 12:00:00,0.04397682
405526,2026-07-05 12:00:00,1.0
402344,2026-07-05 12:00:00,2.0016592
403708,2026-07-05 12:00:00,0.18456334
405855,2026-07-05 12:00:00,0.86614794
404089,2026-07-05 12:00:00,1.1942165
403726,2026-07-05 12:00:00,0.68889064
404675,2026-07-05 12:00:00,0.668832
402316,2026-07-05 12:00:00,0.3286733
403706,2026-07-05 12:00:00,0.1845397
404471,2026-07-05 12:00:00,0.06882426
403427,2026-07-05 12:00:00,1.0
403426,2026-07-05 12:00:00,1.0
403419,2026-07-05 12:00:00,1.0
405464,2026-07-05 12:00:00,0.11008568
403677,2026-07-05 12:00:00,0.08115708
403404,2026-07-05 12:00:00,0.13904275
403421,2026-07-05 12:00:00,0.09746236
403019,2026-07-05 12:00:00,0.13707797
403365,2026-07-05 12:00:00,2.0
403367,2026-07-05 12:00:00,2.0
403370,2026-07-05 12:00:00,2.0
403935,2026-07-05 12:00:00,2.0
403936,2026-07-05 12:00:00,2.0
403727,2026-07-05 12:00:00,0.52484155
404350,2026-07-05 12:00:00,0.0085794525
405592,2026-07-05 12:00:00,2.0
403742,2026-07-05 12:00:00,0.012815206
403301,2026-07-05 12:00:00,1.989809
403302,2026-07-05 12:00:00,0.039579313
404591,2026-07-05 12:00:00,3.2005033
403300,2026-07-05 12:00:00,0.5882101
403299,2026-07-05 12:00:00,0.6592455
404592,2026-07-05 12:00:00,0.730315
403672,2026-07-05 12:00:00,2.7865076
403326,2026-07-05 12:00:00,5.0
403670,2026-07-05 12:00:00,0.98769486
404051,2026-07-05 12:00:00,1.7286946
404295,2026-07-05 12:00:00,5.0
404293,2026-07-05 12:00:00,1.6565384
407033,2026-07-05 12:00:00,1.728
407027,2026-07-05 12:00:00,2.741992
401995,2026-07-05 12:00:00,0.42522505
403447,2026-07-05 12:00:00,0.097470574
403015,2026-07-05 12:00:00,0.40667918
403035,2026-07-05 12:00:00,0.47050273
404563,2026-07-05 12:00:00,0.33491227
405404,2026-07-05 12:00:00,0.40804416
403721,2026-07-05 12:00:00,0.5665503
401820,2026-07-05 12:00:00,8.088695
404226,2026-07-05 12:00:00,1.0
403732,2026-07-05 12:00:00,0.63587344
403841,2026-07-05 12:00:00,2.0
