date,oil_hdd,ne_hdd,hdd_NY,hdd_PA,hdd_MA,hdd_CT,hdd_ME,hdd_NJ,hdd_NH,hdd_MD,hdd_RI,hdd_VA,hdd_VT,hdd_NC,hdd_OH,hdd_AK,hdd_WA,hdd_MI
2018-07-01,0.3236348053011048,0.0178113631142733,0.0,0.0,0.0,0.0,0.1030988954909255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.753519946932848,8.539988620303516,0.0922025371437445
2018-07-02,0.333080283964707,0.0431003404814334,0.0,0.0,0.0038800397150951,0.0,0.2421144412592018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.37590800548587,9.647514418338114,0.1356413208753027
2018-07-03,0.2799564187180833,0.0260437045989928,0.0,0.0,0.0010451780703764,0.0,0.1487664319889945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76671674814337,10.365081417761912,0.0972532813891757
2018-07-04,0.1178125660589454,0.0043005615774966,0.0,0.0,0.0,0.0,0.0248932743544655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.361013401641104,4.641754771235134,0.0870767446432447
2018-07-05,0.0204510985007547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0755156711531748,0.7153672108414817,0.0450762830172215
2018-07-06,0.1164305458262705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.266594783700677,0.2495774443172972,0.2542864179727107
2018-07-07,0.5193046312472588,0.5156157854658535,0.4423642563102475,0.1209857330639047,0.007211612037466,0.0,1.3703561261397417,0.0,0.8362332480961564,0.0,0.0,0.0,3.292122810784449,0.0,0.0,10.25613122048075,4.00207803339544,0.1827359041305955
2018-07-08,0.1840012788579904,0.0335443492417275,0.0001771126977146,0.0334374187099838,0.0052506450889322,0.0,0.1285770526602201,0.0,0.0831156572856045,0.0151612132105643,0.0,0.0003565293648676,0.0009753165703637,0.0126743289384848,0.0,7.900691365412136,5.290284447653788,0.0070582003801257
2018-07-09,0.1256912215690142,0.0158567590450477,0.0,0.0,0.0073508981883661,0.0,0.0778285671643278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.406328812596113,2.4658492296020356,0.0332473671649917
2018-07-10,0.1650405376862514,0.0127210877101312,0.0,0.0,0.0,0.0,0.0736344593023717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.927264149401171,5.971969403312299,0.1976938087575937
2018-07-11,0.2189700129156311,0.0664907044669549,0.0030306270208934,0.0,0.0,0.0,0.3226278594619253,0.0,0.0729985782815286,0.0,0.0,0.0,0.0430928213553265,0.0,0.0,10.079673489737214,4.672349481037317,0.1772788109622218
