date,padd1a,padd1b
1983-01-15,8966.085714285715,20422.504761904762
1983-02-15,8687.533333333333,18851.066666666666
1983-03-15,7368.4047619047615,17724.545238095237
1983-04-15,6170.142857142858,13285.92857142857
1983-05-15,2961.459523809524,6944.295238095237
1983-06-15,2295.0714285714284,7724.214285714285
1983-07-15,2438.592857142857,5899.890476190476
1983-08-15,2439.995238095238,7329.8761904761905
1983-09-15,2625.9285714285716,6502.857142857143
1983-10-15,3140.152380952381,7810.966666666667
1983-11-15,5790.0,13403.857142857143
1983-12-15,10648.278571428571,22515.152380952382
1984-01-15,12748.89761904762,27452.345238095237
1984-02-15,6755.135714285713,19512.65
1984-03-15,9030.447619047618,22166.697619047616
1984-04-15,4917.0,14723.0
1984-05-15,3472.295238095238,9716.654761904761
1984-06-15,2175.5,6499.428571428572
1984-07-15,1514.2761904761905,8133.145238095239
1984-08-15,2492.3261904761903,9673.845238095239
1984-09-15,3050.7857142857147,9182.142857142857
1984-10-15,2858.6428571428573,9217.85
1984-11-15,4677.785714285715,15220.57142857143
1984-12-15,7163.804761904762,22171.052380952384
1985-01-15,9967.82857142857,28812.654761904763
1985-02-15,7642.666666666667,22658.333333333332
1985-03-15,5941.297619047619,19828.780952380952
1985-04-15,3542.0714285714284,13064.214285714286
1985-05-15,2328.8380952380953,9233.57142857143
1985-06-15,1777.4285714285713,7652.928571428572
1985-07-15,1876.7547619047618,7912.011904761905
1985-08-15,2257.1690476190474,9706.39523809524
1985-09-15,2525.785714285714,9615.42857142857
1985-10-15,3191.8190476190475,12499.716666666665
1985-11-15,3841.785714285714,14088.714285714286
1985-12-15,7671.319047619047,23927.792857142857
1986-01-15,7926.183333333333,20283.742857142857
1986-02-15,9265.666666666666,21162.73333333333
1986-03-15,5623.547619047619,15135.307142857144
1986-04-15,3722.5714285714284,11691.42857142857
1986-05-15,3086.5666666666666,8395.759523809524
1986-06-15,1932.857142857143,6896.285714285715
1986-07-15,1723.6738095238095,7137.82380952381
1986-08-15,3273.0095238095237,9177.771428571428
1986-09-15,3496.3571428571427,8719.857142857143
1986-10-15,4448.721428571429,11419.14523809524
1986-11-15,6315.785714285715,13807.785714285714
1986-12-15,9531.245238095238,20999.399999999998
1987-01-15,9841.614285714286,23544.57380952381
1987-02-15,9590.800000000001,19559.399999999998
1987-03-15,7717.302380952381,18499.25
1987-04-15,5040.428571428572,10502.92857142857
1987-05-15,3349.6976190476194,8638.888095238095
1987-06-15,2768.285714285714,7363.571428571428
1987-07-15,3443.2880952380956,7991.800000000001
1987-08-15,3071.804761904762,7331.795238095237
1987-09-15,3179.214285714286,8307.214285714286
1987-10-15,4835.778571428571,12772.664285714287
1987-11-15,6473.142857142857,13810.357142857143
1987-12-15,9755.035714285714,19051.861904761907
1988-01-15,14076.214285714286,25294.080952380955
1988-02-15,11761.916666666666,23377.45238095238
1988-03-15,9352.552380952382,18437.988095238095
1988-04-15,5617.857142857143,12833.92857142857
1988-05-15,4696.573809523809,10589.304761904761
1988-06-15,3247.8571428571427,9320.714285714286
1988-07-15,3417.307142857143,10548.045238095237
1988-08-15,3912.4214285714284,10429.433333333334
1988-09-15,4448.285714285715,8974.214285714286
1988-10-15,5936.647619047619,14182.869047619048
1988-11-15,7344.714285714285,16921.928571428572
1988-12-15,11848.34761904762,23405.885714285716
1989-01-15,12002.388095238095,22542.904761904763
1989-02-15,11089.333333333334,20130.066666666666
1989-03-15,10041.269047619047,20212.221428571425
1989-04-15,6596.142857142857,12796.214285714286
1989-05-15,4207.733333333334,9580.919047619049
1989-06-15,3116.285714285714,9432.642857142857
1989-07-15,2783.504761904762,8405.945238095239
1989-08-15,3187.316666666667,10576.314285714287
1989-09-15,3953.0,10723.857142857143
1989-10-15,5510.25,12142.92142857143
1989-11-15,7663.285714285715,15512.357142857143
1989-12-15,13844.083333333334,27615.90714285714
1990-01-15,11902.892857142857,19809.442857142858
1990-02-15,11531.866666666665,17574.2
1990-03-15,8733.880952380952,16887.545238095237
1990-04-15,6174.142857142857,13031.357142857143
1990-05-15,4323.392857142857,10562.511904761905
1990-06-15,3340.714285714286,8260.857142857143
1990-07-15,3246.8809523809523,8725.614285714286
1990-08-15,4711.557142857143,11275.290476190476
1990-09-15,3805.3571428571427,11399.857142857143
1990-10-15,4100.045238095238,11243.109523809524
1990-11-15,6634.142857142857,13599.42857142857
1990-12-15,7961.390476190475,17312.614285714284
1991-01-15,11304.814285714287,22545.340476190475
1991-02-15,7682.6,15870.8
1991-03-15,7894.814285714286,15518.157142857142
1991-04-15,5787.142857142857,11340.857142857143
1991-05-15,3416.2,9207.664285714285
1991-06-15,2615.9285714285716,7465.142857142857
1991-07-15,2887.7976190476193,8681.107142857143
1991-08-15,3163.3285714285716,9794.745238095238
1991-09-15,3315.9285714285716,9569.714285714286
1991-10-15,4899.476190476191,11527.054761904761
1991-11-15,6212.214285714285,13885.714285714286
1991-12-15,9520.911904761904,18409.350000000002
1992-01-15,11586.028571428571,21654.82857142857
1992-02-15,9062.016666666666,17689.102380952383
1992-03-15,9511.464285714286,17064.466666666667
1992-04-15,5983.857142857143,13307.785714285714
1992-05-15,3888.285714285714,9449.833333333334
1992-06-15,2932.2142857142862,8975.857142857143
1992-07-15,2931.4190476190474,8436.059523809523
1992-08-15,3454.359523809524,8720.669047619049
1992-09-15,4600.357142857143,10647.0
1992-10-15,4869.804761904762,12565.923809523807
1992-11-15,6410.285714285715,14175.357142857143
1992-12-15,9471.90238095238,19583.216666666667
1993-01-15,9408.204761904763,18784.819047619047
1993-02-15,10023.0,19259.0
1993-03-15,9329.966666666667,20279.019047619047
1993-04-15,5137.857142857143,11793.714285714286
1993-05-15,2898.942857142857,8169.533333333333
1993-06-15,2860.714285714286,8311.57142857143
1993-07-15,2472.102380952381,8299.880952380952
1993-08-15,2602.5238095238096,7580.385714285714
1993-09-15,3309.8571428571427,8423.714285714286
1993-10-15,3900.6857142857148,8062.730952380953
1993-11-15,5833.0,10490.0
1993-12-15,9003.359523809524,16635.190476190477
1994-01-15,12547.323809523808,23027.759523809524
1994-02-15,10093.666666666666,19313.666666666668
1994-03-15,8534.300000000001,15839.745238095236
