var,fdate,n,mean,median,p10,p25,p75,p90,min,max,spread_p90_p10,eqwt_median
tmax2m,20260705,249,93.47751004016065,93.6,87.68,90.2,96.6,99.2,79.4,104.6,11.519999999999996,93.20833333333333
tmax2m,20260706,249,86.30401606425701,86.0,81.18,83.3,88.8,92.4,74.8,98.5,11.219999999999999,85.90833333333332
tmax2m,20260707,249,83.7293172690763,84.1,76.9,80.7,87.5,89.4,69.9,100.3,12.5,83.45833333333333
tmax2m,20260708,249,85.3289156626506,85.3,79.96,82.3,88.4,90.62,71.9,96.1,10.66000000000001,85.09166666666667
tmax2m,20260709,249,89.62570281124499,89.5,84.66,86.9,92.2,94.62,74.6,100.5,9.960000000000008,89.63333333333333
tmax2m,20260710,249,90.21325301204818,89.9,86.1,87.9,92.2,95.52,77.8,99.3,9.420000000000002,90.35833333333333
tmax2m,20260711,249,85.73453815261045,85.6,79.24,82.5,89.0,92.04,72.6,99.6,12.800000000000011,86.53333333333335
tmax2m,20260712,249,85.14859437751004,85.0,78.5,82.7,88.7,91.02,68.2,97.8,12.519999999999996,85.74166666666667
tmax2m,20260713,249,85.72489959839358,85.9,78.7,81.8,88.8,92.9,64.7,102.7,14.200000000000003,85.23333333333333
tmax2m,20260714,249,88.12088353413654,88.0,80.03999999999999,83.9,92.0,96.22,72.2,110.8,16.180000000000007,87.95
tmax2m,20260715,249,88.8859437751004,89.0,80.25999999999999,84.8,93.4,96.4,70.1,109.9,16.140000000000015,89.13333333333334
tmax2m,20260716,249,89.26546184738955,89.2,81.18,84.9,93.8,97.4,71.4,107.5,16.22,89.05
tmax2m,20260717,249,89.13654618473896,89.3,81.2,84.3,93.5,96.92,70.7,110.9,15.719999999999999,87.97500000000001
tmax2m,20260718,249,88.07831325301204,88.1,80.3,83.0,92.2,95.92,70.7,107.2,15.620000000000005,87.46666666666668
tmax2m,20260719,83,87.21445783132529,87.3,80.1,82.1,91.5,95.92,70.1,103.0,15.820000000000007,86.06666666666666
tmin2m,20260705,249,73.12690763052208,73.2,70.8,71.8,74.4,75.5,67.3,77.6,4.700000000000003,73.01666666666667
tmin2m,20260706,249,71.83815261044177,71.9,69.4,70.6,73.0,74.3,65.8,76.4,4.8999999999999915,71.86666666666666
tmin2m,20260707,249,70.37871485943775,70.7,66.7,69.0,72.2,73.3,62.0,75.8,6.599999999999994,70.68333333333334
tmin2m,20260708,249,69.24939759036144,69.2,65.7,67.5,71.3,72.32000000000001,61.4,75.7,6.6200000000000045,69.35833333333333
tmin2m,20260709,249,70.97429718875502,71.2,67.98,69.7,72.6,73.5,62.9,76.6,5.519999999999996,70.72500000000001
tmin2m,20260710,249,72.50200803212851,72.5,70.1,71.3,73.7,75.1,64.3,78.3,5.0,72.43333333333334
tmin2m,20260711,249,70.31084337349398,70.4,66.5,68.4,72.4,74.2,61.4,76.6,7.700000000000003,70.55833333333334
tmin2m,20260712,249,68.1449799196787,68.3,63.879999999999995,65.8,70.3,72.12,57.7,77.4,8.240000000000009,68.38333333333334
tmin2m,20260713,249,67.54979919678715,67.6,63.0,65.3,69.9,71.82000000000001,58.7,78.7,8.820000000000007,67.38333333333334
tmin2m,20260714,249,68.07590361445784,67.8,62.68,65.2,70.6,73.52,58.2,83.6,10.839999999999996,67.34166666666667
tmin2m,20260715,249,69.77951807228915,70.3,63.379999999999995,66.3,73.0,75.7,57.1,85.9,12.320000000000007,69.65833333333335
tmin2m,20260716,249,70.57791164658636,70.7,64.68,67.6,73.3,76.06,57.3,87.9,11.379999999999995,70.00833333333334
tmin2m,20260717,249,71.16546184738955,71.9,65.38000000000001,67.7,74.2,76.44000000000001,59.6,83.9,11.060000000000002,70.69166666666666
tmin2m,20260718,249,70.70602409638553,70.6,65.1,67.6,74.0,76.02,55.9,83.6,10.920000000000002,70.65833333333333
tmin2m,20260719,83,70.49277108433735,70.1,63.800000000000004,66.9,74.6,76.84,56.0,82.7,13.04,70.33333333333333
