utc,total,p10,p90,CE,DOM,AEP,ATSI,AP,PS,PL,PE,BC,PEP,REST
2026-06-28 00:00:00+00:00,106442.1762874492,104945.50012470457,107938.85245019385,12294.43838737922,19560.523617254625,18477.63878580243,8227.152890046744,5774.911861962642,5391.317520353607,4627.300588998194,4480.331965352816,3872.984313353148,3630.6697219397192,20104.906635006024
2026-06-28 01:00:00+00:00,105537.79500540983,104041.11884266512,107034.4711681544,12119.909046506145,19266.008183477432,18378.99131073157,8202.101422413281,5790.283796291159,5373.498560511873,4571.9607034780365,4362.757187300126,3868.2205198583342,3585.8106281347814,20018.253646707082
2026-06-28 02:00:00+00:00,103158.05434116702,101661.37817842238,104654.73050391166,12016.490561940442,18736.95424516637,17983.63058448711,7837.840816410582,5646.797720765073,5329.601940144219,4445.6303833936,4305.870411092053,3796.166822249507,3520.7904109761716,19538.2804445419
2026-06-28 03:00:00+00:00,99277.41704903611,97780.74088629166,100774.09321178094,11820.392100288955,18287.20716973154,17565.205563050305,7567.095731008632,5396.754818730258,5104.9685293462235,4256.694312869764,4097.107371213146,3642.4113599618427,3282.5261427826426,18257.053950052807
2026-06-28 04:00:00+00:00,93643.35303903172,91906.3666808969,95385.01532423384,10923.230611229623,17306.693385948627,16689.81104870439,7186.47858874111,5198.38183988346,4862.867427653884,4069.1987852227862,3952.9365945456793,3335.6813131204854,3116.1762458216217,17001.897198160033
2026-06-28 05:00:00+00:00,88111.4705041197,86422.05446543221,89791.4987425914,10086.598710312812,16346.95183438229,15961.2329174727,6772.860994266962,4892.81497456056,4522.541688619034,3877.545192737921,3730.148625895407,3085.6499513421995,2887.5112573069323,15947.614357222878
2026-06-28 06:00:00+00:00,83286.79333265779,81659.88061131316,84916.08873624667,9369.680511393879,15731.163644886954,15337.861742714986,6411.777033176166,4634.799376521985,4321.452872260074,3684.7324921093573,3527.440845221582,2901.012313389837,2758.1245833213247,14608.747917661656
2026-06-28 07:00:00+00:00,80546.77234529283,78929.34378121281,82172.16582403936,8940.99468571112,15560.56431969674,14720.806188112721,6206.351010420803,4482.030068118978,4182.630081014943,3546.389750662872,3411.5573874095153,2798.0529553409133,2652.994114557326,14044.401784246907
2026-06-28 08:00:00+00:00,78601.11477146027,76989.73811994753,80242.78385356146,8683.869871506819,15283.8005561168,14283.231803110773,6144.02398111769,4384.779948270227,4058.9764871110033,3463.9271784346047,3325.226733400145,2695.0507373533505,2575.9071213287075,13702.320353710156
2026-06-28 09:00:00+00:00,78027.25745536236,76433.26224286397,79684.86826394185,8474.01299015598,15290.958541747957,14300.20980602632,6138.100941841821,4359.434919836932,4039.8944098691836,3440.330890209771,3314.146101877568,2588.7628097538704,2550.037600805843,13531.368443237106
