var,fdate,n,mean,median,p10,p25,p75,p90,min,max,spread_p90_p10,eqwt_median
tmax2m,20260701,249,98.9859437751004,98.7,96.5,97.4,100.4,102.12,93.7,105.2,5.6200000000000045,98.94166666666666
tmax2m,20260702,249,102.80763052208835,102.9,99.88000000000001,100.9,104.6,105.9,97.8,107.7,6.019999999999996,102.95833333333333
tmax2m,20260703,249,103.24859437751005,103.5,98.98,100.8,105.7,107.3,93.2,109.7,8.319999999999993,103.44999999999999
tmax2m,20260704,249,100.84618473895581,101.0,96.3,98.2,103.5,105.52,90.9,110.0,9.219999999999999,101.38333333333333
tmax2m,20260705,249,95.76546184738955,95.7,89.7,92.6,99.4,102.34,79.8,109.3,12.64,95.675
tmax2m,20260706,249,89.92369477911646,90.1,81.68,85.7,94.3,98.30000000000001,71.0,104.3,16.620000000000005,89.78333333333335
tmax2m,20260707,249,87.18755020080322,87.1,79.68,83.5,91.0,95.52,70.6,102.3,15.83999999999999,87.40833333333335
tmax2m,20260708,249,87.03654618473895,86.2,80.0,82.8,91.0,94.9,74.8,104.3,14.900000000000006,87.325
tmax2m,20260709,249,87.54939759036144,87.5,80.46,83.6,91.6,94.46000000000001,72.8,99.6,14.000000000000014,87.94166666666666
tmax2m,20260710,249,89.54819277108433,89.6,83.2,86.5,92.9,96.0,70.4,101.8,12.799999999999997,89.40833333333335
tmax2m,20260711,249,89.35100401606425,89.7,82.7,85.8,92.9,96.0,71.3,103.5,13.299999999999997,90.075
tmax2m,20260712,249,89.42048192771085,89.5,81.88000000000001,85.7,93.5,96.7,73.5,106.1,14.819999999999993,89.79166666666667
tmax2m,20260713,249,89.01847389558233,89.5,81.06,84.7,93.3,96.42,71.3,104.6,15.36,90.00833333333333
tmax2m,20260714,249,89.26907630522088,89.2,80.9,85.0,93.3,97.8,72.9,109.5,16.89999999999999,89.70833333333333
tmax2m,20260715,249,88.68634538152611,88.1,80.58,84.3,93.3,98.34,71.0,103.9,17.760000000000005,88.83333333333333
tmax2m,20260716,52,92.72115384615387,92.85,83.24000000000001,88.275,98.025,102.69999999999999,76.4,108.2,19.45999999999998,91.5
tmin2m,20260701,249,74.16345381526105,74.4,71.7,72.8,75.4,76.4,70.1,79.1,4.700000000000003,74.35000000000001
tmin2m,20260702,249,79.33493975903615,79.6,75.7,76.9,81.5,82.52,72.8,85.0,6.819999999999993,79.26666666666665
tmin2m,20260703,249,80.65381526104419,80.7,77.28,78.5,82.7,84.02,71.7,87.1,6.739999999999995,80.68333333333332
tmin2m,20260704,249,77.5879518072289,77.8,73.7,75.7,79.4,81.4,67.6,84.8,7.700000000000003,77.35833333333333
tmin2m,20260705,249,74.46465863453815,74.6,71.28,72.6,76.0,77.8,66.7,81.8,6.519999999999996,73.95833333333333
tmin2m,20260706,249,72.65863453815261,72.8,69.58,71.0,74.6,76.2,62.0,79.4,6.6200000000000045,72.53333333333333
tmin2m,20260707,249,71.24819277108435,71.5,66.06,69.0,73.8,75.5,60.7,82.0,9.439999999999998,71.79166666666667
tmin2m,20260708,249,70.23413654618474,70.5,64.98,68.1,73.1,74.66,56.4,80.5,9.679999999999993,70.98333333333333
tmin2m,20260709,249,70.13855421686748,70.4,65.44,67.9,72.6,74.42,59.1,80.2,8.980000000000004,70.45833333333333
tmin2m,20260710,249,70.62811244979919,70.8,66.02,68.5,73.3,74.8,61.8,80.3,8.780000000000001,70.825
tmin2m,20260711,249,71.54417670682732,71.9,66.8,69.5,73.8,75.82000000000001,59.8,79.8,9.02000000000001,72.00833333333334
tmin2m,20260712,249,71.38273092369478,72.0,66.1,69.3,73.8,75.8,60.5,80.2,9.700000000000003,71.55833333333334
tmin2m,20260713,249,70.90120481927711,70.9,65.6,67.9,73.8,76.02,56.8,82.0,10.420000000000002,71.21666666666665
tmin2m,20260714,249,70.76305220883535,70.8,64.96,68.1,73.7,76.0,57.5,83.4,11.040000000000006,70.90833333333333
tmin2m,20260715,249,70.70120481927711,70.8,65.36,67.8,73.5,76.22,58.0,83.0,10.86,70.96666666666667
tmin2m,20260716,52,72.82499999999999,73.8,63.74,69.1,78.05,79.89,56.4,84.3,16.15,70.8
