var,fdate,n,mean,median,p10,p25,p75,p90,min,max,spread_p90_p10,eqwt_median
tmax2m,20260629,83,84.60481927710845,84.8,82.5,83.6,85.6,86.46,81.4,89.5,3.9599999999999937,84.66666666666667
tmax2m,20260630,52,88.46153846153848,88.4,85.7,86.95,90.175,91.48,83.4,92.8,5.780000000000001,88.44999999999999
tmax2m,20260701,83,98.46626506024096,98.2,95.82,97.15,100.0,101.36,93.1,103.4,5.540000000000006,98.83333333333333
tmax2m,20260702,83,102.28072289156626,102.5,99.74000000000001,100.7,104.19999999999999,104.96,96.4,106.3,5.219999999999985,102.60000000000001
tmax2m,20260703,83,102.62048192771084,102.3,99.7,100.80000000000001,104.35,105.9,97.3,108.4,6.200000000000003,102.83333333333333
tmax2m,20260704,83,97.75903614457832,98.7,87.6,95.9,101.9,104.96,80.0,107.2,17.36,99.06666666666666
tmax2m,20260705,83,94.5409638554217,94.5,85.61999999999999,92.3,99.30000000000001,102.74,69.3,105.2,17.120000000000005,95.93333333333332
tmax2m,20260706,83,91.50120481927709,91.1,83.86,88.45,96.0,99.58,73.0,103.4,15.719999999999999,91.93333333333334
tmax2m,20260707,83,87.83253012048192,88.4,80.54,84.3,91.35,95.06,71.7,99.4,14.519999999999996,87.93333333333334
tmax2m,20260708,83,88.51204819277108,89.3,82.17999999999999,85.6,92.30000000000001,94.16,71.7,99.6,11.980000000000004,89.73333333333335
tmax2m,20260709,83,88.99638554216867,88.8,80.66,85.30000000000001,93.7,97.6,70.8,101.2,16.939999999999998,89.36666666666667
tmax2m,20260710,83,90.46867469879517,90.8,83.0,86.7,94.65,97.3,68.9,106.1,14.299999999999997,90.60000000000001
tmax2m,20260711,83,90.26867469879518,91.1,81.86,86.95,94.75,97.1,72.8,102.1,15.239999999999995,90.13333333333333
tmax2m,20260712,83,90.6578313253012,90.8,81.60000000000001,87.4,93.9,99.75999999999999,73.9,104.1,18.159999999999982,90.36666666666667
tmax2m,20260713,83,89.88072289156626,90.1,82.02,85.9,94.7,96.82000000000001,66.8,105.7,14.800000000000011,90.86666666666667
tmin2m,20260629,83,68.46746987951806,68.3,66.72,67.4,69.5,70.4,65.4,71.7,3.680000000000007,68.26666666666667
tmin2m,20260630,83,68.11084337349399,68.1,65.2,66.1,70.4,71.56,62.0,73.1,6.359999999999999,68.0
tmin2m,20260701,83,73.11927710843374,73.2,68.34,71.0,76.15,77.3,66.3,79.1,8.959999999999994,73.1
tmin2m,20260702,83,79.59036144578313,80.0,75.1,78.25,81.6,83.0,71.2,84.3,7.900000000000006,79.8
tmin2m,20260703,83,79.6289156626506,80.5,74.4,77.19999999999999,82.19999999999999,83.38000000000001,71.5,85.7,8.980000000000004,79.83333333333333
tmin2m,20260704,83,76.38192771084337,77.1,71.34,73.7,79.35,81.56,67.0,85.0,10.219999999999999,76.56666666666668
tmin2m,20260705,83,74.03975903614457,74.2,69.22,72.1,76.80000000000001,79.14,60.2,81.8,9.920000000000002,74.10000000000001
tmin2m,20260706,83,72.38192771084339,72.8,67.42,70.69999999999999,74.4,75.98,59.8,82.3,8.560000000000002,72.89999999999999
tmin2m,20260707,83,71.27710843373494,71.5,67.46000000000001,69.80000000000001,73.85,74.9,57.1,77.8,7.439999999999998,71.43333333333334
tmin2m,20260708,83,70.50361445783133,71.3,65.24000000000001,67.80000000000001,72.95,74.56,62.5,78.0,9.319999999999993,70.89999999999999
tmin2m,20260709,83,71.15662650602411,71.2,65.74000000000001,68.5,74.0,75.94,58.9,79.3,10.199999999999989,71.0
tmin2m,20260710,83,71.43975903614457,71.5,66.22,67.9,74.8,77.32,61.1,80.7,11.099999999999994,71.06666666666666
tmin2m,20260711,83,71.56506024096386,71.5,64.92,68.4,75.19999999999999,77.5,60.9,82.8,12.579999999999998,71.46666666666667
tmin2m,20260712,83,71.94939759036144,73.0,65.82,69.0,74.9,77.58,58.0,82.0,11.760000000000005,71.76666666666667
tmin2m,20260713,83,72.01566265060241,72.6,65.44,69.3,75.0,77.94,54.8,83.6,12.5,72.06666666666668
