T	BoM MJO RMM RMM1
julian_day	unitless
    2442200.    	    1.634470    
    2442201.    	    1.602890    
    2442202.    	    1.516250    
    2442203.    	    1.509810    
    2442204.    	    1.559060    
    2442205.    	    1.206260    
    2442206.    	   0.6111010    
    2442207.    	   0.3263950    
    2442208.    	   9.3828201E-02
    2442209.    	  -8.6126298E-02
    2442210.    	   0.1113940    
    2442211.    	   0.1204890    
    2442212.    	   1.9280599E-02
    2442213.    	  -0.1043600    
    2442214.    	  -0.1829400    
    2442215.    	  -0.2359600    
    2442216.    	  -0.4986900    
    2442217.    	  -0.5698000    
    2442218.    	  -0.6950300    
    2442219.    	  -0.7291500    
    2442220.    	   -1.094430    
    2442221.    	   -1.098510    
    2442222.    	   -1.062440    
    2442223.    	  -0.8850700    
    2442224.    	  -0.7658200    
    2442225.    	  -0.8344700    
    2442226.    	  -0.8013000    
    2442227.    	  -0.5644200    
    2442228.    	  -9.7049698E-02
    2442229.    	   9.1487002E-03
    2442230.    	   0.2605500    
    2442231.    	   0.2670240    
    2442232.    	   0.3555820    
    2442233.    	   0.8443830    
    2442234.    	    1.120660    
    2442235.    	    1.076350    
    2442236.    	   0.8129020    
    2442237.    	   0.4317320    
    2442238.    	   8.1015401E-02
    2442239.    	  -0.1207400    
    2442240.    	  -0.2789200    
    2442241.    	  -0.1395700    
    2442242.    	  -0.2047200    
    2442243.    	  -0.1993700    
    2442244.    	  -9.5289797E-02
    2442245.    	  -0.1083100    
    2442246.    	  -5.6733699E-03
    2442247.    	   0.1796880    
    2442248.    	   0.2853210    
    2442249.    	   0.3309850    
    2442250.    	   0.3648330    
    2442251.    	   0.3464190    
    2442252.    	   0.3928060    
    2442253.    	   0.4471700    
    2442254.    	   0.4527920    
    2442255.    	   0.5568670    
    2442256.    	   0.7398340    
    2442257.    	   0.6654420    
    2442258.    	   0.7854490    
    2442259.    	    1.136240    
    2442260.    	    1.251980    
    2442261.    	    1.308870    
    2442262.    	    1.331180    
    2442263.    	    1.339710    
    2442264.    	    1.248420    
    2442265.    	   0.8358700    
    2442266.    	   0.5358500    
    2442267.    	   0.1235680    
    2442268.    	  -0.1463700    
    2442269.    	  -0.2036400    
    2442270.    	   0.2171680    
    2442271.    	   0.6997590    
    2442272.    	    1.063690    
    2442273.    	    1.205180    
    2442274.    	    1.278910    
    2442275.    	    1.442820    
    2442276.    	    1.482210    
    2442277.    	    1.130670    
    2442278.    	   0.7869430    
    2442279.    	   0.4328250    
    2442280.    	   0.2964680    
    2442281.    	   0.3580730    
    2442282.    	  -7.6979503E-02
    2442283.    	  -0.4489300    
    2442284.    	  -0.6020500    
    2442285.    	  -0.6528000    
    2442286.    	  -0.4189700    
    2442287.    	  -0.3231400    
    2442288.    	  -0.2938700    
    2442289.    	  -0.4310900    
    2442290.    	  -0.4366500    
    2442291.    	  -0.5528300    
    2442292.    	  -0.7430700    
    2442293.    	  -0.7570100    
    2442294.    	  -0.8542500    
    2442295.    	  -0.9462200    
    2442296.    	  -0.9500500    
    2442297.    	  -0.9643100    
    2442298.    	  -0.8286100    
    2442299.    	  -0.8084000    
    2442300.    	  -0.6521200    
    2442301.    	  -0.4131300    
    2442302.    	  -0.5698900    
    2442303.    	  -0.7249800    
    2442304.    	  -0.8469300    
    2442305.    	  -0.8763000    
    2442306.    	  -0.8084000    
    2442307.    	  -0.7805500    
    2442308.    	   -1.061020    
    2442309.    	   -1.199900    
    2442310.    	   -1.126290    
    2442311.    	  -0.8460600    
    2442312.    	  -0.8178900    
    2442313.    	  -0.6741000    
    2442314.    	  -0.6213600    
    2442315.    	  -0.3897800    
    2442316.    	  -0.3881000    
    2442317.    	  -0.2928800    
    2442318.    	  -6.4655602E-02
    2442319.    	   8.2109697E-02
    2442320.    	   0.3531440    
    2442321.    	   0.5555800    
    2442322.    	   0.5789320    
    2442323.    	   0.7589470    
    2442324.    	   0.8966490    
    2442325.    	   0.6735760    
    2442326.    	   0.6321360    
    2442327.    	   0.5166690    
    2442328.    	   0.8391790    
    2442329.    	    1.033930    
    2442330.    	    1.269170    
    2442331.    	    1.513840    
    2442332.    	    1.641290    
