T	BoM MJO RMM amplitude
julian_day	unitless
    2442417.    	    1.085830    
    2442418.    	    1.035380    
    2442419.    	    1.209820    
    2442420.    	    1.413410    
    2442421.    	    1.291570    
    2442422.    	    1.411470    
    2442423.    	    1.382450    
    2442424.    	    1.440010    
    2442425.    	    1.284410    
    2442426.    	   0.9996250    
    2442427.    	    1.301650    
    2442428.    	    1.434030    
    2442429.    	    1.713680    
    2442430.    	    1.845890    
    2442431.    	    1.872360    
    2442432.    	    1.922330    
    2442433.    	    2.329920    
    2442434.    	    2.257870    
    2442435.    	    2.074810    
    2442436.    	    2.017200    
    2442437.    	    1.851290    
    2442438.    	    2.088770    
    2442439.    	    2.022000    
    2442440.    	    1.974260    
    2442441.    	    2.194480    
    2442442.    	    2.205790    
    2442443.    	    2.389140    
    2442444.    	    2.168830    
    2442445.    	    2.026280    
    2442446.    	    1.863310    
    2442447.    	    1.977840    
    2442448.    	    2.091810    
    2442449.    	    2.020430    
    2442450.    	    2.082030    
    2442451.    	    2.302880    
    2442452.    	    2.058410    
    2442453.    	    1.686440    
    2442454.    	    1.609480    
    2442455.    	    1.392290    
    2442456.    	    1.436250    
    2442457.    	    1.301680    
    2442458.    	    1.324380    
    2442459.    	    1.386010    
    2442460.    	    1.268780    
    2442461.    	   0.9647460    
    2442462.    	    1.123750    
    2442463.    	    1.223900    
    2442464.    	    1.155140    
    2442465.    	    1.228510    
    2442466.    	    1.107100    
    2442467.    	    1.385440    
    2442468.    	    1.514630    
    2442469.    	    1.387210    
    2442470.    	    1.061330    
    2442471.    	    1.215950    
    2442472.    	    1.256630    
    2442473.    	    1.252430    
    2442474.    	    1.201370    
    2442475.    	    1.292200    
    2442476.    	    1.489930    
    2442477.    	    1.441660    
    2442478.    	    1.494470    
    2442479.    	    1.613710    
    2442480.    	    1.621380    
    2442481.    	    1.377080    
    2442482.    	    1.218210    
    2442483.    	    1.394720    
    2442484.    	    1.563140    
    2442485.    	    1.622620    
    2442486.    	    1.794170    
    2442487.    	    2.158980    
    2442488.    	    2.344420    
    2442489.    	    2.169050    
    2442490.    	    1.718030    
    2442491.    	    1.433680    
    2442492.    	    1.563620    
    2442493.    	    1.726080    
    2442494.    	    1.613700    
    2442495.    	    1.530880    
    2442496.    	    1.568090    
    2442497.    	    1.622900    
    2442498.    	    1.320920    
    2442499.    	   0.7632710    
    2442500.    	   0.8165030    
    2442501.    	    1.082010    
    2442502.    	    1.340710    
    2442503.    	    1.684090    
    2442504.    	    1.752420    
    2442505.    	    1.468300    
    2442506.    	    1.323920    
    2442507.    	    1.607800    
    2442508.    	    1.495040    
    2442509.    	    1.267790    
    2442510.    	    1.266130    
    2442511.    	    1.200990    
    2442512.    	    1.452890    
    2442513.    	    1.603090    
    2442514.    	    1.681350    
    2442515.    	    2.107580    
    2442516.    	    2.387330    
    2442517.    	    2.691930    
    2442518.    	    2.838110    
    2442519.    	    2.562290    
    2442520.    	    2.533510    
    2442521.    	    2.508070    
    2442522.    	    2.368240    
    2442523.    	    2.298600    
    2442524.    	    2.233500    
    2442525.    	    2.265310    
    2442526.    	    2.078830    
    2442527.    	    1.864620    
    2442528.    	    1.383920    
    2442529.    	   0.9770210    
    2442530.    	   0.9261150    
    2442531.    	   0.8960490    
    2442532.    	   0.7040970    
    2442533.    	   0.4768730    
    2442534.    	   0.5221850    
    2442535.    	   0.6155710    
    2442536.    	   0.8140240    
    2442537.    	   0.8983180    
    2442538.    	    1.022910    
    2442539.    	    1.172730    
    2442540.    	    1.077570    
    2442541.    	   0.5837500    
    2442542.    	   0.5223860    
    2442543.    	   0.3640700    
    2442544.    	   0.3961010    
    2442545.    	   0.5266060    
    2442546.    	   0.4262160    
    2442547.    	   0.1675150    
    2442548.    	   0.3708670    
    2442549.    	   0.4293630    
    2442550.    	   0.1263370    
    2442551.    	   0.1098230    
    2442552.    	   0.2501390    
    2442553.    	   0.6621780    
    2442554.    	   0.8843320    
    2442555.    	   0.8891180    
    2442556.    	   0.9262680    
    2442557.    	    1.193280    
    2442558.    	    1.344130    
    2442559.    	    1.131250    
    2442560.    	   0.6147590    
    2442561.    	   0.5873540    
    2442562.    	   0.5594570    
    2442563.    	   0.5159200    
    2442564.    	   0.6777070    
    2442565.    	   0.8064300    
    2442566.    	    1.226700    
    2442567.    	    1.372850    
    2442568.    	    1.392260    
    2442569.    	    1.248090    
    2442570.    	    1.007300    
    2442571.    	   0.9191750    
    2442572.    	   0.6795660    
    2442573.    	   0.8813270    
    2442574.    	   0.8125100    
    2442575.    	   0.7141410    
    2442576.    	   0.4890580    
    2442577.    	   0.4355860    
    2442578.    	   0.6186590    
    2442579.    	   0.7987720    
    2442580.    	    1.016330    
    2442581.    	    1.286110    
    2442582.    	    1.747520    
    2442583.    	    2.149550    
    2442584.    	    2.140040    
    2442585.    	    2.028820    
    2442586.    	    1.873550    
    2442587.    	    2.108710    
    2442588.    	    2.542950    
    2442589.    	    2.132510    
    2442590.    	    1.651620    
    2442591.    	    1.482610    
    2442592.    	    1.803330    
    2442593.    	    2.054680    
    2442594.    	    2.180880    
    2442595.    	    2.417530    
    2442596.    	    2.478400    
    2442597.    	    2.254170    
    2442598.    	    2.046060    
    2442599.    	    2.058290    
    2442600.    	    2.109010    
    2442601.    	    2.009050    
    2442602.    	    1.771260    
    2442603.    	    1.674050    
    2442604.    	    1.591970    
    2442605.    	    1.472080    
    2442606.    	    1.291980    
    2442607.    	    1.191130    
    2442608.    	    1.292630    
    2442609.    	    1.090850    
    2442610.    	    1.119340    
    2442611.    	    1.282360    
    2442612.    	    1.235020    
    2442613.    	    1.478900    
    2442614.    	    1.645880    
    2442615.    	    1.866250    
    2442616.    	    2.157890    
    2442617.    	    2.080330    
    2442618.    	    2.086170    
    2442619.    	    1.975960    
    2442620.    	    1.617580    
    2442621.    	    1.299590    
    2442622.    	    1.472810    
    2442623.    	    1.462120    
    2442624.    	    1.348850    
    2442625.    	    1.535880    
    2442626.    	    1.463580    
    2442627.    	    1.533360    
    2442628.    	    1.692950    
    2442629.    	    1.590070    
    2442630.    	    1.253540    
    2442631.    	    1.117040    
    2442632.    	    1.218000    
    2442633.    	    1.273400    
    2442634.    	    1.293090    
    2442635.    	    1.148490    
    2442636.    	    1.211140    
    2442637.    	    1.234410    
    2442638.    	    1.195070    
    2442639.    	    1.165250    
    2442640.    	    1.067060    
    2442641.    	    1.052720    
    2442642.    	    1.004580    
    2442643.    	   0.7104360    
    2442644.    	   0.4786320    
    2442645.    	   0.4336790    
    2442646.    	   0.4463100    
    2442647.    	   0.2597810    
    2442648.    	   0.2496050    
    2442649.    	   0.5702530    
    2442650.    	   0.9130180    
    2442651.    	    1.121380    
    2442652.    	    1.344680    
    2442653.    	    1.502850    
    2442654.    	    1.545360    
    2442655.    	    1.433440    
    2442656.    	    1.308190    
    2442657.    	    1.158250    
    2442658.    	    1.080170    
    2442659.    	   0.9588640    
    2442660.    	   0.8502780    
    2442661.    	   0.7901530    
    2442662.    	   0.5932900    
    2442663.    	   0.4344150    
    2442664.    	   0.3731540    
    2442665.    	   0.3895200    
    2442666.    	   0.3645740    
    2442667.    	   0.2554770    
    2442668.    	   0.3459820    
    2442669.    	   0.4753210    
    2442670.    	   0.4075530    
    2442671.    	   0.7376550    
    2442672.    	   0.9490030    
    2442673.    	   0.9367150    
    2442674.    	   0.6527270    
    2442675.    	   0.7280910    
    2442676.    	   0.4623950    
    2442677.    	   0.7098630    
    2442678.    	   0.7351290    
    2442679.    	   0.8363970    
    2442680.    	    1.144270    
    2442681.    	    1.214320    
    2442682.    	    1.133120    
    2442683.    	    1.140480    
    2442684.    	    1.216170    
    2442685.    	    1.204530    
    2442686.    	    1.462510    
    2442687.    	    1.527720    
    2442688.    	    1.829810    
    2442689.    	    1.946900    
    2442690.    	    1.860530    
    2442691.    	    1.541240    
    2442692.    	    1.303790    
    2442693.    	    1.128690    
    2442694.    	    1.067530    
    2442695.    	   0.9773300    
    2442696.    	   0.9850030    
    2442697.    	   0.8804420    
    2442698.    	   0.8221740    
    2442699.    	   0.5168170    
    2442700.    	   0.3655420    
    2442701.    	   0.4352470    
    2442702.    	   0.4248470    
    2442703.    	   0.1529450    
    2442704.    	   0.1722990    
    2442705.    	   0.4700470    
    2442706.    	   0.7648480    
    2442707.    	   0.8818710    
    2442708.    	   0.8740100    
    2442709.    	   0.9214340    
    2442710.    	   0.2573290    
    2442711.    	   0.3018470    
    2442712.    	   0.3255190    
    2442713.    	   0.4472040    
    2442714.    	   0.4822620    
    2442715.    	   0.1881730    
    2442716.    	   5.4975498E-02
    2442717.    	   0.1740940    
    2442718.    	   0.1239240    
    2442719.    	   0.3160530    
    2442720.    	   0.4448850    
    2442721.    	   0.5049980    
    2442722.    	   0.5687300    
    2442723.    	   0.8365400    
    2442724.    	    1.075190    
    2442725.    	   0.9256030    
    2442726.    	   0.9760530    
    2442727.    	   0.7557760    
    2442728.    	   0.6575670    
    2442729.    	   0.6555850    
    2442730.    	   0.9000090    
    2442731.    	   0.9501240    
    2442732.    	   0.8689850    
    2442733.    	   0.8061470    
    2442734.    	   0.7044120    
    2442735.    	   0.4792110    
    2442736.    	   0.3470320    
    2442737.    	   0.7379450    
    2442738.    	   0.9918560    
    2442739.    	    1.154780    
    2442740.    	    1.397160    
    2442741.    	    1.539770    
    2442742.    	    1.567790    
    2442743.    	    1.620240    
    2442744.    	    1.467360    
    2442745.    	    1.495640    
    2442746.    	    1.455990    
    2442747.    	    1.435230    
    2442748.    	    1.315150    
    2442749.    	    1.285070    
    2442750.    	    1.267920    
    2442751.    	    1.303900    
    2442752.    	    1.294780    
    2442753.    	    1.311790    
    2442754.    	    1.275000    
    2442755.    	    1.305530    
    2442756.    	    1.506070    
    2442757.    	    1.287320    
    2442758.    	   0.9689290    
    2442759.    	   0.5893020    
    2442760.    	   0.6554030    
    2442761.    	   0.8256900    
    2442762.    	    1.047200    
    2442763.    	    1.010220    
    2442764.    	   0.9622170    
    2442765.    	    1.089870    
    2442766.    	    1.120930    
    2442767.    	   0.9023880    
    2442768.    	   0.6195680    
    2442769.    	   0.4118380    
    2442770.    	   0.4005410    
    2442771.    	   0.5092360    
    2442772.    	   0.9747190    
    2442773.    	    1.345830    
    2442774.    	    1.241930    
    2442775.    	    1.049780    
    2442776.    	   0.8998220    
    2442777.    	    1.046250    
    2442778.    	    1.469100    
    2442779.    	    1.617560    
    2442780.    	    1.419050    
    2442781.    	    1.175110    
    2442782.    	    1.192860    
    2442783.    	    1.002810    
    2442784.    	   0.6076190    
    2442785.    	   0.4479760    
    2442786.    	   0.3757530    
    2442787.    	   0.2711210    
    2442788.    	   0.6112260    
    2442789.    	   0.9973770    
    2442790.    	    1.168020    
    2442791.    	    1.226340    
    2442792.    	    1.252100    
    2442793.    	    1.546640    
    2442794.    	    1.954540    
    2442795.    	    2.411610    
    2442796.    	    2.555360    
    2442797.    	    2.446010    
    2442798.    	    2.473780    
    2442799.    	    2.554610    
    2442800.    	    2.663130    
    2442801.    	    2.552520    
    2442802.    	    2.766890    
    2442803.    	    2.892850    
    2442804.    	    2.913390    
    2442805.    	    2.921780    
    2442806.    	    2.842920    
    2442807.    	    2.859160    
    2442808.    	    2.768710    
    2442809.    	    2.376550    
    2442810.    	    1.933380    
    2442811.    	    1.513850    
    2442812.    	    1.094830    
    2442813.    	    1.075150    
    2442814.    	    1.092060    
    2442815.    	    1.316410    
    2442816.    	    1.401950    
    2442817.    	    1.749960    
    2442818.    	    1.877460    
    2442819.    	    1.724480    
    2442820.    	    1.649550    
    2442821.    	    1.897500    
    2442822.    	    1.714180    
    2442823.    	    1.269540    
    2442824.    	   0.7536240    
    2442825.    	   0.3939550    
    2442826.    	   0.2364600    
    2442827.    	   0.1809850    
    2442828.    	   0.3420660    
    2442829.    	   0.2892350    
    2442830.    	   0.2288390    
    2442831.    	   0.4778550    
    2442832.    	   0.9333010    
    2442833.    	    1.226960    
    2442834.    	    1.351710    
    2442835.    	    1.036710    
    2442836.    	   0.8507680    
    2442837.    	   0.8060230    
    2442838.    	   0.9050510    
    2442839.    	   0.5870680    
    2442840.    	   0.2350170    
    2442841.    	   6.9793798E-02
    2442842.    	   0.2043610    
    2442843.    	   0.1856260    
    2442844.    	   0.2432310    
    2442845.    	   0.6717940    
    2442846.    	   0.9365320    
    2442847.    	   0.9374300    
    2442848.    	    1.064440    
    2442849.    	    1.308860    
    2442850.    	    1.337550    
    2442851.    	    1.336380    
    2442852.    	    1.220070    
    2442853.    	    1.076810    
    2442854.    	    1.001920    
    2442855.    	    1.048900    
    2442856.    	    1.132650    
    2442857.    	   0.8668460    
    2442858.    	   0.7724190    
    2442859.    	   0.5941700    
    2442860.    	   0.6115540    
    2442861.    	   0.7085920    
    2442862.    	   0.5876630    
    2442863.    	   0.5155350    
    2442864.    	   0.4765520    
    2442865.    	   0.5695310    
    2442866.    	   0.4174040    
    2442867.    	   0.2197310    
    2442868.    	   0.4309200    
    2442869.    	   0.5767430    
    2442870.    	   0.6751420    
    2442871.    	   0.7772610    
    2442872.    	   0.8052280    
    2442873.    	   0.5660770    
    2442874.    	   0.4279080    
    2442875.    	   0.6040680    
    2442876.    	   0.4122400    
    2442877.    	   0.3119580    
    2442878.    	   0.1598010    
    2442879.    	   0.3888090    
    2442880.    	   0.5767340    
    2442881.    	   0.7154270    
    2442882.    	   0.8376940    
    2442883.    	    1.112180    
    2442884.    	    1.156870    
    2442885.    	   0.9469510    
    2442886.    	   0.9528760    
    2442887.    	   0.7151270    
    2442888.    	   0.6278650    
    2442889.    	   0.6234620    
    2442890.    	   0.5987950    
    2442891.    	   0.5531850    
    2442892.    	   0.7207390    
    2442893.    	   0.9110060    
    2442894.    	   0.8383020    
    2442895.    	   0.5773780    
    2442896.    	   0.5261090    
    2442897.    	   0.6862250    
    2442898.    	   0.8141220    
    2442899.    	    1.205370    
    2442900.    	    1.591850    
    2442901.    	    1.828340    
    2442902.    	    2.055990    
    2442903.    	    2.135520    
    2442904.    	    1.965880    
    2442905.    	    1.745090    
    2442906.    	    1.746390    
    2442907.    	    1.744030    
    2442908.    	    1.753950    
    2442909.    	    1.876820    
    2442910.    	    1.889460    
    2442911.    	    1.776320    
    2442912.    	    1.815250    
    2442913.    	    1.933740    
    2442914.    	    2.050410    
    2442915.    	    1.785610    
    2442916.    	    1.311240    
    2442917.    	   0.8565830    
    2442918.    	   0.5478690    
    2442919.    	   0.3050830    
    2442920.    	   0.3566550    
    2442921.    	   0.4961610    
    2442922.    	   0.5516580    
    2442923.    	   0.4630290    
    2442924.    	   0.3970090    
    2442925.    	   0.5599360    
    2442926.    	   0.9328300    
    2442927.    	    1.021330    
    2442928.    	    1.020810    
    2442929.    	   0.8493300    
    2442930.    	   0.7180330    
    2442931.    	   0.5960290    
    2442932.    	   0.9624330    
    2442933.    	    1.128000    
    2442934.    	    1.364490    
    2442935.    	    1.244470    
    2442936.    	    1.314730    
    2442937.    	    1.155760    
    2442938.    	    1.092330    
    2442939.    	    1.106800    
    2442940.    	    1.231060    
    2442941.    	    1.173130    
    2442942.    	    1.111280    
    2442943.    	   0.9651810    
    2442944.    	   0.9417300    
    2442945.    	   0.9008600    
    2442946.    	   0.7301450    
    2442947.    	   0.3347240    
    2442948.    	   5.0406199E-02
    2442949.    	   0.1727280    
    2442950.    	   0.2116840    
    2442951.    	   0.2561880    
    2442952.    	   0.3698010    
    2442953.    	   0.4880430    
    2442954.    	   0.5236270    
    2442955.    	   0.3990350    
    2442956.    	   0.6674560    
    2442957.    	   0.7415500    
    2442958.    	   0.5141840    
    2442959.    	   0.2784850    
    2442960.    	   0.1863500    
    2442961.    	   0.4798090    
    2442962.    	   0.6840640    
    2442963.    	    1.034880    
    2442964.    	    1.091510    
    2442965.    	   0.8636840    
    2442966.    	   0.7628990    
    2442967.    	   0.6281970    
    2442968.    	   0.5988650    
    2442969.    	   0.6559610    
    2442970.    	   0.5231180    
    2442971.    	   0.4699310    
    2442972.    	   0.2845230    
    2442973.    	   0.1926350    
    2442974.    	   0.3438510    
    2442975.    	   0.3854090    
    2442976.    	   0.2542530    
    2442977.    	   0.3263940    
    2442978.    	   0.5447090    
    2442979.    	   0.4638120    
    2442980.    	   0.4253190    
    2442981.    	   0.5189100    
    2442982.    	   0.4807620    
    2442983.    	   0.6391860    
    2442984.    	   0.7084390    
    2442985.    	   0.6810270    
    2442986.    	   0.3345800    
    2442987.    	   0.2427820    
    2442988.    	   0.1997640    
    2442989.    	   0.4491970    
    2442990.    	   0.6433280    
    2442991.    	   0.5761820    
    2442992.    	   0.3423230    
    2442993.    	   0.4642950    
    2442994.    	   0.5765830    
    2442995.    	   0.9507710    
    2442996.    	    1.313790    
    2442997.    	    1.577600    
    2442998.    	    1.529670    
    2442999.    	    1.244910    
    2443000.    	    1.042300    
    2443001.    	   0.8415940    
    2443002.    	   0.8787950    
    2443003.    	    1.087470    
    2443004.    	    1.324390    
    2443005.    	    1.477930    
    2443006.    	    1.332920    
    2443007.    	    1.364530    
    2443008.    	    1.349070    
    2443009.    	    1.145260    
    2443010.    	    1.072920    
    2443011.    	    1.053050    
    2443012.    	    1.033920    
    2443013.    	    1.088250    
    2443014.    	    1.383760    
    2443015.    	    1.809560    
    2443016.    	    2.055900    
    2443017.    	    2.158330    
    2443018.    	    1.910980    
    2443019.    	    1.628100    
    2443020.    	    1.690300    
    2443021.    	    1.767310    
    2443022.    	    1.778330    
    2443023.    	    1.992100    
    2443024.    	    1.783840    
    2443025.    	    1.505620    
    2443026.    	    1.444550    
    2443027.    	    1.422630    
    2443028.    	    1.584890    
    2443029.    	    1.722220    
    2443030.    	    1.899010    
    2443031.    	    1.725590    
    2443032.    	    2.069200    
    2443033.    	    2.391800    
    2443034.    	    2.418120    
    2443035.    	    2.309520    
    2443036.    	    2.000670    
    2443037.    	    1.942900    
    2443038.    	    2.141140    
    2443039.    	    2.064870    
    2443040.    	    2.006690    
    2443041.    	    1.839860    
    2443042.    	    1.782890    
    2443043.    	    1.709600    
    2443044.    	    1.508650    
    2443045.    	    1.303210    
    2443046.    	    1.268820    
    2443047.    	    1.399750    
    2443048.    	    1.441590    
    2443049.    	    1.279820    
    2443050.    	    1.154300    
    2443051.    	    1.315150    
    2443052.    	    1.506620    
    2443053.    	    1.599950    
    2443054.    	    1.698200    
    2443055.    	    1.725130    
    2443056.    	    1.940960    
    2443057.    	    2.020030    
    2443058.    	    2.018030    
    2443059.    	    1.801040    
    2443060.    	    1.607000    
    2443061.    	    1.294240    
    2443062.    	    1.041770    
    2443063.    	   0.8848200    
    2443064.    	    1.015470    
    2443065.    	    1.174490    
    2443066.    	    1.350430    
    2443067.    	    1.444710    
    2443068.    	    1.564370    
    2443069.    	    1.777490    
    2443070.    	    1.743900    
    2443071.    	    1.751970    
    2443072.    	    1.922360    
    2443073.    	    1.920450    
    2443074.    	    1.740360    
    2443075.    	    1.370990    
    2443076.    	    1.007040    
    2443077.    	   0.7659150    
    2443078.    	   0.5041440    
    2443079.    	   0.4253440    
    2443080.    	   0.4771190    
    2443081.    	   0.5674150    
    2443082.    	   0.6963270    
    2443083.    	   0.5411460    
    2443084.    	   0.4144500    
    2443085.    	   0.3579930    
    2443086.    	   0.4138580    
    2443087.    	   0.4645900    
    2443088.    	   0.3491700    
    2443089.    	   0.3213560    
    2443090.    	   6.7629203E-02
    2443091.    	   8.2343198E-02
    2443092.    	   0.1098640    
    2443093.    	   0.5927750    
    2443094.    	    1.215040    
    2443095.    	    1.349200    
    2443096.    	    1.463520    
    2443097.    	    1.572220    
    2443098.    	    1.932810    
    2443099.    	    2.009740    
    2443100.    	    2.001310    
    2443101.    	    2.208140    
    2443102.    	    2.305790    
    2443103.    	    2.513260    
    2443104.    	    2.451540    
    2443105.    	    2.480100    
    2443106.    	    2.416790    
    2443107.    	    2.170120    
    2443108.    	    2.040350    
    2443109.    	    1.718500    
    2443110.    	    1.499390    
    2443111.    	    1.400770    
    2443112.    	    1.363500    
    2443113.    	    1.323630    
    2443114.    	    1.203870    
    2443115.    	    1.353700    
    2443116.    	    1.673810    
    2443117.    	    2.011000    
    2443118.    	    2.125170    
    2443119.    	    2.010710    
    2443120.    	    1.851260    
    2443121.    	    1.632020    
    2443122.    	    1.351970    
    2443123.    	    1.181690    
    2443124.    	    1.145900    
    2443125.    	    1.349280    
    2443126.    	    1.903880    
    2443127.    	    2.197160    
    2443128.    	    2.350320    
    2443129.    	    2.701000    
    2443130.    	    2.294620    
    2443131.    	    1.592320    
    2443132.    	    1.321790    
    2443133.    	   0.9110900    
    2443134.    	   0.7381320    
    2443135.    	   0.5762900    
    2443136.    	   0.6855530    
    2443137.    	   0.6446660    
    2443138.    	   0.8088430    
    2443139.    	    1.159640    
    2443140.    	    1.249990    
    2443141.    	    1.466400    
    2443142.    	    1.348530    
    2443143.    	    1.377590    
    2443144.    	    1.476880    
    2443145.    	    1.268960    
    2443146.    	    1.047490    
    2443147.    	   0.9464660    
    2443148.    	   0.7654570    
    2443149.    	   0.4655630    
    2443150.    	   0.3940790    
    2443151.    	   0.5636770    
    2443152.    	   0.7819260    
    2443153.    	   0.8840140    
    2443154.    	   0.7644500    
    2443155.    	   0.8993450    
    2443156.    	   0.9508000    
    2443157.    	    1.132190    
    2443158.    	    1.451090    
    2443159.    	    1.463880    
    2443160.    	    1.240480    
    2443161.    	   0.9800360    
    2443162.    	    1.058560    
    2443163.    	   0.9329340    
    2443164.    	   0.6439180    
