T	BoM MJO RMM phase
julian_day	unitless
    2445140.    	    6.000000    
    2445141.    	    6.000000    
    2445142.    	    6.000000    
    2445143.    	    6.000000    
    2445144.    	    6.000000    
    2445145.    	    6.000000    
    2445146.    	    6.000000    
    2445147.    	    6.000000    
    2445148.    	    6.000000    
    2445149.    	    6.000000    
    2445150.    	    7.000000    
    2445151.    	    7.000000    
    2445152.    	    7.000000    
    2445153.    	    7.000000    
    2445154.    	    7.000000    
    2445155.    	    7.000000    
    2445156.    	    7.000000    
    2445157.    	    7.000000    
    2445158.    	    8.000000    
    2445159.    	    8.000000    
    2445160.    	    8.000000    
    2445161.    	    8.000000    
    2445162.    	    8.000000    
    2445163.    	    8.000000    
    2445164.    	    7.000000    
    2445165.    	    7.000000    
    2445166.    	    7.000000    
    2445167.    	    7.000000    
    2445168.    	    7.000000    
    2445169.    	    6.000000    
    2445170.    	    6.000000    
    2445171.    	    7.000000    
    2445172.    	    7.000000    
    2445173.    	    7.000000    
    2445174.    	    7.000000    
    2445175.    	    8.000000    
    2445176.    	    8.000000    
    2445177.    	    8.000000    
    2445178.    	    8.000000    
    2445179.    	   1.0000000    
    2445180.    	   1.0000000    
    2445181.    	    3.000000    
    2445182.    	    3.000000    
    2445183.    	    3.000000    
    2445184.    	    2.000000    
    2445185.    	    2.000000    
    2445186.    	    2.000000    
    2445187.    	    3.000000    
    2445188.    	    3.000000    
    2445189.    	    2.000000    
    2445190.    	    2.000000    
    2445191.    	    3.000000    
    2445192.    	    3.000000    
    2445193.    	    3.000000    
    2445194.    	    3.000000    
    2445195.    	    3.000000    
    2445196.    	    3.000000    
    2445197.    	    4.000000    
    2445198.    	    4.000000    
    2445199.    	    4.000000    
    2445200.    	    4.000000    
    2445201.    	    4.000000    
    2445202.    	    4.000000    
    2445203.    	    3.000000    
    2445204.    	    4.000000    
    2445205.    	    4.000000    
    2445206.    	    4.000000    
    2445207.    	    5.000000    
    2445208.    	    5.000000    
    2445209.    	    6.000000    
    2445210.    	    6.000000    
    2445211.    	    6.000000    
    2445212.    	    6.000000    
    2445213.    	    6.000000    
    2445214.    	    6.000000    
    2445215.    	    6.000000    
    2445216.    	    6.000000    
    2445217.    	    6.000000    
    2445218.    	    6.000000    
    2445219.    	    6.000000    
    2445220.    	    6.000000    
    2445221.    	    5.000000    
    2445222.    	    5.000000    
    2445223.    	    5.000000    
    2445224.    	    4.000000    
    2445225.    	    4.000000    
    2445226.    	    7.000000    
    2445227.    	    7.000000    
    2445228.    	    7.000000    
    2445229.    	   1.0000000    
    2445230.    	   1.0000000    
    2445231.    	   1.0000000    
    2445232.    	   1.0000000    
    2445233.    	   1.0000000    
    2445234.    	   1.0000000    
    2445235.    	   1.0000000    
    2445236.    	    2.000000    
    2445237.    	    2.000000    
    2445238.    	    2.000000    
    2445239.    	   1.0000000    
    2445240.    	    2.000000    
    2445241.    	   1.0000000    
    2445242.    	   1.0000000    
    2445243.    	   1.0000000    
    2445244.    	   1.0000000    
    2445245.    	   1.0000000    
    2445246.    	   1.0000000    
    2445247.    	    8.000000    
    2445248.    	    8.000000    
    2445249.    	    7.000000    
    2445250.    	    7.000000    
    2445251.    	    7.000000    
    2445252.    	    7.000000    
    2445253.    	    8.000000    
    2445254.    	    8.000000    
    2445255.    	    8.000000    
    2445256.    	    8.000000    
    2445257.    	    8.000000    
    2445258.    	    2.000000    
    2445259.    	    3.000000    
    2445260.    	    3.000000    
    2445261.    	    3.000000    
    2445262.    	    2.000000    
    2445263.    	    2.000000    
    2445264.    	    2.000000    
    2445265.    	   1.0000000    
    2445266.    	   1.0000000    
    2445267.    	   1.0000000    
    2445268.    	    2.000000    
    2445269.    	    2.000000    
    2445270.    	    2.000000    
    2445271.    	    2.000000    
    2445272.    	    2.000000    
    2445273.    	    2.000000    
    2445274.    	    2.000000    
    2445275.    	    2.000000    
    2445276.    	    2.000000    
    2445277.    	    2.000000    
    2445278.    	    3.000000    
    2445279.    	    3.000000    
    2445280.    	    4.000000    
    2445281.    	    4.000000    
    2445282.    	    5.000000    
    2445283.    	    5.000000    
    2445284.    	    5.000000    
    2445285.    	    6.000000    
    2445286.    	    7.000000    
    2445287.    	    7.000000    
    2445288.    	    7.000000    
    2445289.    	    7.000000    
    2445290.    	    7.000000    
    2445291.    	    8.000000    
    2445292.    	    8.000000    
    2445293.    	    8.000000    
    2445294.    	    8.000000    
    2445295.    	    8.000000    
    2445296.    	   1.0000000    
    2445297.    	   1.0000000    
    2445298.    	   1.0000000    
    2445299.    	    2.000000    
    2445300.    	    2.000000    
    2445301.    	    3.000000    
    2445302.    	    3.000000    
    2445303.    	    3.000000    
    2445304.    	    3.000000    
    2445305.    	    4.000000    
    2445306.    	    4.000000    
    2445307.    	    5.000000    
    2445308.    	    6.000000    
    2445309.    	    6.000000    
    2445310.    	    7.000000    
    2445311.    	    7.000000    
    2445312.    	    8.000000    
    2445313.    	    8.000000    
    2445314.    	    8.000000    
    2445315.    	   1.0000000    
    2445316.    	    2.000000    
    2445317.    	    2.000000    
    2445318.    	    2.000000    
    2445319.    	    3.000000    
    2445320.    	    3.000000    
    2445321.    	    3.000000    
    2445322.    	    3.000000    
    2445323.    	    3.000000    
    2445324.    	    3.000000    
    2445325.    	    3.000000    
    2445326.    	    3.000000    
    2445327.    	    3.000000    
    2445328.    	    3.000000    
    2445329.    	    3.000000    
    2445330.    	    3.000000    
    2445331.    	    3.000000    
    2445332.    	    3.000000    
    2445333.    	    4.000000    
    2445334.    	    4.000000    
    2445335.    	    4.000000    
    2445336.    	    4.000000    
    2445337.    	    4.000000    
    2445338.    	    4.000000    
    2445339.    	    4.000000    
    2445340.    	    4.000000    
    2445341.    	    4.000000    
    2445342.    	    5.000000    
    2445343.    	    5.000000    
    2445344.    	    5.000000    
    2445345.    	    6.000000    
    2445346.    	    6.000000    
    2445347.    	    7.000000    
    2445348.    	    7.000000    
    2445349.    	    7.000000    
    2445350.    	    7.000000    
    2445351.    	    8.000000    
    2445352.    	    8.000000    
    2445353.    	    8.000000    
    2445354.    	   1.0000000    
    2445355.    	   1.0000000    
    2445356.    	    8.000000    
    2445357.    	    8.000000    
    2445358.    	    8.000000    
    2445359.    	    8.000000    
    2445360.    	    8.000000    
    2445361.    	    8.000000    
    2445362.    	    8.000000    
    2445363.    	    8.000000    
    2445364.    	    8.000000    
    2445365.    	    8.000000    
    2445366.    	   1.0000000    
    2445367.    	   1.0000000    
    2445368.    	   1.0000000    
    2445369.    	   1.0000000    
    2445370.    	    4.000000    
    2445371.    	    3.000000    
    2445372.    	   1.0000000    
    2445373.    	    8.000000    
    2445374.    	    2.000000    
    2445375.    	   1.0000000    
    2445376.    	   1.0000000    
    2445377.    	    2.000000    
    2445378.    	    3.000000    
    2445379.    	    3.000000    
    2445380.    	    3.000000    
    2445381.    	    3.000000    
    2445382.    	    4.000000    
    2445383.    	    4.000000    
    2445384.    	    5.000000    
    2445385.    	    5.000000    
    2445386.    	    5.000000    
    2445387.    	    6.000000    
    2445388.    	    6.000000    
    2445389.    	    6.000000    
    2445390.    	    7.000000    
    2445391.    	    7.000000    
    2445392.    	    7.000000    
    2445393.    	    7.000000    
    2445394.    	    7.000000    
    2445395.    	    7.000000    
    2445396.    	    7.000000    
    2445397.    	    7.000000    
    2445398.    	    7.000000    
    2445399.    	    7.000000    
    2445400.    	    7.000000    
    2445401.    	    7.000000    
    2445402.    	    7.000000    
    2445403.    	    7.000000    
    2445404.    	    7.000000    
    2445405.    	    6.000000    
    2445406.    	    6.000000    
    2445407.    	    7.000000    
    2445408.    	    7.000000    
    2445409.    	    8.000000    
    2445410.    	    8.000000    
    2445411.    	    8.000000    
    2445412.    	    8.000000    
    2445413.    	    8.000000    
    2445414.    	    8.000000    
    2445415.    	    8.000000    
    2445416.    	    8.000000    
    2445417.    	    8.000000    
    2445418.    	    8.000000    
    2445419.    	    8.000000    
    2445420.    	    8.000000    
    2445421.    	    8.000000    
    2445422.    	    8.000000    
    2445423.    	   1.0000000    
    2445424.    	    8.000000    
    2445425.    	    8.000000    
    2445426.    	    8.000000    
    2445427.    	    7.000000    
    2445428.    	    7.000000    
    2445429.    	    7.000000    
    2445430.    	    8.000000    
    2445431.    	    8.000000    
    2445432.    	    8.000000    
    2445433.    	    8.000000    
    2445434.    	    8.000000    
    2445435.    	   1.0000000    
    2445436.    	   1.0000000    
    2445437.    	   1.0000000    
    2445438.    	    2.000000    
    2445439.    	    2.000000    
    2445440.    	    3.000000    
    2445441.    	    3.000000    
    2445442.    	    3.000000    
    2445443.    	    2.000000    
    2445444.    	    2.000000    
    2445445.    	    2.000000    
    2445446.    	    2.000000    
    2445447.    	    2.000000    
    2445448.    	    3.000000    
    2445449.    	    3.000000    
    2445450.    	    3.000000    
    2445451.    	    4.000000    
    2445452.    	    4.000000    
    2445453.    	    4.000000    
    2445454.    	    4.000000    
    2445455.    	    5.000000    
    2445456.    	    4.000000    
    2445457.    	    4.000000    
    2445458.    	    4.000000    
    2445459.    	    4.000000    
    2445460.    	    4.000000    
    2445461.    	    4.000000    
    2445462.    	    3.000000    
    2445463.    	    3.000000    
    2445464.    	    3.000000    
    2445465.    	    3.000000    
    2445466.    	    3.000000    
    2445467.    	    4.000000    
    2445468.    	    4.000000    
    2445469.    	    4.000000    
    2445470.    	    4.000000    
    2445471.    	    4.000000    
    2445472.    	    4.000000    
    2445473.    	    4.000000    
    2445474.    	    4.000000    
    2445475.    	    4.000000    
    2445476.    	    4.000000    
    2445477.    	    5.000000    
    2445478.    	    5.000000    
    2445479.    	    5.000000    
    2445480.    	    5.000000    
    2445481.    	    6.000000    
    2445482.    	    7.000000    
    2445483.    	    7.000000    
    2445484.    	    7.000000    
    2445485.    	    8.000000    
    2445486.    	    8.000000    
    2445487.    	    8.000000    
    2445488.    	    7.000000    
    2445489.    	    7.000000    
    2445490.    	    7.000000    
    2445491.    	    5.000000    
    2445492.    	    5.000000    
    2445493.    	    4.000000    
    2445494.    	    3.000000    
    2445495.    	    3.000000    
    2445496.    	    3.000000    
    2445497.    	    2.000000    
    2445498.    	    2.000000    
    2445499.    	    2.000000    
    2445500.    	    3.000000    
    2445501.    	    3.000000    
    2445502.    	    3.000000    
    2445503.    	    4.000000    
    2445504.    	    4.000000    
    2445505.    	    4.000000    
    2445506.    	    4.000000    
    2445507.    	    4.000000    
    2445508.    	    4.000000    
    2445509.    	    4.000000    
    2445510.    	    4.000000    
    2445511.    	    5.000000    
    2445512.    	    5.000000    
    2445513.    	    5.000000    
    2445514.    	    5.000000    
    2445515.    	    5.000000    
    2445516.    	    5.000000    
    2445517.    	    5.000000    
    2445518.    	    5.000000    
    2445519.    	    6.000000    
    2445520.    	    6.000000    
    2445521.    	    8.000000    
    2445522.    	    8.000000    
    2445523.    	   1.0000000    
    2445524.    	   1.0000000    
    2445525.    	    2.000000    
    2445526.    	    2.000000    
    2445527.    	    3.000000    
    2445528.    	    3.000000    
    2445529.    	    3.000000    
    2445530.    	    3.000000    
    2445531.    	    3.000000    
    2445532.    	    3.000000    
    2445533.    	    3.000000    
    2445534.    	    3.000000    
    2445535.    	    3.000000    
    2445536.    	    3.000000    
    2445537.    	    2.000000    
    2445538.    	    2.000000    
    2445539.    	    2.000000    
    2445540.    	    2.000000    
    2445541.    	    3.000000    
    2445542.    	    3.000000    
    2445543.    	    3.000000    
    2445544.    	    3.000000    
    2445545.    	    2.000000    
    2445546.    	    2.000000    
    2445547.    	    2.000000    
    2445548.    	    2.000000    
    2445549.    	    2.000000    
    2445550.    	    2.000000    
    2445551.    	    3.000000    
    2445552.    	    3.000000    
    2445553.    	    3.000000    
    2445554.    	    3.000000    
    2445555.    	    3.000000    
    2445556.    	    3.000000    
    2445557.    	    3.000000    
    2445558.    	    4.000000    
    2445559.    	    4.000000    
    2445560.    	    4.000000    
    2445561.    	    4.000000    
    2445562.    	    4.000000    
    2445563.    	    4.000000    
    2445564.    	    4.000000    
    2445565.    	    4.000000    
    2445566.    	    4.000000    
    2445567.    	    4.000000    
    2445568.    	    3.000000    
    2445569.    	    4.000000    
    2445570.    	    4.000000    
    2445571.    	    4.000000    
    2445572.    	    4.000000    
    2445573.    	    3.000000    
    2445574.    	    3.000000    
    2445575.    	    3.000000    
    2445576.    	    2.000000    
    2445577.    	    2.000000    
    2445578.    	    2.000000    
    2445579.    	    2.000000    
    2445580.    	    2.000000    
    2445581.    	   1.0000000    
    2445582.    	   1.0000000    
    2445583.    	   1.0000000    
    2445584.    	    2.000000    
    2445585.    	    2.000000    
    2445586.    	    2.000000    
    2445587.    	    2.000000    
    2445588.    	    2.000000    
    2445589.    	    2.000000    
    2445590.    	    2.000000    
    2445591.    	    2.000000    
    2445592.    	    2.000000    
    2445593.    	    3.000000    
    2445594.    	    3.000000    
    2445595.    	    3.000000    
    2445596.    	    4.000000    
    2445597.    	    4.000000    
    2445598.    	    4.000000    
    2445599.    	    4.000000    
    2445600.    	    4.000000    
    2445601.    	    4.000000    
    2445602.    	    4.000000    
    2445603.    	    5.000000    
    2445604.    	    5.000000    
    2445605.    	    5.000000    
    2445606.    	    5.000000    
    2445607.    	    5.000000    
    2445608.    	    5.000000    
    2445609.    	    5.000000    
    2445610.    	    5.000000    
    2445611.    	    5.000000    
    2445612.    	    5.000000    
    2445613.    	    5.000000    
    2445614.    	    5.000000    
    2445615.    	    5.000000    
    2445616.    	    5.000000    
    2445617.    	    5.000000    
    2445618.    	    6.000000    
    2445619.    	    6.000000    
    2445620.    	    6.000000    
    2445621.    	    8.000000    
    2445622.    	    8.000000    
    2445623.    	   1.0000000    
    2445624.    	   1.0000000    
    2445625.    	    2.000000    
    2445626.    	    2.000000    
    2445627.    	    2.000000    
    2445628.    	    2.000000    
    2445629.    	    2.000000    
    2445630.    	    3.000000    
    2445631.    	    4.000000    
    2445632.    	    5.000000    
    2445633.    	    5.000000    
    2445634.    	    5.000000    
    2445635.    	    6.000000    
    2445636.    	    6.000000    
    2445637.    	    6.000000    
    2445638.    	    5.000000    
    2445639.    	    5.000000    
    2445640.    	    5.000000    
    2445641.    	    6.000000    
    2445642.    	    6.000000    
    2445643.    	    6.000000    
    2445644.    	    7.000000    
    2445645.    	    7.000000    
    2445646.    	    7.000000    
    2445647.    	    8.000000    
    2445648.    	    8.000000    
    2445649.    	    8.000000    
    2445650.    	    8.000000    
    2445651.    	    6.000000    
    2445652.    	    5.000000    
    2445653.    	    5.000000    
    2445654.    	    5.000000    
    2445655.    	    5.000000    
    2445656.    	    6.000000    
    2445657.    	    6.000000    
    2445658.    	    6.000000    
    2445659.    	    6.000000    
    2445660.    	    6.000000    
    2445661.    	    6.000000    
    2445662.    	    7.000000    
    2445663.    	    7.000000    
    2445664.    	    7.000000    
    2445665.    	    7.000000    
    2445666.    	    7.000000    
    2445667.    	    7.000000    
    2445668.    	    7.000000    
    2445669.    	    7.000000    
    2445670.    	    7.000000    
    2445671.    	    7.000000    
    2445672.    	    7.000000    
    2445673.    	    7.000000    
    2445674.    	    7.000000    
    2445675.    	    7.000000    
    2445676.    	    7.000000    
    2445677.    	    8.000000    
    2445678.    	    8.000000    
    2445679.    	   1.0000000    
    2445680.    	   1.0000000    
    2445681.    	    2.000000    
    2445682.    	    2.000000    
    2445683.    	    2.000000    
    2445684.    	    2.000000    
    2445685.    	    3.000000    
    2445686.    	    2.000000    
    2445687.    	    2.000000    
    2445688.    	    2.000000    
    2445689.    	    2.000000    
    2445690.    	   1.0000000    
    2445691.    	    2.000000    
    2445692.    	    2.000000    
    2445693.    	    2.000000    
    2445694.    	    2.000000    
    2445695.    	    3.000000    
    2445696.    	    3.000000    
    2445697.    	    3.000000    
    2445698.    	    4.000000    
    2445699.    	    7.000000    
    2445700.    	    7.000000    
    2445701.    	    8.000000    
    2445702.    	    8.000000    
    2445703.    	    8.000000    
    2445704.    	   1.0000000    
    2445705.    	   1.0000000    
    2445706.    	   1.0000000    
    2445707.    	    2.000000    
    2445708.    	    2.000000    
    2445709.    	    2.000000    
    2445710.    	    2.000000    
    2445711.    	    3.000000    
    2445712.    	    3.000000    
    2445713.    	    3.000000    
    2445714.    	    3.000000    
    2445715.    	    3.000000    
    2445716.    	    3.000000    
    2445717.    	    2.000000    
    2445718.    	    2.000000    
    2445719.    	    2.000000    
    2445720.    	    3.000000    
    2445721.    	    2.000000    
    2445722.    	    3.000000    
    2445723.    	    3.000000    
    2445724.    	    3.000000    
    2445725.    	    2.000000    
    2445726.    	    2.000000    
    2445727.    	    2.000000    
    2445728.    	    2.000000    
    2445729.    	    2.000000    
    2445730.    	    2.000000    
    2445731.    	    2.000000    
    2445732.    	    2.000000    
    2445733.    	    2.000000    
    2445734.    	    2.000000    
    2445735.    	    2.000000    
    2445736.    	    3.000000    
    2445737.    	    3.000000    
    2445738.    	    3.000000    
    2445739.    	    3.000000    
    2445740.    	    3.000000    
    2445741.    	    3.000000    
    2445742.    	    3.000000    
    2445743.    	    2.000000    
    2445744.    	    2.000000    
    2445745.    	    2.000000    
    2445746.    	    3.000000    
    2445747.    	    4.000000    
    2445748.    	    5.000000    
    2445749.    	    6.000000    
    2445750.    	    7.000000    
    2445751.    	    7.000000    
    2445752.    	    7.000000    
    2445753.    	    7.000000    
    2445754.    	    7.000000    
    2445755.    	    8.000000    
    2445756.    	    8.000000    
    2445757.    	   1.0000000    
    2445758.    	   1.0000000    
    2445759.    	   1.0000000    
    2445760.    	   1.0000000    
    2445761.    	   1.0000000    
    2445762.    	   1.0000000    
    2445763.    	    8.000000    
    2445764.    	    8.000000    
    2445765.    	    8.000000    
    2445766.    	    8.000000    
    2445767.    	    7.000000    
    2445768.    	    8.000000    
    2445769.    	    7.000000    
    2445770.    	    7.000000    
    2445771.    	    7.000000    
    2445772.    	    7.000000    
    2445773.    	    7.000000    
    2445774.    	    8.000000    
    2445775.    	    8.000000    
    2445776.    	    8.000000    
    2445777.    	    7.000000    
    2445778.    	    7.000000    
    2445779.    	    7.000000    
    2445780.    	    7.000000    
    2445781.    	    8.000000    
    2445782.    	    8.000000    
    2445783.    	    8.000000    
    2445784.    	    8.000000    
    2445785.    	   1.0000000    
    2445786.    	   1.0000000    
    2445787.    	   1.0000000    
    2445788.    	   1.0000000    
    2445789.    	   1.0000000    
    2445790.    	   1.0000000    
    2445791.    	   1.0000000    
    2445792.    	   1.0000000    
    2445793.    	    2.000000    
    2445794.    	    2.000000    
    2445795.    	    2.000000    
    2445796.    	    2.000000    
    2445797.    	    3.000000    
    2445798.    	    3.000000    
    2445799.    	    3.000000    
    2445800.    	    3.000000    
    2445801.    	    3.000000    
    2445802.    	    3.000000    
    2445803.    	    4.000000    
    2445804.    	    4.000000    
    2445805.    	    4.000000    
    2445806.    	    4.000000    
    2445807.    	    5.000000    
    2445808.    	    5.000000    
    2445809.    	    5.000000    
    2445810.    	    6.000000    
    2445811.    	    6.000000    
    2445812.    	    7.000000    
    2445813.    	    7.000000    
    2445814.    	    7.000000    
    2445815.    	    8.000000    
    2445816.    	    8.000000    
    2445817.    	   1.0000000    
    2445818.    	   1.0000000    
    2445819.    	   1.0000000    
    2445820.    	   1.0000000    
    2445821.    	    8.000000    
    2445822.    	    7.000000    
    2445823.    	    7.000000    
    2445824.    	    7.000000    
    2445825.    	    7.000000    
    2445826.    	    7.000000    
    2445827.    	    7.000000    
    2445828.    	    7.000000    
    2445829.    	    7.000000    
    2445830.    	    7.000000    
    2445831.    	    7.000000    
    2445832.    	    8.000000    
    2445833.    	    7.000000    
    2445834.    	    7.000000    
    2445835.    	    6.000000    
    2445836.    	    5.000000    
    2445837.    	    5.000000    
    2445838.    	    5.000000    
    2445839.    	    6.000000    
    2445840.    	    6.000000    
    2445841.    	    6.000000    
    2445842.    	    6.000000    
    2445843.    	    6.000000    
    2445844.    	    5.000000    
    2445845.    	    5.000000    
    2445846.    	    5.000000    
    2445847.    	    4.000000    
    2445848.    	    5.000000    
    2445849.    	    5.000000    
    2445850.    	    3.000000    
    2445851.    	    2.000000    
    2445852.    	    2.000000    
    2445853.    	    4.000000    
    2445854.    	    3.000000    
    2445855.    	    4.000000    
    2445856.    	    5.000000    
    2445857.    	    6.000000    
    2445858.    	    6.000000    
    2445859.    	    3.000000    
    2445860.    	    2.000000    
    2445861.    	    2.000000    
    2445862.    	    2.000000    
    2445863.    	    2.000000    
    2445864.    	    3.000000    
    2445865.    	    6.000000    
    2445866.    	    6.000000    
    2445867.    	    6.000000    
    2445868.    	    6.000000    
    2445869.    	    6.000000    
    2445870.    	    6.000000    
    2445871.    	    6.000000    
    2445872.    	    6.000000    
    2445873.    	    6.000000    
    2445874.    	    6.000000    
    2445875.    	    6.000000    
    2445876.    	    6.000000    
    2445877.    	    6.000000    
    2445878.    	    6.000000    
    2445879.    	    6.000000    
    2445880.    	    6.000000    
    2445881.    	    6.000000    
    2445882.    	    6.000000    
    2445883.    	    7.000000    
    2445884.    	    7.000000    
    2445885.    	    7.000000    
    2445886.    	    7.000000    
    2445887.    	    7.000000    
    2445888.    	    8.000000    
    2445889.    	    8.000000    
    2445890.    	   1.0000000    
    2445891.    	   1.0000000    
    2445892.    	   1.0000000    
    2445893.    	    2.000000    
    2445894.    	    2.000000    
    2445895.    	   1.0000000    
    2445896.    	    2.000000    
    2445897.    	    3.000000    
    2445898.    	    4.000000    
    2445899.    	    4.000000    
    2445900.    	    5.000000    
    2445901.    	    5.000000    
    2445902.    	    5.000000    
    2445903.    	    5.000000    
    2445904.    	    5.000000    
    2445905.    	    5.000000    
    2445906.    	    6.000000    
    2445907.    	    6.000000    
    2445908.    	    6.000000    
    2445909.    	    7.000000    
    2445910.    	    6.000000    
    2445911.    	    6.000000    
    2445912.    	    6.000000    
    2445913.    	    6.000000    
    2445914.    	    6.000000    
    2445915.    	    6.000000    
    2445916.    	    6.000000    
    2445917.    	    6.000000    
    2445918.    	    6.000000    
    2445919.    	    6.000000    
    2445920.    	    6.000000    
    2445921.    	    6.000000    
    2445922.    	    6.000000    
    2445923.    	    6.000000    
    2445924.    	    6.000000    
    2445925.    	    6.000000    
    2445926.    	    6.000000    
    2445927.    	    6.000000    
    2445928.    	    6.000000    
    2445929.    	    6.000000    
    2445930.    	    6.000000    
    2445931.    	    6.000000    
    2445932.    	    5.000000    
    2445933.    	    5.000000    
    2445934.    	    5.000000    
    2445935.    	    6.000000    
    2445936.    	    6.000000    
    2445937.    	    6.000000    
    2445938.    	    6.000000    
    2445939.    	    6.000000    
    2445940.    	    6.000000    
    2445941.    	    7.000000    
    2445942.    	    7.000000    
    2445943.    	    7.000000    
    2445944.    	   1.0000000    
    2445945.    	    2.000000    
    2445946.    	    2.000000    
    2445947.    	    2.000000    
    2445948.    	   1.0000000    
    2445949.    	   1.0000000    
    2445950.    	   1.0000000    
    2445951.    	   1.0000000    
    2445952.    	    8.000000    
    2445953.    	    8.000000    
    2445954.    	    8.000000    
    2445955.    	    8.000000    
    2445956.    	    8.000000    
    2445957.    	    8.000000    
    2445958.    	    7.000000    
    2445959.    	    7.000000    
    2445960.    	    7.000000    
    2445961.    	    8.000000    
    2445962.    	    8.000000    
    2445963.    	    8.000000    
    2445964.    	    8.000000    
    2445965.    	    8.000000    
    2445966.    	    8.000000    
    2445967.    	   1.0000000    
    2445968.    	    2.000000    
    2445969.    	    3.000000    
    2445970.    	    4.000000    
    2445971.    	    4.000000    
    2445972.    	    5.000000    
    2445973.    	    5.000000    
    2445974.    	    5.000000    
    2445975.    	    5.000000    
    2445976.    	    5.000000    
    2445977.    	    5.000000    
    2445978.    	    5.000000    
    2445979.    	    5.000000    
    2445980.    	    5.000000    
    2445981.    	    4.000000    
    2445982.    	    4.000000    
    2445983.    	    4.000000    
    2445984.    	    5.000000    
    2445985.    	    5.000000    
    2445986.    	    5.000000    
    2445987.    	    6.000000    
    2445988.    	    7.000000    
    2445989.    	    7.000000    
    2445990.    	    7.000000    
    2445991.    	    7.000000    
    2445992.    	    7.000000    
    2445993.    	    7.000000    
    2445994.    	    7.000000    
    2445995.    	    7.000000    
    2445996.    	    7.000000    
    2445997.    	    7.000000    
    2445998.    	    8.000000    
    2445999.    	    7.000000    
    2446000.    	    7.000000    
    2446001.    	    8.000000    
    2446002.    	    8.000000    
    2446003.    	    8.000000    
    2446004.    	    8.000000    
    2446005.    	    8.000000    
    2446006.    	   1.0000000    
    2446007.    	   1.0000000    
    2446008.    	   1.0000000    
    2446009.    	   1.0000000    
    2446010.    	   1.0000000    
    2446011.    	   1.0000000    
    2446012.    	   1.0000000    
    2446013.    	   1.0000000    
    2446014.    	   1.0000000    
    2446015.    	   1.0000000    
    2446016.    	   1.0000000    
    2446017.    	    2.000000    
    2446018.    	    2.000000    
    2446019.    	    2.000000    
    2446020.    	    2.000000    
    2446021.    	    2.000000    
    2446022.    	    3.000000    
    2446023.    	    3.000000    
    2446024.    	    3.000000    
    2446025.    	    3.000000    
    2446026.    	    3.000000    
    2446027.    	    3.000000    
    2446028.    	    3.000000    
    2446029.    	    2.000000    
    2446030.    	    2.000000    
    2446031.    	    2.000000    
    2446032.    	    2.000000    
    2446033.    	    2.000000    
    2446034.    	    3.000000    
    2446035.    	    3.000000    
    2446036.    	    3.000000    
    2446037.    	    3.000000    
    2446038.    	    3.000000    
    2446039.    	    3.000000    
    2446040.    	    3.000000    
    2446041.    	    4.000000    
    2446042.    	    4.000000    
    2446043.    	    4.000000    
    2446044.    	    4.000000    
    2446045.    	    4.000000    
    2446046.    	    4.000000    
    2446047.    	    4.000000    
    2446048.    	    4.000000    
    2446049.    	    4.000000    
    2446050.    	    5.000000    
    2446051.    	    5.000000    
    2446052.    	    5.000000    
    2446053.    	    6.000000    
    2446054.    	    7.000000    
    2446055.    	    7.000000    
    2446056.    	    8.000000    
    2446057.    	   1.0000000    
    2446058.    	    2.000000    
    2446059.    	    4.000000    
    2446060.    	    5.000000    
    2446061.    	    5.000000    
    2446062.    	    5.000000    
    2446063.    	    5.000000    
    2446064.    	    6.000000    
    2446065.    	    6.000000    
    2446066.    	    6.000000    
    2446067.    	    6.000000    
    2446068.    	    6.000000    
    2446069.    	    7.000000    
    2446070.    	    7.000000    
    2446071.    	    7.000000    
    2446072.    	    7.000000    
    2446073.    	    7.000000    
    2446074.    	    7.000000    
    2446075.    	    7.000000    
    2446076.    	    7.000000    
    2446077.    	    7.000000    
    2446078.    	    8.000000    
    2446079.    	    8.000000    
    2446080.    	    8.000000    
    2446081.    	    8.000000    
    2446082.    	    8.000000    
    2446083.    	    8.000000    
    2446084.    	    8.000000    
    2446085.    	    8.000000    
    2446086.    	    8.000000    
    2446087.    	    8.000000    
    2446088.    	    8.000000    
    2446089.    	   1.0000000    
    2446090.    	   1.0000000    
    2446091.    	   1.0000000    
    2446092.    	   1.0000000    
    2446093.    	    2.000000    
    2446094.    	    2.000000    
    2446095.    	    2.000000    
    2446096.    	    2.000000    
    2446097.    	    2.000000    
    2446098.    	    2.000000    
    2446099.    	    2.000000    
    2446100.    	    2.000000    
    2446101.    	    3.000000    
    2446102.    	    3.000000    
    2446103.    	    3.000000    
    2446104.    	    3.000000    
    2446105.    	    3.000000    
    2446106.    	    3.000000    
    2446107.    	    3.000000    
    2446108.    	    3.000000    
    2446109.    	    4.000000    
    2446110.    	    4.000000    
    2446111.    	    4.000000    
    2446112.    	    4.000000    
    2446113.    	    4.000000    
    2446114.    	    4.000000    
    2446115.    	    5.000000    
    2446116.    	    5.000000    
    2446117.    	    5.000000    
    2446118.    	    5.000000    
    2446119.    	    5.000000    
    2446120.    	    5.000000    
    2446121.    	    6.000000    
    2446122.    	    6.000000    
    2446123.    	    6.000000    
    2446124.    	    6.000000    
    2446125.    	    6.000000    
    2446126.    	    6.000000    
    2446127.    	    6.000000    
    2446128.    	    5.000000    
    2446129.    	    5.000000    
    2446130.    	    6.000000    
