T	BoM MJO RMM phase
julian_day	unitless
    2442423.    	    5.000000    
    2442424.    	    5.000000    
    2442425.    	    5.000000    
    2442426.    	    6.000000    
    2442427.    	    6.000000    
    2442428.    	    6.000000    
    2442429.    	    7.000000    
    2442430.    	    7.000000    
    2442431.    	    7.000000    
    2442432.    	    8.000000    
    2442433.    	    8.000000    
    2442434.    	    8.000000    
    2442435.    	    8.000000    
    2442436.    	    8.000000    
    2442437.    	    8.000000    
    2442438.    	    8.000000    
    2442439.    	    8.000000    
    2442440.    	    8.000000    
    2442441.    	    8.000000    
    2442442.    	    8.000000    
    2442443.    	    8.000000    
    2442444.    	    8.000000    
    2442445.    	   1.0000000    
    2442446.    	   1.0000000    
    2442447.    	   1.0000000    
    2442448.    	    2.000000    
    2442449.    	    2.000000    
    2442450.    	    2.000000    
    2442451.    	    2.000000    
    2442452.    	    2.000000    
    2442453.    	    3.000000    
    2442454.    	    3.000000    
    2442455.    	    4.000000    
    2442456.    	    4.000000    
    2442457.    	    4.000000    
    2442458.    	    5.000000    
    2442459.    	    5.000000    
    2442460.    	    6.000000    
    2442461.    	    6.000000    
    2442462.    	    7.000000    
    2442463.    	    7.000000    
    2442464.    	    8.000000    
    2442465.    	    8.000000    
    2442466.    	   1.0000000    
    2442467.    	   1.0000000    
    2442468.    	   1.0000000    
    2442469.    	   1.0000000    
    2442470.    	   1.0000000    
    2442471.    	    2.000000    
    2442472.    	    2.000000    
    2442473.    	    2.000000    
    2442474.    	    2.000000    
    2442475.    	    2.000000    
    2442476.    	    2.000000    
    2442477.    	    2.000000    
    2442478.    	    2.000000    
    2442479.    	    3.000000    
    2442480.    	    3.000000    
    2442481.    	    3.000000    
    2442482.    	    3.000000    
    2442483.    	    3.000000    
    2442484.    	    3.000000    
    2442485.    	    3.000000    
    2442486.    	    3.000000    
    2442487.    	    3.000000    
    2442488.    	    3.000000    
    2442489.    	    3.000000    
    2442490.    	    3.000000    
    2442491.    	    4.000000    
    2442492.    	    4.000000    
    2442493.    	    4.000000    
    2442494.    	    4.000000    
    2442495.    	    5.000000    
    2442496.    	    5.000000    
    2442497.    	    5.000000    
    2442498.    	    6.000000    
    2442499.    	    6.000000    
    2442500.    	    7.000000    
    2442501.    	    7.000000    
    2442502.    	    7.000000    
    2442503.    	    7.000000    
    2442504.    	    7.000000    
    2442505.    	    7.000000    
    2442506.    	    8.000000    
