var,fdate,n,mean,median,p10,p25,p75,p90,min,max,spread_p90_p10,eqwt_median
tmax2m,20260705,249,93.3566265060241,93.1,89.7,91.3,95.8,97.4,81.0,101.4,7.700000000000003,93.89166666666665
tmax2m,20260706,218,87.42018348623853,87.4,82.07,83.92500000000001,90.275,93.5,78.3,99.0,11.430000000000007,87.62
tmax2m,20260707,249,83.85261044176707,83.9,78.4,80.9,86.8,89.22,73.0,94.2,10.819999999999993,83.49166666666666
tmax2m,20260708,249,84.83373493975903,84.8,80.3,82.3,87.1,90.36,70.8,94.3,10.060000000000002,84.47500000000001
tmax2m,20260709,249,88.98032128514056,89.0,83.88000000000001,86.6,91.3,94.42,79.0,101.3,10.539999999999992,89.47500000000001
tmax2m,20260710,249,90.44377510040161,90.4,86.3,88.3,92.5,95.3,77.5,101.4,9.0,90.41666666666667
tmax2m,20260711,249,85.6433734939759,85.7,78.98,83.0,88.6,91.0,70.5,102.5,12.019999999999996,85.96666666666665
tmax2m,20260712,249,85.02530120481929,85.2,79.4,82.3,87.8,90.64,68.8,98.2,11.239999999999995,85.22500000000001
tmax2m,20260713,249,86.04578313253013,86.1,79.38000000000001,82.7,89.0,93.54,68.5,99.0,14.159999999999997,86.38333333333333
tmax2m,20260714,249,88.84738955823293,89.0,82.08,84.5,92.8,96.5,72.4,104.3,14.420000000000002,89.675
tmax2m,20260715,249,89.25903614457832,89.0,80.94,85.1,93.5,97.44000000000001,70.0,108.6,16.500000000000014,89.05000000000001
tmax2m,20260716,249,89.185140562249,88.6,80.6,84.1,94.0,98.76,65.5,107.5,18.16000000000001,88.75000000000001
tmax2m,20260717,249,88.65140562248996,88.2,79.36,83.6,93.5,98.5,71.7,109.0,19.14,87.81666666666665
tmax2m,20260718,249,88.29718875502007,87.9,79.3,83.6,92.8,98.2,72.4,104.8,18.900000000000006,88.125
tmax2m,20260719,249,88.01526104417671,87.7,80.4,83.2,91.9,96.56,71.3,106.9,16.159999999999997,87.52500000000002
tmax2m,20260720,52,91.05192307692306,92.0,80.02,86.65,96.5,99.92,73.1,105.4,19.900000000000006,90.1
tmin2m,20260705,249,72.71285140562249,72.7,71.0,72.1,73.5,74.5,69.0,76.6,3.5,72.58333333333333
tmin2m,20260706,249,72.23373493975905,72.2,70.4,71.3,73.1,74.2,67.7,76.1,3.799999999999997,72.27499999999999
tmin2m,20260707,249,70.6285140562249,70.8,67.38000000000001,69.2,72.5,73.5,62.2,75.0,6.11999999999999,70.68333333333334
tmin2m,20260708,249,69.47389558232932,69.5,66.38000000000001,67.9,71.2,72.6,62.3,74.9,6.219999999999985,69.575
tmin2m,20260709,249,71.0975903614458,71.3,68.24,69.9,72.6,73.8,62.7,77.3,5.560000000000002,71.18333333333332
tmin2m,20260710,249,72.6694779116466,72.7,70.3,71.5,73.9,75.02,65.0,78.3,4.719999999999999,72.51666666666667
tmin2m,20260711,249,70.00522088353414,70.2,65.68,67.8,72.4,74.2,58.0,77.8,8.519999999999996,70.01666666666667
tmin2m,20260712,249,67.6859437751004,67.6,63.6,65.6,69.9,71.9,58.0,75.8,8.300000000000004,67.88333333333333
tmin2m,20260713,249,67.08955823293172,66.8,62.5,64.7,69.7,71.54,57.1,76.5,9.040000000000006,67.05833333333334
tmin2m,20260714,249,68.5289156626506,68.6,63.0,65.6,71.3,73.54,54.0,79.9,10.540000000000006,68.64999999999999
tmin2m,20260715,249,69.92289156626506,69.7,64.66,66.7,72.8,75.82000000000001,58.2,86.3,11.16000000000001,69.99166666666666
tmin2m,20260716,249,70.53373493975904,70.4,63.8,67.3,73.7,76.7,56.5,86.0,12.900000000000006,70.18333333333332
tmin2m,20260717,249,71.23052208835342,71.1,64.08,67.7,74.8,77.52,54.0,85.4,13.439999999999998,70.95
tmin2m,20260718,249,70.4417670682731,70.5,63.879999999999995,66.6,74.0,77.72,54.8,84.5,13.840000000000003,69.98333333333333
tmin2m,20260719,249,70.55220883534136,70.4,64.5,66.9,73.7,77.64,55.1,87.5,13.14,70.46666666666667
tmin2m,20260720,52,72.82115384615385,73.3,66.1,69.125,76.625,79.44,57.7,83.2,13.340000000000003,72.19999999999999
