var,fdate,n,mean,median,p10,p25,p75,p90,min,max,spread_p90_p10,eqwt_median
tmax2m,20260627,249,80.52168674698795,80.7,77.5,79.3,82.0,83.32000000000001,73.3,87.1,5.820000000000007,80.25
tmax2m,20260628,249,83.48192771084338,83.4,79.7,81.8,85.5,87.52,73.3,91.0,7.819999999999993,83.05
tmax2m,20260629,249,86.485140562249,86.2,83.58,85.0,87.7,90.2,80.0,94.0,6.6200000000000045,86.3
tmax2m,20260630,249,90.71726907630521,90.5,87.2,88.8,92.6,94.92,80.9,102.6,7.719999999999999,90.52499999999999
tmax2m,20260701,249,98.75783132530121,98.5,94.38000000000001,96.7,101.4,103.12,87.5,107.6,8.739999999999995,98.96666666666665
tmax2m,20260702,249,102.32048192771084,102.5,98.48,100.0,104.6,106.4,90.4,109.5,7.920000000000002,102.86666666666666
tmax2m,20260703,249,100.76907630522088,100.9,95.46,98.0,103.9,106.32000000000001,86.5,110.2,10.860000000000014,101.65833333333335
tmax2m,20260704,249,95.92610441767067,96.1,88.08,92.1,100.5,103.7,73.5,109.0,15.620000000000005,97.11666666666667
tmax2m,20260705,249,92.06184738955824,92.4,83.3,87.3,97.3,100.84,68.1,106.1,17.540000000000006,92.3
tmax2m,20260706,249,89.33253012048192,89.0,80.3,85.3,94.2,97.8,67.6,105.5,17.5,89.22499999999998
tmax2m,20260707,249,89.13574297188755,88.8,81.84,85.9,92.9,97.1,70.6,103.4,15.259999999999991,89.40833333333335
tmax2m,20260708,249,89.48112449799197,89.3,82.98,86.5,93.3,96.24000000000001,71.9,102.9,13.260000000000005,89.61666666666667
tmax2m,20260709,249,89.14658634538152,89.0,81.94,85.0,93.5,96.62,73.0,103.5,14.680000000000007,89.29166666666667
tmax2m,20260710,249,89.58072289156625,89.4,82.4,85.6,93.7,97.8,65.9,107.2,15.399999999999991,89.46666666666668
tmax2m,20260711,249,89.36305220883534,89.2,82.4,85.4,93.1,96.54,74.3,104.3,14.14,89.575
tmax2m,20260712,52,91.29423076923078,91.7,83.4,87.375,94.7,99.31,80.2,105.0,15.909999999999997,90.85
tmin2m,20260627,249,68.83293172690763,68.7,67.48,68.0,69.5,70.3,65.7,72.7,2.819999999999993,68.95
tmin2m,20260628,249,69.17951807228914,69.2,67.28,68.3,70.3,71.0,64.8,72.2,3.719999999999999,69.13333333333333
tmin2m,20260629,249,69.21767068273091,69.3,67.28,68.2,70.3,71.22,64.0,74.9,3.9399999999999977,69.05
tmin2m,20260630,249,69.3710843373494,69.8,65.75999999999999,67.6,71.1,72.4,62.5,77.8,6.640000000000015,68.925
tmin2m,20260701,249,74.29598393574298,74.2,69.3,71.9,76.9,79.1,63.2,84.9,9.799999999999997,73.89999999999999
tmin2m,20260702,249,79.21767068273093,79.8,74.0,77.5,81.6,83.44000000000001,67.7,86.8,9.440000000000012,79.16666666666667
tmin2m,20260703,249,78.6867469879518,79.0,74.08,76.7,80.9,82.7,65.2,85.6,8.620000000000005,78.625
tmin2m,20260704,249,75.55421686746988,75.5,70.96,73.0,78.0,80.42,64.7,85.7,9.460000000000008,74.975
tmin2m,20260705,249,73.24578313253011,73.1,68.5,70.8,75.6,78.0,63.1,82.1,9.5,72.875
tmin2m,20260706,249,72.07670682730925,72.2,67.36,70.0,74.6,76.62,55.3,81.8,9.260000000000005,71.73333333333333
tmin2m,20260707,249,71.91485943775102,71.8,67.38000000000001,69.7,74.4,76.82000000000001,52.1,82.5,9.439999999999998,71.95
tmin2m,20260708,249,71.53734939759036,71.9,66.8,69.0,74.0,76.02,58.5,80.9,9.219999999999999,71.84166666666667
tmin2m,20260709,249,70.96465863453814,71.2,66.25999999999999,68.6,73.3,75.62,61.1,81.1,9.360000000000014,70.81666666666666
tmin2m,20260710,249,70.85220883534139,71.3,65.0,68.3,73.7,75.62,60.0,82.0,10.620000000000005,71.08333333333334
tmin2m,20260711,249,71.41566265060243,71.9,65.9,68.6,74.6,76.4,56.8,81.3,10.5,71.39166666666667
tmin2m,20260712,52,71.18461538461538,71.7,63.849999999999994,67.675,74.925,78.86,57.5,82.0,15.010000000000005,70.8
