date,sigma,nino34
2010-02-25,2.34,1.25
2016-01-04,2.12,2.57
2016-01-05,2.45,2.57
2016-01-06,2.41,2.57
2016-01-07,2.39,2.57
2016-01-08,2.12,2.57
2016-01-09,2.38,2.57
2016-01-10,2.23,2.57
2016-01-11,2.42,2.57
2016-01-12,2.08,2.57
2016-01-15,2.05,2.57
2016-03-03,2.16,1.62
2016-03-04,2.02,1.62
2016-03-05,2.35,1.62
2016-03-06,2.18,1.62
2016-03-07,2.11,1.62
2020-01-17,2.17,0.6
2020-01-21,2.29,0.6
2020-01-22,2.34,0.6
