model,month,lead,clim_n34,clim_trop
bom_2,1,1,26.3903,26.8703
bom_2,1,2,26.4285,27.0019
bom_2,1,3,26.7586,27.2543
bom_2,1,4,27.1348,27.3823
bom_2,1,5,27.2048,27.1998
bom_2,1,6,27.0928,26.7629
bom_2,2,1,26.6937,27.0569
bom_2,2,2,26.9941,27.298
bom_2,2,3,27.3103,27.4256
bom_2,2,4,27.3189,27.2265
bom_2,2,5,27.1464,26.7667
bom_2,2,6,26.7383,26.2893
bom_2,3,1,27.2293,27.374
bom_2,3,2,27.5286,27.4936
bom_2,3,3,27.4922,27.2995
bom_2,3,4,27.2173,26.8174
bom_2,3,5,26.7393,26.3235
bom_2,3,6,26.1689,26.0517
bom_2,4,1,27.7804,27.5799
bom_2,4,2,27.7069,27.3791
bom_2,4,3,27.3608,26.8892
bom_2,4,4,26.8025,26.3825
bom_2,4,5,26.19,26.1071
bom_2,4,6,25.9665,26.0988
bom_2,5,1,27.8359,27.4578
bom_2,5,2,27.5009,26.956
bom_2,5,3,26.8788,26.4406
bom_2,5,4,26.2161,26.1607
bom_2,5,5,25.9841,26.1497
bom_2,5,6,26.2542,26.3212
bom_2,6,1,27.5711,27.0297
bom_2,6,2,26.9839,26.5156
bom_2,6,3,26.3054,26.2359
bom_2,6,4,26.0342,26.2176
bom_2,6,5,26.2784,26.386
bom_2,6,6,26.561,26.5043
bom_2,7,1,27.1159,26.5954
bom_2,7,2,26.4302,26.3098
bom_2,7,3,26.042,26.2841
bom_2,7,4,26.1932,26.4413
bom_2,7,5,26.4386,26.5463
bom_2,7,6,26.5746,26.5685
bom_2,8,1,26.6319,26.3764
bom_2,8,2,26.2101,26.3469
bom_2,8,3,26.2456,26.4992
bom_2,8,4,26.3568,26.5941
bom_2,8,5,26.4272,26.5988
bom_2,8,6,26.4466,26.6588
dwd_22,1,1,25.5794,26.4
dwd_22,1,2,25.6796,26.6321
dwd_22,1,3,25.9033,27.0451
dwd_22,1,4,26.224,27.3922
dwd_22,1,5,26.2376,27.3113
dwd_22,1,6,25.8418,26.795
dwd_22,2,1,25.6861,26.5493
dwd_22,2,2,25.9414,26.9708
dwd_22,2,3,26.1555,27.3399
dwd_22,2,4,26.1391,27.2596
dwd_22,2,5,25.7102,26.7319
dwd_22,2,6,25.0519,26.2239
dwd_22,3,1,26.0446,26.8949
dwd_22,3,2,26.2793,27.2681
dwd_22,3,3,26.1165,27.195
dwd_22,3,4,25.6269,26.6664
dwd_22,3,5,24.9146,26.1586
dwd_22,3,6,24.5001,25.9429
dwd_22,4,1,26.4826,27.162
dwd_22,4,2,26.1931,27.0878
dwd_22,4,3,25.4257,26.5686
dwd_22,4,4,24.6597,26.0717
dwd_22,4,5,24.285,25.8677
dwd_22,4,6,24.5605,26.0065
dwd_22,5,1,26.382,27.0293
dwd_22,5,2,25.4255,26.5073
dwd_22,5,3,24.634,26.0151
dwd_22,5,4,24.2498,25.8277
dwd_22,5,5,24.5362,25.9698
dwd_22,5,6,24.8117,26.2803
dwd_22,6,1,25.9814,26.5479
dwd_22,6,2,24.8584,26.0218
dwd_22,6,3,24.3804,25.8145
dwd_22,6,4,24.5655,25.9466
dwd_22,6,5,24.7951,26.2568
dwd_22,6,6,24.8274,26.5058
dwd_22,7,1,25.3583,26.0562
dwd_22,7,2,24.522,25.8228
dwd_22,7,3,24.6418,25.9236
dwd_22,7,4,24.8682,26.2401
dwd_22,7,5,24.8348,26.4847
dwd_22,7,6,24.7958,26.5604
dwd_22,8,1,25.0896,25.8118
dwd_22,8,2,24.8038,25.9031
dwd_22,8,3,25.0223,26.2152
dwd_22,8,4,24.9486,26.4663
dwd_22,8,5,24.8247,26.5307
dwd_22,8,6,24.9626,26.5805
eccc_4,1,1,26.6875,27.0979
eccc_4,1,2,26.8469,27.2917
eccc_4,1,3,27.2732,27.6112
eccc_4,1,4,27.7497,27.8567
eccc_4,1,5,27.8174,27.7276
eccc_4,1,6,27.5884,27.2987
eccc_4,2,1,26.8369,27.2695
eccc_4,2,2,27.3449,27.6173
eccc_4,2,3,27.8407,27.8773
eccc_4,2,4,27.901,27.7514
eccc_4,2,5,27.6666,27.3218
eccc_4,2,6,27.3205,26.9341
eccc_4,3,1,27.3174,27.5957
eccc_4,3,2,27.8634,27.8769
eccc_4,3,3,27.9824,27.7691
eccc_4,3,4,27.7324,27.3454
eccc_4,3,5,27.3857,26.9565
eccc_4,3,6,27.0452,26.8168
eccc_4,4,1,27.844,27.8328
eccc_4,4,2,27.9381,27.7562
eccc_4,4,3,27.6975,27.3439
eccc_4,4,4,27.3463,26.9585
eccc_4,4,5,27.0066,26.8167
eccc_4,4,6,26.8696,26.9439
eccc_4,5,1,27.9503,27.6932
eccc_4,5,2,27.639,27.3091
eccc_4,5,3,27.2656,26.9355
eccc_4,5,4,26.9154,26.8013
eccc_4,5,5,26.796,26.9334
eccc_4,5,6,26.857,27.2021
eccc_4,6,1,27.7305,27.2971
eccc_4,6,2,27.2553,26.9306
eccc_4,6,3,26.8423,26.7902
eccc_4,6,4,26.7273,26.9179
eccc_4,6,5,26.8061,27.186
eccc_4,6,6,26.7929,27.3564
eccc_4,7,1,27.4115,26.8818
eccc_4,7,2,26.956,26.7578
eccc_4,7,3,26.7942,26.8939
eccc_4,7,4,26.8581,27.1696
eccc_4,7,5,26.8298,27.3416
eccc_4,7,6,26.6876,27.3414
eccc_4,8,1,26.9282,26.671
eccc_4,8,2,26.6995,26.8248
eccc_4,8,3,26.7263,27.1034
eccc_4,8,4,26.6805,27.2769
eccc_4,8,5,26.5327,27.2769
eccc_4,8,6,26.5163,27.2742
eccc_5,1,1,26.0752,26.7825
eccc_5,1,2,25.7632,26.7325
eccc_5,1,3,25.7974,26.8507
eccc_5,1,4,25.899,26.9119
eccc_5,1,5,25.7243,26.6876
eccc_5,1,6,25.3003,26.1986
eccc_5,2,1,26.3293,26.961
eccc_5,2,2,26.2321,27.0521
eccc_5,2,3,26.1745,27.0944
eccc_5,2,4,25.8746,26.8401
eccc_5,2,5,25.3912,26.3296
eccc_5,2,6,24.6987,25.8393
eccc_5,3,1,26.8043,27.2759
eccc_5,3,2,26.6998,27.2864
eccc_5,3,3,26.2392,27.017
eccc_5,3,4,25.635,26.4843
eccc_5,3,5,24.892,25.9676
eccc_5,3,6,24.3421,25.6738
eccc_5,4,1,27.311,27.4954
eccc_5,4,2,26.8023,27.192
eccc_5,4,3,26.074,26.6434
eccc_5,4,4,25.1997,26.1014
eccc_5,4,5,24.6136,25.7866
eccc_5,4,6,24.4285,25.7427
eccc_5,5,1,27.2934,27.3503
eccc_5,5,2,26.4598,26.759
eccc_5,5,3,25.5372,26.2115
eccc_5,5,4,24.948,25.902
