utc,total,p10,p90,CE,DOM,AEP,ATSI,AP,PS,PL,PE,BC,PEP,REST
2026-06-30 12:00:00+00:00,104517.4249333208,103020.74877057606,106014.10109606534,13329.373643580879,16507.921292887742,18899.405832437325,9134.78418633302,5787.001754371826,5414.053681516181,5136.547871502562,4597.931025495772,3476.1713144668493,3229.4038617260726,19004.830469002587
2026-06-30 13:00:00+00:00,108432.30081273007,106935.62464998558,109928.97697547486,13878.823764268645,16998.19335806319,19489.7637198001,9485.096020424331,5992.441851984416,5543.000949530641,5265.82011949981,4798.23231201549,3640.672394053218,3424.4141906065847,19915.842132483645
2026-06-30 14:00:00+00:00,114505.85973133019,113009.18356858546,116002.53589407474,14869.03190729828,17709.40769380918,20298.91815172934,10312.864375462399,6264.935122397954,5825.497815466431,5478.72247275322,5122.403103675957,3816.3673269389797,3597.9601488691305,21209.75161292933
2026-06-30 15:00:00+00:00,121261.21451851226,119764.53835576779,122757.89068125706,16017.652587780658,18280.76021123069,21188.30462482467,10899.114360929376,6727.113229036769,6325.283076079022,5772.880465625566,5316.560670511346,4056.340878236902,3792.057830523379,22885.14658373388
2026-06-30 16:00:00+00:00,129073.75907750719,127577.08291476278,130570.43524025206,17431.541117317203,19332.546867732188,22241.95822963951,11731.346133482211,7223.169341543754,6876.94873184101,6123.423569487982,5700.5536692496225,4365.616253896503,3962.961294657938,24083.693868659273
2026-06-30 17:00:00+00:00,136116.1624673591,134619.48630461434,137612.83863010362,18517.169488947944,20159.820382450413,22921.098554884884,12186.765916500031,7590.944571710602,7245.776551868825,6479.188921684101,6112.403768968419,4779.844277266063,4225.235919386237,25897.914113691568
2026-06-30 18:00:00+00:00,141594.12082497444,140097.44466222986,143090.79698771914,19306.628554095034,21009.17724769122,23538.737617160878,12403.688198683823,7878.555167010249,7804.791871129622,6830.0817864019255,6334.191945272694,4875.903161900776,4395.181071411176,27217.184204217046
2026-06-30 19:00:00+00:00,144819.9654429176,143323.289280173,146316.64160566227,19886.17123168014,21358.13741588307,23592.928902042742,12467.728087180467,7967.278588331751,8058.175795553458,6966.621891262708,6469.3006092588275,5129.961172787381,4540.892572685665,28382.76917625138
2026-06-30 20:00:00+00:00,147560.0641330678,146063.38797032338,149056.74029581266,20148.67141171645,22273.48152555002,23642.415445253002,12379.777205887107,8164.281035326822,8515.459041322742,6972.65445833479,6712.05722736564,5332.745215156174,4756.730834516919,28661.790732638136
2026-06-30 21:00:00+00:00,150040.4925680907,148543.81640534606,151537.16873083534,20440.777727711375,22588.9265954781,23713.838448055343,12452.24947983446,8282.990588729293,8667.014634149058,6946.28813521546,6912.5611844685145,5528.6132071382535,4872.822192978565,29634.410374332256
2026-06-30 22:00:00+00:00,151061.59265400103,149564.9164912564,152558.26881674567,20676.78109860528,22582.966306117563,23789.64513523886,12495.440312035182,8343.371436700669,8888.31380731415,6880.3088085277905,6888.7939017618855,5618.966245479937,4948.802529281542,29948.203072938195
2026-06-30 23:00:00+00:00,149598.25137496163,148101.57521221688,151094.92753770616,20748.045761188234,22327.24696245728,23518.1837566878,12559.90781688383,8264.846752602876,8665.425622804541,6840.273390114127,6692.26084039477,5524.088661470301,4828.752826915867,29629.218983442006
2026-07-01 00:00:00+00:00,146516.29010476475,145019.61394202005,148012.96626750933,20320.906244074667,21697.45060696677,23459.532429763374,12512.321029610102,8112.291115374758,8507.576047386492,6673.082237649545,6249.38134566132,5324.6546587729545,4667.323189912433,28991.771199592316
2026-07-01 01:00:00+00:00,143618.34195385204,142121.6657911074,145115.01811659668,19937.67071506117,20957.672184223644,23294.63624288765,12303.58857768446,8050.250384009214,8190.276621909123,6462.50921195838,6152.011940273565,5098.62125474797,4502.248222825675,28668.856598271166
2026-07-01 02:00:00+00:00,140481.38727044384,138984.71110769908,141978.06343318836,19810.137445961744,20529.636419345847,23095.40927636426,11943.532452739202,7913.27010240712,7814.329885207843,6382.86448393585,5952.388831235841,4922.147835345924,4244.038928084746,27873.631609815464
2026-07-01 03:00:00+00:00,131021.03312353273,129524.35696078818,132517.70928627744,18853.502176207938,19212.718933498993,21850.07898020916,11127.109433591859,7260.813821056042,7238.7210998328355,5827.28603598959,5625.572558481755,4560.353814312605,3923.584660281831,25541.29161007013
2026-07-01 04:00:00+00:00,120985.47217001136,118257.06628585405,123802.89598663927,17535.13345097711,18077.934785200046,20179.176533156315,10693.68153912284,6778.024574999888,6535.0417324515465,5341.476453068702,5188.278479522491,4149.2139409710135,3626.5412575460723,22880.96942299536
2026-07-01 05:00:00+00:00,113020.76060850416,110383.45922704128,115423.35279803854,16554.448819034755,16982.05253316416,19433.34785693389,9688.508174729692,6426.671592243865,5966.638932034666,5009.120365482236,4663.435528562667,3816.407935953473,3324.1316409156148,21155.997229449156
2026-07-01 06:00:00+00:00,107200.40889551144,104539.56192819207,109775.36837575669,15391.028887446879,16305.10733985516,18814.26992843036,9135.567200463636,5980.394251538437,5660.185710123229,4806.92367782703,4431.867772612623,3565.3269126912774,3061.10798639945,20048.62922812337
2026-07-01 07:00:00+00:00,102647.09192873629,99980.99337323422,105197.76203928608,14731.888874584662,15975.301095713003,17879.14496476993,8720.402237019262,5715.655450741815,5383.973318611319,4581.130680823681,4272.528961673432,3347.838513287478,3006.86634133378,19032.361490177926
2026-07-01 08:00:00+00:00,100531.17123653612,97768.41009561358,103226.32010725314,14285.427583504023,15808.771675328298,17249.40550487022,8622.948223050118,5574.505241598479,5283.489461840522,4513.694808404624,4183.770301449824,3273.8391587274077,2928.375218559129,18806.94405920347
