iso,valid_time,MW
Avista,2026-07-18 03:00:00,56.849941157807685
Avista,2026-07-18 04:00:00,89.25169531953861
Avista,2026-07-18 05:00:00,145.65747516299487
Avista,2026-07-18 06:00:00,225.31662787808017
Avista,2026-07-18 07:00:00,237.03351166074208
Avista,2026-07-18 08:00:00,191.30240138130227
Avista,2026-07-18 09:00:00,188.78348512840157
Avista,2026-07-18 10:00:00,174.65007752525938
Avista,2026-07-18 11:00:00,247.17595976123417
Avista,2026-07-18 12:00:00,254.2626559142281
Avista,2026-07-18 13:00:00,224.96590358510855
Avista,2026-07-18 14:00:00,133.6666192414663
Avista,2026-07-18 15:00:00,55.670306186168595
Avista,2026-07-18 16:00:00,43.25708441845718
Avista,2026-07-18 17:00:00,38.41350673679072
Avista,2026-07-18 18:00:00,47.615434316396545
Avista,2026-07-18 19:00:00,61.49660604477118
Avista,2026-07-18 20:00:00,95.51694810696631
Avista,2026-07-18 21:00:00,126.46241302610638
Avista,2026-07-18 22:00:00,132.29103980368595
Avista,2026-07-18 23:00:00,145.85771861027834
Avista,2026-07-19 00:00:00,113.52136518252183
Avista,2026-07-19 01:00:00,129.09211062805028
Avista,2026-07-19 02:00:00,155.21363998028806
Avista,2026-07-19 03:00:00,116.34101897181434
Avista,2026-07-19 04:00:00,182.6034798170663
Avista,2026-07-19 05:00:00,200.74365741693174
Avista,2026-07-19 06:00:00,192.3992556099519
Avista,2026-07-19 07:00:00,155.5723814410658
Avista,2026-07-19 08:00:00,112.40407193266743
Avista,2026-07-19 09:00:00,34.37753604471229
Avista,2026-07-19 10:00:00,35.45551345799464
Avista,2026-07-19 11:00:00,55.3302652433586
Avista,2026-07-19 12:00:00,85.05248719057353
Avista,2026-07-19 13:00:00,85.47361770312416
Avista,2026-07-19 14:00:00,54.75024992597875
Avista,2026-07-19 15:00:00,13.988125132551206
Avista,2026-07-19 16:00:00,14.09594480183604
Avista,2026-07-19 17:00:00,23.70594777301345
Avista,2026-07-19 18:00:00,29.48731825046268
BPA,2026-07-17 18:00:00,1380.2506481391483
BPA,2026-07-17 19:00:00,1063.7616661128422
BPA,2026-07-17 20:00:00,896.4072753845276
BPA,2026-07-17 21:00:00,951.7659614167022
BPA,2026-07-17 22:00:00,1169.6630639211576
BPA,2026-07-17 23:00:00,1228.4310493292603
BPA,2026-07-18 00:00:00,1368.1892280676534
BPA,2026-07-18 01:00:00,1554.7428162193241
BPA,2026-07-18 02:00:00,1676.680437789523
BPA,2026-07-18 03:00:00,1839.5249130750747
BPA,2026-07-18 04:00:00,2159.7842724093975
BPA,2026-07-18 05:00:00,2260.937558447125
BPA,2026-07-18 06:00:00,2190.814482486526
BPA,2026-07-18 07:00:00,2405.9968371580835
BPA,2026-07-18 08:00:00,2444.7757963418026
BPA,2026-07-18 09:00:00,2437.266672021684
BPA,2026-07-18 10:00:00,2439.721927721616
BPA,2026-07-18 11:00:00,2430.897317129526
BPA,2026-07-18 12:00:00,2311.8352934779987
BPA,2026-07-18 13:00:00,2223.7327997682287
BPA,2026-07-18 14:00:00,2124.421343443706
BPA,2026-07-18 15:00:00,1953.03893488696
BPA,2026-07-18 16:00:00,1781.9243326693243
BPA,2026-07-18 17:00:00,1532.381788300135
BPA,2026-07-18 18:00:00,1388.9669196544482
BPA,2026-07-18 19:00:00,1419.185072750971
BPA,2026-07-18 20:00:00,1577.5968293616131
BPA,2026-07-18 21:00:00,1714.3322262236659
BPA,2026-07-18 22:00:00,1931.280399243611
BPA,2026-07-18 23:00:00,2139.290052081839
BPA,2026-07-19 00:00:00,2247.042391560221
BPA,2026-07-19 01:00:00,2178.6513250052817
BPA,2026-07-19 02:00:00,2007.7092054609464
BPA,2026-07-19 03:00:00,2037.8845488767256
BPA,2026-07-19 04:00:00,2134.240515943073
BPA,2026-07-19 05:00:00,1844.089638156075
BPA,2026-07-19 06:00:00,1586.6327134684811
BPA,2026-07-19 07:00:00,1372.3298499726664
BPA,2026-07-19 08:00:00,1106.2089737422398
BPA,2026-07-19 09:00:00,947.6730778835124
BPA,2026-07-19 10:00:00,850.7833116607854
