ba_code,valid_time,MW
AVRN,2026-05-19 07:00:00,1020.5612572354572
AVRN,2026-05-19 08:00:00,840.1729898116944
AVRN,2026-05-19 09:00:00,732.1320056350543
AVRN,2026-05-19 10:00:00,636.5558743492377
AVRN,2026-05-19 11:00:00,515.3074871810855
AVRN,2026-05-19 12:00:00,341.34140351530687
AVRN,2026-05-19 13:00:00,222.98613306813115
AVRN,2026-05-19 14:00:00,161.2101756812177
AVRN,2026-05-19 15:00:00,87.22749813655044
AVRN,2026-05-19 16:00:00,81.28165592152723
AVRN,2026-05-19 17:00:00,88.47252726935965
AVRN,2026-05-19 18:00:00,123.81404783502609
AVRN,2026-05-19 19:00:00,140.99469704032154
AVRN,2026-05-19 20:00:00,161.39796712930533
AVRN,2026-05-19 21:00:00,257.0509130595297
AVRN,2026-05-19 22:00:00,380.96842522549485
AVRN,2026-05-19 23:00:00,548.6749594482878
AVRN,2026-05-20 00:00:00,735.0410842110712
AVRN,2026-05-20 01:00:00,883.2724413050942
AVRN,2026-05-20 02:00:00,918.2182683226428
AVRN,2026-05-20 03:00:00,981.9828869865723
AVRN,2026-05-20 04:00:00,1150.031711362088
AVRN,2026-05-20 05:00:00,1175.2529410048523
AVRN,2026-05-20 06:00:00,1133.3934428382229
AVRN,2026-05-20 07:00:00,990.13474118369
AVRN,2026-05-20 08:00:00,861.5302416129526
AVRN,2026-05-20 09:00:00,793.3078812933973
AVRN,2026-05-20 10:00:00,749.2706068290383
AVRN,2026-05-20 11:00:00,690.943858873481
AVRN,2026-05-20 12:00:00,666.6232708610997
AVRN,2026-05-20 13:00:00,576.696673927491
AVRN,2026-05-20 14:00:00,284.1013605801276
AVRN,2026-05-20 15:00:00,39.03692564360892
AVRN,2026-05-20 16:00:00,0.2441568566420065
AVRN,2026-05-20 17:00:00,0.0
AVRN,2026-05-20 18:00:00,5.581985900841667
AZPS,2026-05-18 18:00:00,385.8285995888071
AZPS,2026-05-18 19:00:00,425.43493424165086
AZPS,2026-05-18 20:00:00,429.3423207048482
AZPS,2026-05-18 21:00:00,429.22498305525875
AZPS,2026-05-18 22:00:00,419.72308486575014
AZPS,2026-05-18 23:00:00,412.2634702962383
AZPS,2026-05-19 00:00:00,432.50490615379414
AZPS,2026-05-19 01:00:00,433.8482751023366
AZPS,2026-05-19 02:00:00,410.22604291422863
AZPS,2026-05-19 03:00:00,273.614155311676
AZPS,2026-05-19 04:00:00,178.36449460065063
AZPS,2026-05-19 05:00:00,125.75240677515153
AZPS,2026-05-19 06:00:00,69.53146585736813
AZPS,2026-05-19 07:00:00,44.425297719764764
AZPS,2026-05-19 08:00:00,61.214452344670015
AZPS,2026-05-19 09:00:00,55.10376725210133
AZPS,2026-05-19 10:00:00,36.90296701491233
AZPS,2026-05-19 11:00:00,38.966020709443356
AZPS,2026-05-19 12:00:00,68.1242291979179
AZPS,2026-05-19 13:00:00,62.147687145452004
AZPS,2026-05-19 14:00:00,37.224862853894145
AZPS,2026-05-19 15:00:00,12.7271679911874
AZPS,2026-05-19 16:00:00,4.961168740688796
AZPS,2026-05-19 17:00:00,45.44818833369741
AZPS,2026-05-19 18:00:00,172.6028595338445
AZPS,2026-05-19 19:00:00,317.08599568560066
AZPS,2026-05-19 20:00:00,350.77214339133235
AZPS,2026-05-19 21:00:00,372.7305155592899
AZPS,2026-05-19 22:00:00,417.36156145640854
AZPS,2026-05-19 23:00:00,418.7366329135234
AZPS,2026-05-20 00:00:00,418.5210115665046
AZPS,2026-05-20 01:00:00,425.90465658188486
AZPS,2026-05-20 02:00:00,363.0617904152701
AZPS,2026-05-20 03:00:00,278.97590494223573
AZPS,2026-05-20 04:00:00,268.2864772481974
AZPS,2026-05-20 05:00:00,245.1126587822892
AZPS,2026-05-20 06:00:00,190.9312277840396
AZPS,2026-05-20 07:00:00,125.57608394811704
AZPS,2026-05-20 08:00:00,72.133189588592
AZPS,2026-05-20 09:00:00,71.9450323394416
