region,valid_time,forecast_MW,cycle,lead_hours,actual_MW,curtailment_MW,forecast_minus_curtail_MW,error_after_curtail_MW,error_MW
CAISO,2026-06-22 06:00:00,5519.854438475601,2026-06-21 18:00:00,12.0,4824.0,0.0,5519.854438475601,695.8544384756005,695.8544384756005
CAISO,2026-06-22 07:00:00,5313.395831895445,2026-06-21 18:00:00,13.0,5411.75,0.0,5313.395831895445,-98.35416810455536,-98.35416810455536
CAISO,2026-06-22 08:00:00,4940.217786522445,2026-06-21 18:00:00,14.0,6149.5,0.0,4940.217786522445,-1209.2822134775552,-1209.2822134775552
CAISO,2026-06-22 09:00:00,4600.190612748593,2026-06-21 18:00:00,15.0,6231.916666666667,0.0,4600.190612748593,-1631.7260539180743,-1631.7260539180743
CAISO,2026-06-22 10:00:00,4528.225807443207,2026-06-21 18:00:00,16.0,6348.75,0.0,4528.225807443207,-1820.5241925567934,-1820.5241925567934
CAISO,2026-06-22 11:00:00,5881.657255018994,2026-06-21 18:00:00,17.0,6546.333333333333,0.0,5881.657255018994,-664.6760783143391,-664.6760783143391
CAISO,2026-06-22 12:00:00,4551.097218830395,2026-06-22 00:00:00,12.0,6349.571428571428,0.0,4551.097218830395,-1798.4742097410335,-1798.4742097410335
CAISO,2026-06-22 13:00:00,5751.504245039069,2026-06-22 00:00:00,13.0,5687.75,0.0,5751.504245039069,63.75424503906925,63.75424503906925
CAISO,2026-06-22 14:00:00,5544.385678847265,2026-06-22 00:00:00,14.0,5353.166666666667,0.0,5544.385678847265,191.21901218059793,191.21901218059793
CAISO,2026-06-22 15:00:00,4561.38222338236,2026-06-22 00:00:00,15.0,4407.25,0.0,4561.38222338236,154.13222338236028,154.13222338236028
CAISO,2026-06-22 16:00:00,4172.47194077675,2026-06-22 00:00:00,16.0,3041.833333333333,0.0,4172.47194077675,1130.6386074434167,1130.6386074434167
CAISO,2026-06-22 17:00:00,3467.3476066534577,2026-06-22 00:00:00,17.0,2039.0833333333333,0.0,3467.3476066534577,1428.2642733201244,1428.2642733201244
CAISO,2026-06-22 18:00:00,1183.7562759789444,2026-06-22 06:00:00,12.0,1465.1666666666667,0.0,1183.7562759789444,-281.4103906877224,-281.4103906877224
CAISO,2026-06-22 19:00:00,584.0779565858128,2026-06-22 06:00:00,13.0,1185.0833333333333,0.0,584.0779565858128,-601.0053767475205,-601.0053767475205
CAISO,2026-06-22 20:00:00,493.4081217096352,2026-06-22 06:00:00,14.0,1177.1666666666667,0.0,493.4081217096352,-683.7585449570315,-683.7585449570315
CAISO,2026-06-22 21:00:00,887.479557855754,2026-06-22 06:00:00,15.0,1135.8333333333333,0.0,887.479557855754,-248.35377547757923,-248.35377547757923
CAISO,2026-06-22 22:00:00,1780.3147664325609,2026-06-22 06:00:00,16.0,1573.3333333333333,0.0,1780.3147664325609,206.98143309922762,206.98143309922762
CAISO,2026-06-22 23:00:00,2782.628528137553,2026-06-22 06:00:00,17.0,2089.9166666666665,0.0,2782.628528137553,692.7118614708866,692.7118614708866
CAISO,2026-06-23 00:00:00,2892.595530384156,2026-06-22 12:00:00,12.0,2635.833333333333,0.0,2892.595530384156,256.76219705082303,256.76219705082303
CAISO,2026-06-23 01:00:00,2879.24691920245,2026-06-22 12:00:00,13.0,3399.833333333333,0.0,2879.24691920245,-520.586414130883,-520.586414130883
CAISO,2026-06-23 02:00:00,3562.139251974269,2026-06-22 12:00:00,14.0,4262.583333333333,0.0,3562.139251974269,-700.4440813590641,-700.4440813590641
CAISO,2026-06-23 03:00:00,4864.7422102686105,2026-06-22 12:00:00,15.0,5081.083333333333,0.0,4864.7422102686105,-216.34112306472252,-216.34112306472252
CAISO,2026-06-23 04:00:00,5810.86779669731,2026-06-22 12:00:00,16.0,5309.25,0.0,5810.86779669731,501.61779669731004,501.61779669731004
CAISO,2026-06-23 05:00:00,5389.52510223865,2026-06-22 12:00:00,17.0,5012.2,0.0,5389.52510223865,377.3251022386503,377.3251022386503
CAISO,2026-06-23 06:00:00,5260.186802878791,2026-06-22 18:00:00,12.0,4433.083333333333,0.0,5260.186802878791,827.1034695454582,827.1034695454582
CAISO,2026-06-23 07:00:00,4624.470576542833,2026-06-22 18:00:00,13.0,4345.583333333333,0.0,4624.470576542833,278.8872432095004,278.8872432095004
CAISO,2026-06-23 08:00:00,3717.225860163504,2026-06-22 18:00:00,14.0,3928.9,0.0,3717.225860163504,-211.67413983649612,-211.67413983649612
CAISO,2026-06-23 09:00:00,3076.5192868564795,2026-06-22 18:00:00,15.0,3478.833333333333,0.0,3076.5192868564795,-402.3140464768535,-402.3140464768535
CAISO,2026-06-23 10:00:00,2951.297453176397,2026-06-22 18:00:00,16.0,3099.75,0.0,2951.297453176397,-148.45254682360292,-148.45254682360292
CAISO,2026-06-23 11:00:00,2670.819428382226,2026-06-22 18:00:00,17.0,2684.9166666666665,0.0,2670.819428382226,-14.097238284440664,-14.097238284440664
CAISO,2026-06-23 12:00:00,2248.420231435485,2026-06-23 00:00:00,12.0,2573.9166666666665,0.0,2248.420231435485,-325.4964352311813,-325.4964352311813
CAISO,2026-06-23 13:00:00,1812.5133590912649,2026-06-23 00:00:00,13.0,2472.4166666666665,0.0,1812.5133590912649,-659.9033075754016,-659.9033075754016
CAISO,2026-06-23 14:00:00,1254.7971163636348,2026-06-23 00:00:00,14.0,2444.333333333333,0.0,1254.7971163636348,-1189.5362169696982,-1189.5362169696982
