region,capacity_MW
AECI,939.26
AVA,353.6
AVRN,1701.25
AZPS,629.3
BPAT,3930.06
CISO,6926.231
EPE,50.4
ERCO,40374.906
GRIS,324.3
GWA,210.0
IPCO,714.85
ISNE,1745.805
LDWP,440.5
MISO,32582.707
NBSO,42.0
NEVP,151.8
NWMT,1004.76
NYIS,2883.76
PACE,4098.555
PACW,490.2
PGE,716.5
PJM,11494.093
PNM,2561.775
PSCO,4702.78
PSEI,869.17
SPA,498.8
SRP,225.96
SWPP,34045.304
TEPC,377.195
TVA,27.0
WACM,1843.78
WALC,349.6
WAUW,77.67
WWA,189.0
