utc,load,ens_p10,ens_p50,ens_p90,q10,q50,q90
2026-06-27 00:00:00+00:00,101911.88798513438,100315.91292315722,101911.88798513438,104737.23934684317,100447.76649058501,102043.74155256218,104869.09291427096
2026-06-27 00:05:00+00:00,101851.23033917042,100246.63062595188,101851.23033917042,104711.50746172268,100419.39409745568,102023.901528257,104874.93128154818
2026-06-27 00:10:00+00:00,101792.13492402434,100177.59032545771,101792.13492402434,104684.16641176981,100390.19020826484,102004.39923440521,104879.79903864833
2026-06-27 00:15:00+00:00,101734.79380039075,100108.79338882164,101734.79380039075,104655.286543369,100360.17825974607,101985.49913715196,104883.78442286025
2026-06-27 00:20:00+00:00,101679.39902896417,100040.24118319059,101679.39902896417,104624.93820290476,100329.3816886329,101967.4657026424,104886.97567147273
2026-06-27 00:25:00+00:00,101626.14267043915,99971.93507571147,101626.14267043915,104593.19173676157,100297.82393165896,101950.5633970217,104889.46102177461
2026-06-27 00:30:00+00:00,101575.21678551029,99903.8764335312,101575.21678551029,104560.11749132391,100265.5284255578,101935.05668643504,104891.32871105471
2026-06-27 00:35:00+00:00,101526.81343487214,99836.06662379671,101526.81343487214,104525.78581297629,100232.518607063,101921.21003702754,104892.66697660189
2026-06-27 00:40:00+00:00,101481.12467921923,99768.50701365487,101481.12467921923,104490.26704810317,100198.81791290814,101909.28791494439,104893.56405570495
2026-06-27 00:45:00+00:00,101438.34257924616,99701.19897025266,101438.34257924616,104453.63154308904,100164.4497798268,101899.55478633071,104894.1081856527
2026-06-27 00:50:00+00:00,101398.65919564749,99634.14386073695,101398.65919564749,104415.94964431842,100129.43764455254,101892.27511733174,104894.38760373397
2026-06-27 00:55:00+00:00,101362.26658911775,99567.34305225468,101362.26658911775,104377.29169817577,100093.80494381893,101887.71337409253,104894.4905472376
2026-06-27 01:00:00+00:00,101329.3568203515,99500.79791195276,101329.3568203515,104337.72805104557,100057.57511435958,101886.13402275833,104894.5052534524
2026-06-27 01:05:00+00:00,101301.04716825845,99438.09434266435,101301.04716825845,104299.04854901863,100022.62268756902,101886.23781386165,104891.93779590914
2026-06-27 01:10:00+00:00,101277.55974674041,99381.51080254567,101277.55974674041,104262.21312153763,99990.08088992191,101886.52476573552,104884.35852234448
2026-06-27 01:15:00+00:00,101257.74386898016,99329.08749172823,101257.74386898016,104226.04724001497,99958.86120077214,101886.95824622583,104871.95208135624
2026-06-27 01:20:00+00:00,101240.44884816048,99278.86461034357,101240.44884816048,104189.37637586301,99927.87509947344,101887.50162317847,104854.90312154219
2026-06-27 01:25:00+00:00,101224.52399746412,99228.88235852314,101224.52399746412,104151.02600049417,99896.03406537966,101888.11826443934,104833.39629150009
2026-06-27 01:30:00+00:00,101208.81863007389,99177.18093639851,101208.81863007389,104109.82158532081,99862.24957784457,101888.7715378543,104807.61623982772
2026-06-27 01:35:00+00:00,101192.18205917256,99121.80054410113,101192.18205917256,104064.58860175531,99825.43311622205,101889.4248112693,104777.74761512288
2026-06-27 01:40:00+00:00,101173.46359794287,99060.78138176256,101173.46359794287,104014.15252121008,99784.49615986583,101890.04145253016,104743.9750659833
2026-06-27 01:45:00+00:00,101151.51255956764,98992.1636495143,101151.51255956764,103957.3388150975,99738.35018812974,101890.5848294828,104706.48324100678
2026-06-27 01:50:00+00:00,101125.1782572296,98913.98754748784,101125.1782572296,103892.97295482991,99685.90668036758,101891.01830997312,104665.45678879108
2026-06-27 01:55:00+00:00,101093.31000411158,98824.29327581472,101093.31000411158,103819.88041181973,99626.0771159332,101891.30526184698,104621.08035793401
2026-06-27 02:00:00+00:00,101054.75711339635,98721.12103462641,101054.75711339635,103736.88665747935,99557.77297418036,101891.4090529503,104573.5385970333
2026-06-27 02:05:00+00:00,100981.1417516119,98566.89562740718,100981.12865659552,103597.06525602643,99455.53854969567,101867.96509892867,104488.98431174747
2026-06-27 02:10:00+00:00,100849.12388474519,98333.343856747,100849.07626650378,103364.31737730066,99298.66767695411,101800.1334856165,104338.86645798395
2026-06-27 02:15:00+00:00,100665.10952516735,98032.4589214359,100665.0130982285,103053.70990114755,99093.19614514215,101691.66458614293,104131.31390971404
2026-06-27 02:20:00+00:00,100435.50468524954,97676.23402026403,100435.35230687703,102680.30970741251,98845.15974344619,101546.30877363705,103874.45554090898
2026-06-27 02:25:00+00:00,100166.71537736285,97276.6623520214,100166.50704755668,102259.18367594102,98560.59426105267,101367.81642122798,103576.42022554009
2026-06-27 02:30:00+00:00,99865.14761387843,96845.73711549814,99864.89047537485,101805.39868657854,98245.53548714802,101159.93790204487,103245.33683757861
2026-06-27 02:35:00+00:00,99537.20740716746,96395.4515094843,99536.91574543883,101334.02161917054,97906.0192109187,100926.42358921679,102889.33425099577
2026-06-27 02:40:00+00:00,99189.30076960099,95937.79873276995,99188.99601285599,100860.11935356243,97548.08122155113,100671.02385587289,102516.5413397629
2026-06-27 02:45:00+00:00,98827.83371355024,95484.77198414518,98827.54443273367,100398.7587695997,97177.75730823174,100397.48907514226,102135.08697785123
2026-06-27 02:50:00+00:00,98459.21225138627,95048.36446240007,98458.97416017925,99965.00674712782,96801.08326014696,100109.56962015403,101753.10003923206
2026-06-27 02:55:00+00:00,98089.84239548027,94640.56936632471,98089.69835030001,99573.93016599225,96424.09486648324,99811.0158640373,101378.70939787665
2026-06-27 03:00:00+00:00,97726.13015820336,94273.37989470916,97726.13015820336,99240.5959060384,96052.82791642699,99505.5781799212,101020.04392775624
2026-06-27 03:05:00+00:00,97332.46155326843,93934.60771343179,97332.52070107008,98955.44378001573,95655.97335252959,99118.3109702821,100663.72067120385
2026-06-27 03:10:00+00:00,96877.13804185147,93603.29592385111,96877.08820106676,98695.19069967703,95205.48567169836,98589.45821211721,100291.68494012613
2026-06-27 03:15:00+00:00,96372.43880751844,93278.28487797748,96372.19647077926,98454.31919337285,94712.29599465364,97945.55464033695,99905.05801285488
2026-06-27 03:20:00+00:00,95830.64303383518,92958.41492782121,95830.20932279358,98227.31178945373,94187.33544211577,97213.13498985172,99504.96116772189
2026-06-27 03:25:00+00:00,95264.02990436759,92642.52642539261,95263.49056969563,98008.65101627022,93641.53513480515,96418.73399557189,99092.51568305898
2026-06-27 03:30:00+00:00,94684.87860268158,92329.45972270204,94684.40402407132,97792.81940217287,93085.82619344212,95588.88639240788,98668.84283719792
2026-06-27 03:35:00+00:00,94105.468312343,92018.05517175978,94105.3134985066,97574.29947551223,92531.13973874702,94750.12691527007,98235.06390847053
2026-06-27 03:40:00+00:00,93538.07821691775,91707.15312457619,93538.58280558742,97347.57376463887,91988.40689144022,93928.99029906886,97792.3001752086
