utc,load,ens_p10,ens_p50,ens_p90,q10,q50,q90
2026-06-26 12:00:00+00:00,92240.63065754926,90649.5867062328,92240.63065754926,94871.89198331865,89575.58557434578,91166.62952566224,93797.89085143163
2026-06-26 12:05:00+00:00,92360.75891482692,90771.2158494045,92360.75891482692,94857.19683734751,89866.05053368687,91455.10957934176,93925.3366863824
2026-06-26 12:10:00+00:00,92481.52988845568,90890.73666192323,92481.52988845568,94844.94471312473,90149.80132406663,91738.83447871717,94053.25438226237
2026-06-26 12:15:00+00:00,92602.9389221072,91008.05893516434,92602.9389221072,94834.91351776409,90426.30171322267,92017.61755460464,94181.64150122326
2026-06-26 12:20:00+00:00,92724.98135945323,91123.09246050325,92724.98135945323,94826.88115837936,90695.0154688925,92291.27213782033,94310.49560541689
2026-06-26 12:25:00+00:00,92847.65254416548,91235.74702931535,92847.65254416548,94820.62554208434,90955.40635881362,92559.61155918035,94439.81425699506
2026-06-26 12:30:00+00:00,92970.94781991566,91345.93243297603,92970.94781991566,94815.92457599282,91206.93815072364,92822.44914950091,94569.59501810952
2026-06-26 12:35:00+00:00,93094.8625303755,91453.55846286064,93094.8625303755,94812.55616721857,91449.07461236007,93079.59823959813,94699.83545091211
2026-06-26 12:40:00+00:00,93219.39201921668,91558.53491034464,93219.39201921668,94810.2982228754,91681.27951146044,93330.87216028817,94830.53311755462
2026-06-26 12:45:00+00:00,93344.53163011093,91660.77156680338,93344.53163011093,94808.92865007708,91903.01661576232,93576.08424238721,94961.68558018882
2026-06-26 12:50:00+00:00,93470.27670672999,91760.17822361224,93470.27670672999,94808.22535593741,92113.74969300324,93815.04781671135,95093.2904009665
2026-06-26 12:55:00+00:00,93596.62259274552,91856.66467214662,93596.62259274552,94807.96624757016,92312.94251092072,94047.5762140768,95225.34514203948
2026-06-26 13:00:00+00:00,93723.56463182927,91950.14070378193,93723.56463182927,94807.92923208913,92500.05883725233,94273.48276529968,95357.84736555953
