var,fdate,n,mean,median,p10,p25,p75,p90,min,max,spread_p90_p10,eqwt_median
tmax2m,20260701,249,98.68634538152611,98.3,95.9,97.1,100.3,101.64,91.8,105.5,5.739999999999995,98.825
tmax2m,20260702,249,103.03253012048192,102.8,99.7,101.2,105.0,106.9,96.4,109.7,7.200000000000003,103.10833333333333
tmax2m,20260703,249,103.68192771084337,104.1,99.36,101.2,106.4,108.0,87.7,111.5,8.64,104.06666666666666
tmax2m,20260704,249,100.34618473895583,100.4,95.3,98.0,103.4,105.5,83.6,109.9,10.200000000000003,101.3
tmax2m,20260705,249,95.45180722891565,95.6,89.2,92.8,98.5,101.94000000000001,75.1,107.9,12.740000000000009,96.05833333333334
tmax2m,20260706,249,91.35662650602411,91.6,84.48,87.7,95.1,98.16,72.2,105.7,13.679999999999993,91.54166666666667
tmax2m,20260707,249,88.40441767068273,88.3,81.6,84.5,92.1,95.22,74.6,103.4,13.620000000000005,88.68333333333334
tmax2m,20260708,249,87.27309236947791,87.0,80.3,82.8,91.3,95.34,71.9,100.0,15.040000000000006,86.85000000000001
tmax2m,20260709,249,87.34216867469878,87.2,80.28,83.5,91.0,94.74000000000001,73.5,103.9,14.460000000000008,87.125
tmax2m,20260710,249,89.36586345381525,89.7,82.5,86.0,92.8,96.52,74.0,104.8,14.019999999999996,89.425
tmax2m,20260711,249,89.63293172690763,89.6,81.88000000000001,86.6,93.4,96.74000000000001,73.5,106.1,14.86,89.86666666666667
tmax2m,20260712,249,89.62971887550202,89.9,82.5,86.1,93.3,97.12,69.2,108.6,14.620000000000005,89.69166666666666
tmax2m,20260713,249,89.50963855421688,89.2,82.7,86.3,93.2,96.7,74.2,104.1,14.0,89.60833333333333
tmax2m,20260714,249,89.69477911646585,89.6,83.44,85.9,93.1,96.9,71.7,105.2,13.460000000000008,89.65833333333335
tmax2m,20260715,83,88.93132530120481,88.4,82.22,84.9,92.55000000000001,96.9,70.6,104.3,14.680000000000007,88.0
tmin2m,20260701,249,73.82449799196787,74.2,70.8,72.2,75.6,76.72,67.9,78.2,5.920000000000002,73.86666666666666
tmin2m,20260702,249,79.42610441767067,80.0,75.7,77.3,81.5,82.72,71.0,85.2,7.019999999999996,79.35000000000001
tmin2m,20260703,249,80.84618473895581,81.1,76.9,79.1,82.9,84.22,71.3,86.2,7.319999999999993,80.81666666666668
tmin2m,20260704,249,77.30923694779115,77.6,72.6,75.1,79.4,81.52,69.7,85.6,8.920000000000002,76.8
tmin2m,20260705,249,74.61204819277108,74.8,71.4,72.8,76.0,77.6,67.0,82.5,6.199999999999989,74.43333333333334
tmin2m,20260706,249,73.33574297188754,73.5,70.4,71.9,74.9,76.4,65.6,80.0,6.0,73.175
tmin2m,20260707,249,72.16305220883534,72.3,68.4,70.3,74.2,75.72,62.0,80.7,7.319999999999993,71.98333333333333
tmin2m,20260708,249,70.91606425702811,71.5,65.9,68.6,73.5,75.12,59.8,79.3,9.219999999999999,71.09166666666667
tmin2m,20260709,249,70.33132530120481,70.4,65.75999999999999,68.1,72.4,74.4,60.0,80.7,8.640000000000015,70.35
tmin2m,20260710,249,70.59357429718875,70.9,66.5,68.4,72.8,74.22,60.7,78.7,7.719999999999999,70.675
tmin2m,20260711,249,71.6979919678715,71.9,67.46,69.5,73.9,75.76,62.2,79.4,8.300000000000011,71.575
tmin2m,20260712,249,71.52329317269076,71.9,65.98,68.8,74.2,76.32000000000001,57.7,82.7,10.340000000000003,71.68333333333332
tmin2m,20260713,249,71.14417670682731,71.2,65.9,68.5,73.7,76.2,54.8,82.1,10.299999999999997,71.53333333333333
tmin2m,20260714,249,71.01847389558232,71.3,66.08,68.6,73.8,75.82000000000001,57.8,81.1,9.740000000000009,71.25833333333333
tmin2m,20260715,83,70.61686746987952,70.8,64.56,67.1,73.8,77.02,56.8,82.7,12.459999999999994,70.23333333333333
